,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
225,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,wheat-beer
226,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,wheat-beer
227,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,wheat-beer
228,Sladek,5.0,6.0,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.,wheat-beer
229,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,wheat-beer
230,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,wheat-beer
231,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",wheat-beer
232,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,wheat-beer
233,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,wheat-beer
234,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",wheat-beer
235,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",wheat-beer
236,Styrian Aurora,7.0,9.5,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process.",wheat-beer
237,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",wheat-beer
238,Taurus,12.0,17.0,Magnum,high-alpha hop,wheat-beer
239,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",wheat-beer
240,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",wheat-beer
241,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,wheat-beer
242,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,wheat-beer
243,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",wheat-beer
244,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,wheat-beer
245,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",wheat-beer
246,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,wheat-beer
247,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",wheat-beer
248,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,wheat-beer
249,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,wheat-beer
250,Admiral,13.5,16.0,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.,stout
251,Ahtanum™,4.0,6.3,"Amarillo, Cascade","Floral, citrus, sharp, and piney.",stout
252,Amarillo®,8.0,9.0,"Cascade, Centennial","Citrusy, flowery.",stout
253,Boadicea,8.0,9.0,,spicy,stout
254,Bobeck,3.5,7.0,,U.K. Fuggle,stout
255,Bramling Cross,5.0,7.0,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma.",stout
256,Brewer’s Gold,7.0,10.0,Bullion,Bittering hop with neutral aroma character.,stout
257,Bullion,6.5,9.0,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.,stout
258,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",stout
259,Cascade,6.0,8.0,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",stout
260,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,stout
261,Challenger,6.5,8.5,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy.",stout
262,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",stout
263,Citra®,11.0,13.0,,Intense citrusy flavor.,stout
264,Cluster,5.5,8.5,Galena,Medium and quite spicy.,stout
265,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",stout
266,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",stout
267,First Gold,6.5,8.5,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.,stout
268,Fuggle,4.0,5.5,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust.",stout
269,Fuggle,4.0,5.5,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity.",stout
270,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",stout
271,Glacier,5.0,9.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.,stout
272,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",stout
273,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",stout
274,Kent Golding,4.0,5.5,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant.",stout
275,Legacy,N/,N/,,"Clean grapefruit, floral, black currant notes and a spicy aroma.",stout
276,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,stout
277,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,stout
278,Nelson Sauvin,12.0,14.0,,"Distinctive white wine “fruitiness,” gooseberry. Considered by some as “extreme,” this hop is often used in specialty craft and seasonal beers.",stout
279,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,stout
280,Northdown,7.5,9.5,,Fruity with some spiciness.,stout
281,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,stout
282,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,stout
283,Northwest Golding,4.0,5.0,,Known for aromatic properties.,stout
284,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,stout
285,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",stout
286,Pacific Gem,13.0,15.0,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.,stout
287,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,stout
288,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,stout
289,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",stout
290,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",stout
291,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",stout
292,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",stout
293,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",stout
294,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",stout
295,Pride of Ringwood,7.0,10.0,"Cluster, Galena","Quite pronounced, woody, earthy, herbal.",stout
296,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",stout
297,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,stout
298,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,stout
299,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,stout
300,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",stout
301,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,stout
302,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",stout
303,Summit™,16.0,18.0,Simcoe,Ultra high-alpha bittering hop,stout
304,Sun,12.0,16.0,Magnum,High-alpha hop with intense character,stout
305,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",stout
306,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",stout
307,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,stout
308,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",stout
309,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,stout
310,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",stout
311,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",stout
312,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,stout
313,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,stout
314,Azacca®,14.0,16.0,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.",american-lager
315,Boadicea,8.0,9.0,,spicy,american-lager
316,Cashmere,7.7,9.1,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits.",american-lager
317,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",american-lager
318,Cluster,5.5,8.5,Galena,Medium and quite spicy.,american-lager
319,Comet,9.0,11.0,,"Grapefruit, lemon, orange, and grassy notes.",american-lager
320,Crystal,2.0,4.5,"French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood","Mild and pleasant, spicy and flowery.",american-lager
321,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",american-lager
322,Ella,13.3,16.3,,"Dual purpose hop that displays floral and subtle spice notes. When used as a late addition or dry hop, it imparts grapefruit and topical flavors.",american-lager
323,Eureka!,17.0,19.0,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions.",american-lager
324,Green Bullet,11.0,14.0,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.,american-lager
325,Hallertau Aroma,6.5,8.5,Perle,A dual purpose hop which has been used to replace Perle,american-lager
326,Hallertauer,3.5,5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",american-lager
327,Hallertauer Gold,6.0,6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,american-lager
328,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,american-lager
329,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,american-lager
330,Herkules,12.0,17.0,,bittering hop,american-lager
331,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",american-lager
332,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",american-lager
333,Idaho,12.0,15.0,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs.",american-lager
334,Legacy,N/,N/,,"Clean grapefruit, floral, black currant notes and a spicy aroma.",american-lager
335,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",american-lager
336,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",american-lager
337,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,american-lager
338,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,american-lager
339,Merkur,12.0,15.0,Magnum,"high-alpha, bittering hop",american-lager
340,Millenium,12.0,15.0,Nugget,"Mild, herbal, similar to Nugget.",american-lager
341,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",american-lager
342,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,american-lager
343,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,american-lager
344,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",american-lager
345,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,american-lager
346,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",american-lager
347,Rakau,9.0,11.0,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers.",american-lager
348,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",american-lager
349,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",american-lager
350,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,american-lager
351,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,american-lager
352,Sladek,5.0,6.0,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.,american-lager
353,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,american-lager
354,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",american-lager
355,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,american-lager
356,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",american-lager
357,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,american-lager
358,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,american-lager
359,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",american-lager
360,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",american-lager
361,Styrian Aurora,7.0,9.5,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process.",american-lager
362,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",american-lager
363,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",american-lager
364,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",american-lager
365,Taurus,12.0,17.0,Magnum,high-alpha hop,american-lager
366,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",american-lager
367,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",american-lager
368,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,american-lager
369,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",american-lager
370,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,american-lager
371,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",american-lager
372,Boadicea,8.0,9.0,,spicy,bock
373,Brewer’s Gold,6.0,7.0,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy.",bock
374,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",bock
375,Green Bullet,11.0,14.0,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.,bock
376,Hallertauer,3.5,5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",bock
377,Hallertauer Gold,6.0,6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,bock
378,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,bock
379,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,bock
380,Herkules,12.0,17.0,,bittering hop,bock
381,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",bock
382,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",bock
383,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",bock
384,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,bock
385,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,bock
386,Merkur,12.0,15.0,Magnum,"high-alpha, bittering hop",bock
387,Motueka,6.5,7.5,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy.",bock
388,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",bock
389,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,bock
390,Pacifica,5.0,6.0,Hallertau family,An aroma hop with some citrus and floral character,bock
391,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",bock
392,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",bock
393,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",bock
394,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",bock
395,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",bock
396,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,bock
397,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,bock
398,Select,4.0,6.0,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma,bock
399,Sladek,5.0,6.0,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.,bock
400,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,bock
401,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",bock
402,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,bock
403,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,bock
404,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",bock
405,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",bock
406,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",bock
407,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",bock
408,Taurus,12.0,17.0,Magnum,high-alpha hop,bock
409,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",bock
410,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",bock
411,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,bock
412,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",bock
413,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,bock
414,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",bock
415,Ahtanum™,4.0,6.3,"Amarillo, Cascade","Floral, citrus, sharp, and piney.",brown-ale
416,Boadicea,8.0,9.0,,spicy,brown-ale
417,Bobeck,3.5,7.0,,U.K. Fuggle,brown-ale
418,Brewer’s Gold,7.0,10.0,Bullion,Bittering hop with neutral aroma character.,brown-ale
419,Bullion,6.5,9.0,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.,brown-ale
420,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",brown-ale
421,Cascade,6.0,8.0,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",brown-ale
422,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,brown-ale
423,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",brown-ale
424,Cluster,5.5,8.5,Galena,Medium and quite spicy.,brown-ale
425,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",brown-ale
426,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",brown-ale
427,First Gold,6.5,8.5,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.,brown-ale
428,Fuggle,4.0,5.5,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust.",brown-ale
429,Fuggle,4.0,5.5,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity.",brown-ale
430,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",brown-ale
431,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",brown-ale
432,Herald,11.0,13.0,,New dual-purpose hop,brown-ale
433,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",brown-ale
434,Kent Golding,4.0,5.5,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant.",brown-ale
435,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,brown-ale
436,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,brown-ale
437,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,brown-ale
438,Northdown,7.5,9.5,,Fruity with some spiciness.,brown-ale
439,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,brown-ale
440,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,brown-ale
441,Northwest Golding,4.0,5.0,,Known for aromatic properties.,brown-ale
442,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,brown-ale
443,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",brown-ale
444,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,brown-ale
445,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,brown-ale
446,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,brown-ale
447,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",brown-ale
448,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",brown-ale
449,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",brown-ale
450,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",brown-ale
451,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",brown-ale
452,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",brown-ale
453,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",brown-ale
454,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,brown-ale
455,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,brown-ale
456,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,brown-ale
457,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,brown-ale
458,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",brown-ale
459,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,brown-ale
460,Styrian Aurora,7.0,9.5,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process.",brown-ale
461,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",brown-ale
462,Summit™,16.0,18.0,Simcoe,Ultra high-alpha bittering hop,brown-ale
463,Sun,12.0,16.0,Magnum,High-alpha hop with intense character,brown-ale
464,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",brown-ale
465,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",brown-ale
466,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,brown-ale
467,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",brown-ale
468,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,brown-ale
469,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",brown-ale
470,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",brown-ale
471,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,brown-ale
472,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,brown-ale
473,Boadicea,8.0,9.0,,spicy,smoked-beer
474,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",smoked-beer
475,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,smoked-beer
