,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
722,David Oliver,31,RW,DAL,6,0,3,3,1,2,0,0,0,0,3,0,0,5,0.0,55,9:13,0.3
723,Krzysztof Oliwa,29,LW,TOT,42,0,0,0,-3,161,0,0,0,0,0,0,0,14,0.0,165,3:55,-0.4
724,Krzysztof Oliwa,29,LW,BOS,33,0,0,0,-4,110,0,0,0,0,0,0,0,11,0.0,131,3:58,-0.4
725,Krzysztof Oliwa,29,LW,NYR,9,0,0,0,1,51,0,0,0,0,0,0,0,3,0.0,34,3:45,0.0
726,Jimmie Olvestad,22,LW,TBL,37,0,3,3,-2,16,0,0,0,0,3,0,0,30,0.0,387,10:28,-0.4
727,Brooks Orpik,22,D,PIT,6,0,0,0,-5,2,0,0,0,0,0,0,0,2,0.0,110,18:19,-0.2
728,Vladimir Orszagh,25,RW,NSH,78,16,16,32,-1,38,13,3,0,3,12,4,0,152,10.5,1370,17:34,3.2
729,Steve Ott,20,C,DAL,26,3,4,7,6,31,3,0,0,0,4,0,0,25,12.0,228,8:46,0.9
730,Sandis Ozolinsh,30,D,TOT,82,12,32,44,-6,56,6,6,0,3,19,13,0,137,8.8,2133,26:01,8.6
731,Sandis Ozolinsh,30,D,FLA,51,7,19,26,-16,40,2,5,0,2,9,10,0,83,8.4,1447,28:23,4.3
732,Sandis Ozolinsh,30,D,MDA,31,5,13,18,10,16,4,1,0,1,10,3,0,54,9.3,686,22:08,4.3
733,Samuel Pahlsson,25,C,MDA,34,4,11,15,10,18,3,0,1,2,10,0,1,28,14.3,453,13:20,1.8
734,Ziggy Palffy,30,RW,LAK,76,37,48,85,22,47,25,10,2,5,30,17,1,277,13.4,1706,22:27,11.4
735,Jay Pandolfo,28,LW,NJD,68,6,11,17,12,23,5,0,1,4,11,0,0,92,6.5,1097,16:08,1.2
736,Justin Papineau,23,C,TOT,16,3,3,6,0,4,3,0,0,2,3,0,0,23,13.0,195,12:12,0.6
737,Justin Papineau,23,C,STL,11,2,1,3,-1,0,2,0,0,1,1,0,0,15,13.3,121,10:59,0.3
738,Justin Papineau,23,C,NYI,5,1,2,3,1,4,1,0,0,1,2,0,0,8,12.5,74,14:50,0.3
739,Richard Park,26,RW,MIN,81,14,10,24,-3,16,10,2,2,3,9,1,0,149,9.4,1345,16:36,2.1
740,Scott Parker,25,LW,COL,43,1,3,4,6,82,1,0,0,0,3,0,0,20,5.0,269,6:15,0.3
741,Mark Parrish,25,RW,NYI,81,23,25,48,-11,28,14,9,0,5,13,12,0,147,15.6,1312,16:12,4.8
742,James Patrick,39,D,BUF,69,4,12,16,-3,26,2,2,0,1,6,6,0,63,6.3,1305,18:55,3.9
743,Jeff Paul,24,D,COL,2,0,0,0,0,7,0,0,0,0,0,0,0,0,,7,3:32,0.0
744,Stephen Peat,22,RW,WSH,27,1,0,1,-3,57,1,0,0,0,0,0,0,7,14.3,112,4:09,-0.1
745,Michael Peca,28,C,NYI,66,13,29,42,-4,43,7,4,2,2,20,8,1,117,11.1,1251,18:57,3.5
746,Denis Pederson,27,RW,NSH,43,4,6,10,2,39,4,0,0,0,6,0,0,64,6.3,551,12:48,0.8
