,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
0,Justin Abdelkader,25,LW,DET,48,10,3,13,6,34,10,0,0,0,3,0,0,96,10.4,711,14:49,13,120,65,60,52.0,1.7
1,Luke Adam,22,LW,BUF,4,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,39,9:48,2,3,1,0,100.0,0.2
2,Craig Adams,35,RW,PIT,48,3,6,9,-1,28,2,0,1,0,6,0,0,46,6.5,536,11:10,37,107,51,47,52.0,0.2
3,Jason Akeson,22,C,PHI,1,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,12,12:23,0,0,0,0,,0.3
4,Andrew Alberts,31,D,VAN,24,0,1,1,-7,32,0,0,0,0,1,0,0,15,0.0,364,15:11,31,39,0,0,,-0.1
5,Daniel Alfredsson,40,RW,OTT,47,10,16,26,1,33,7,3,0,2,7,8,1,101,9.9,909,19:21,30,28,16,22,42.1,2.7
6,Akim Aliu,23,RW,CGY,5,0,0,0,-2,14,0,0,0,0,0,0,0,2,0.0,54,10:52,2,5,0,0,,-0.2
7,Bryan Allen,32,D,ANA,41,0,6,6,1,34,0,0,0,0,6,0,0,25,0.0,768,18:44,66,63,0,0,,1.3
8,Karl Alzner,24,D,WSH,48,1,4,5,-6,14,1,0,0,0,4,0,0,39,2.6,1006,20:57,85,45,0,0,,0.7
9,Matt Anderson,30,RW,NJD,2,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,5:47,1,0,0,0,,0.1
10,Joakim Andersson,23,C,DET,38,3,5,8,2,8,3,0,0,0,4,1,0,43,7.0,459,12:05,12,17,144,166,46.5,0.6
11,Mike Angelidis,27,C,TBL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7:22,0,0,3,4,42.9,0.0
12,Artem Anisimov,24,C,CBJ,35,11,7,18,-6,12,10,1,0,3,7,0,0,68,16.2,574,16:25,24,13,249,260,48.9,2.1
13,Nik Antropov,32,C,WPG,40,6,12,18,6,16,4,2,0,0,11,1,0,56,10.7,638,15:57,27,76,128,176,42.1,1.8
14,Mark Arcobello,24,LW,EDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,18:15,2,0,3,7,30.0,0.0
