,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
15,Colby Armstrong,30,RW,MTL,37,2,3,5,1,12,2,0,0,0,3,0,0,33,6.1,414,11:12,21,36,9,12,42.9,0.0
16,Arron Asham,34,RW,NYR,27,2,0,2,2,50,2,0,0,0,0,0,0,14,14.3,179,6:38,4,39,5,5,50.0,0.2
17,Cam Atkinson,23,RW,CBJ,35,9,9,18,9,4,8,1,0,1,8,1,0,91,9.9,546,15:35,16,24,0,0,,2.5
18,Adrian Aucoin,39,D,CBJ,36,0,4,4,-8,16,0,0,0,0,4,0,0,26,0.0,588,16:20,13,43,0,0,,0.4
19,Keith Aucoin,34,C,NYI,41,6,6,12,-1,4,5,1,0,1,6,0,0,50,12.0,512,12:30,21,33,167,177,48.5,1.1
20,Keith Aulie,23,D,TBL,45,2,5,7,1,60,2,0,0,0,5,0,0,37,5.4,577,12:49,42,91,0,0,,1.2
21,Anton Babchuk,28,D,CGY,7,0,1,1,-1,0,0,0,0,0,1,0,0,5,0.0,83,11:51,9,1,0,0,,0.1
22,David Backes,28,RW,STL,48,6,22,28,5,62,5,1,0,1,17,4,1,100,6.0,941,19:37,41,158,477,435,52.3,2.6
23,Mikael Backlund,23,C,CGY,32,8,8,16,-6,29,6,2,0,1,6,2,0,88,9.1,484,15:07,19,31,194,213,47.7,1.6
24,Nicklas Backstrom,25,C,WSH,48,8,40,48,8,20,5,3,0,1,25,15,0,82,9.8,955,19:54,35,31,432,408,51.4,4.8
25,Sven Baertschi,20,LW,CGY,20,3,7,10,0,6,3,0,0,0,7,0,0,28,10.7,268,13:24,5,12,1,0,100.0,1.0
26,Josh Bailey,23,C,NYI,38,11,8,19,7,6,11,0,0,1,6,2,0,76,14.5,622,16:23,22,24,35,40,46.7,2.6
27,Keith Ballard,30,D,VAN,36,0,2,2,-2,29,0,0,0,0,2,0,0,35,0.0,557,15:28,34,45,0,0,,0.6
28,Carter Bancks,23,LW,CGY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,14:41,3,6,0,0,,0.0
29,Daniel Bang,25,RW,NSH,8,0,2,2,-2,0,0,0,0,0,2,0,0,13,0.0,103,12:54,0,12,0,0,,0.0
30,Mark Barberio,22,D,TBL,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,31,15:30,1,0,0,0,,-0.2
31,Krys Barch,32,RW,NJD,22,0,0,0,1,44,0,0,0,0,0,0,0,4,0.0,129,5:51,3,25,1,1,50.0,-0.1
32,Cam Barker,26,D,VAN,14,0,2,2,-3,4,0,0,0,0,2,0,0,19,0.0,199,14:12,16,16,0,0,,0.2
33,Tyson Barrie,21,D,COL,32,2,11,13,-11,10,1,1,0,1,7,4,0,58,3.4,691,21:35,24,31,0,0,,1.3
34,Matt Bartkowski,24,D,BOS,11,0,2,2,0,6,0,0,0,0,2,0,0,9,0.0,148,13:29,3,11,0,0,,0.4
35,Victor Bartley,24,D,NSH,24,0,7,7,2,6,0,0,0,0,7,0,0,19,0.0,469,19:33,28,35,0,0,,1.5
36,Jay Beagle,27,C,WSH,48,2,6,8,-1,14,2,0,0,1,6,0,0,56,3.6,581,12:06,23,55,249,195,56.1,0.0
37,Francois Beauchemin,32,D,ANA,48,6,18,24,19,22,5,1,0,0,11,7,0,74,8.1,1126,23:27,111,81,0,0,,5.8
38,Nathan Beaulieu,20,D,MTL,6,0,2,2,5,0,0,0,0,0,2,0,0,8,0.0,92,15:22,4,3,0,0,,0.7
39,Taylor Beck,21,LW,NSH,16,3,4,7,0,2,2,1,0,0,3,1,0,39,7.7,258,16:06,11,13,6,3,66.7,0.7
40,Steve Begin,34,C,CGY,36,4,4,8,-2,22,3,0,1,2,4,0,0,31,12.9,288,8:00,21,62,57,60,48.7,0.8
41,Eric Belanger,35,C,EDM,26,0,3,3,-1,10,0,0,0,0,3,0,0,31,0.0,367,14:07,15,19,203,175,53.7,-0.3
42,Matt Beleskey,24,LW,ANA,42,8,5,13,2,56,6,2,0,1,5,0,0,61,13.1,505,12:01,16,103,6,13,31.6,1.5
43,Brett Bellemore,24,D,CAR,8,0,2,2,-2,7,0,0,0,0,2,0,0,3,0.0,110,13:46,13,14,0,0,,0.1
44,Jamie Benn,23,LW,DAL,41,12,21,33,-12,40,9,3,0,3,14,7,0,110,10.9,816,19:55,32,71,327,382,46.1,3.0
45,Jordie Benn,25,D,DAL,26,1,5,6,-4,10,0,1,0,0,5,0,0,31,3.2,450,17:19,31,25,0,0,,0.8
46,Beau Bennett,21,RW,PIT,26,3,11,14,7,6,2,1,0,2,7,4,0,30,10.0,320,12:18,9,28,1,3,25.0,1.5
47,Andre Benoit,29,D,OTT,33,3,7,10,-3,8,2,1,0,2,6,1,0,50,6.0,542,16:25,54,29,0,0,,2.0
48,Marc-Andre Bergeron,32,D,TOT,25,1,8,9,-4,9,1,0,0,0,3,5,0,43,2.3,344,13:46,19,16,0,0,,0.9
49,Marc-Andre Bergeron,32,D,CAR,13,0,4,4,-7,5,0,0,0,0,1,3,0,21,0.0,196,15:04,11,11,0,0,,0.0
50,Marc-Andre Bergeron,32,D,TBL,12,1,4,5,3,4,1,0,0,0,2,2,0,22,4.5,148,12:22,8,5,0,0,,1.0
51,Patrice Bergeron,27,C,BOS,42,10,22,32,24,18,8,2,0,3,19,2,1,125,8.0,810,19:18,25,28,549,335,62.1,4.3
52,Patrik Berglund,24,C,STL,48,17,8,25,-2,12,10,5,2,3,7,1,0,74,23.0,808,16:50,24,53,279,324,46.3,3.4
53,Steve Bernier,27,RW,NJD,47,8,7,15,-7,17,6,2,0,1,5,2,0,88,9.1,647,13:46,15,64,5,5,50.0,1.5
54,Todd Bertuzzi,37,RW,DET,7,2,1,3,3,2,2,0,0,0,1,0,0,10,20.0,109,15:31,1,6,0,0,,0.5
55,Stu Bickel,26,D,NYR,16,0,0,0,-2,49,0,0,0,0,0,0,0,2,0.0,88,5:31,6,13,0,0,,-0.1
56,Bryan Bickell,26,LW,CHI,48,9,14,23,12,25,9,0,0,2,14,0,0,82,11.0,615,12:48,13,108,2,4,33.3,3.0
57,Kevin Bieksa,31,D,VAN,36,6,6,12,6,48,4,2,0,1,5,1,0,77,7.8,790,21:56,50,60,0,0,,3.3
58,Paul Bissonnette,27,LW,PHX,28,0,6,6,2,36,0,0,0,0,6,0,0,13,0.0,152,5:25,8,36,0,0,,0.5
59,Nick Bjugstad,20,C,FLA,11,1,0,1,-8,2,1,0,0,0,0,0,0,17,5.9,167,15:13,2,17,53,79,40.2,-0.4
60,Nicolas Blanchard,25,C,CAR,9,0,0,0,-2,20,0,0,0,0,0,0,0,6,0.0,78,8:41,2,22,1,0,100.0,-0.2
61,Jonathon Blum,24,D,NSH,35,1,6,7,-1,6,1,0,0,0,6,0,0,26,3.8,500,14:18,44,32,0,0,,1.4
62,Mike Blunden,26,RW,MTL,5,0,0,0,-1,4,0,0,0,0,0,0,0,5,0.0,42,8:21,3,2,0,0,,-0.1
63,Mikkel Boedker,23,LW,PHX,48,7,19,26,0,12,4,3,0,2,15,4,0,83,8.4,887,18:29,17,77,1,10,9.1,2.0
64,Zach Bogosian,22,D,WPG,33,5,9,14,-5,29,5,0,0,0,6,3,0,85,5.9,763,23:07,50,79,0,0,,2.2
65,Alexandre Bolduc,27,C,PHX,14,0,0,0,-4,2,0,0,0,0,0,0,0,17,0.0,107,7:38,3,21,7,14,33.3,-0.4
66,Jared Boll,26,RW,CBJ,43,2,4,6,1,100,2,0,0,0,4,0,0,19,10.5,348,8:05,7,80,4,5,44.4,0.4
67,Dave Bolland,26,C,CHI,35,7,7,14,-7,22,6,1,0,1,4,2,1,46,15.2,572,16:20,18,43,239,279,46.1,1.0
68,Brandon Bollig,26,LW,CHI,25,0,0,0,-1,51,0,0,0,0,0,0,0,34,0.0,200,8:01,6,41,0,3,0.0,-0.4
69,Nick Bonino,24,C,ANA,27,5,8,13,-3,8,4,1,0,0,6,2,0,37,13.5,429,15:53,49,11,138,157,46.8,1.1
70,David Booth,28,LW,VAN,12,1,2,3,-3,4,1,0,0,0,2,0,0,27,3.7,153,12:45,1,24,1,0,100.0,0.1
71,Patrick Bordeleau,26,LW,COL,46,2,3,5,-7,70,2,0,0,0,3,0,0,24,8.3,286,6:13,3,116,0,2,0.0,0.0
72,Mark Borowiecki,23,D,OTT,6,0,0,0,1,18,0,0,0,0,0,0,0,1,0.0,78,13:00,5,26,0,0,,0.2
73,Robert Bortuzzo,23,D,PIT,15,2,2,4,3,27,2,0,0,0,2,0,0,10,20.0,199,13:17,14,18,0,0,,1.0
74,Pierre-Marc Bouchard,28,C,MIN,43,8,12,20,3,8,8,0,0,2,10,2,0,71,11.3,600,13:57,6,12,1,6,14.3,2.3
75,Francis Bouillon,37,D,MTL,48,1,8,9,4,21,1,0,0,0,8,0,0,46,2.2,868,18:05,50,78,0,0,,2.1
76,Eric Boulton,36,LW,NYI,15,0,0,0,-4,36,0,0,0,0,0,0,0,5,0.0,85,5:40,6,23,0,0,,-0.3
77,Chris Bourque,27,LW,BOS,18,1,3,4,-6,6,1,0,0,1,0,3,0,24,4.2,217,12:05,7,25,0,1,0.0,-0.1
78,Gabriel Bourque,22,LW,NSH,34,11,5,16,6,4,7,3,1,2,5,0,0,50,22.0,538,15:50,23,39,4,2,66.7,2.4
79,Rene Bourque,31,LW,MTL,27,7,6,13,-1,32,5,2,0,1,5,1,0,63,11.1,441,16:20,11,37,0,1,0.0,1.3
80,Jay Bouwmeester,29,D,TOT,47,7,15,22,-6,22,6,1,0,0,7,6,2,79,8.9,1158,24:38,61,41,0,0,,4.0
81,Jay Bouwmeester,29,D,CGY,33,6,9,15,-11,16,5,1,0,0,4,4,1,55,10.9,830,25:10,51,33,0,0,,2.2
82,Jay Bouwmeester,29,D,STL,14,1,6,7,5,6,1,0,0,0,3,2,1,24,4.2,328,23:24,10,8,0,0,,1.8
83,Drayson Bowman,23,C,CAR,37,3,2,5,-7,17,3,0,0,0,2,0,0,68,4.4,433,11:42,14,55,4,6,40.0,-0.2
84,Johnny Boychuk,29,D,BOS,44,1,5,6,5,12,1,0,0,0,5,0,0,75,1.3,898,20:24,87,79,0,0,,2.0
85,Zach Boychuk,23,C,TOT,13,1,1,2,-1,6,1,0,0,0,1,0,0,14,7.1,160,12:19,2,10,0,0,,0.0
86,Zach Boychuk,23,C,PIT,7,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,81,11:37,2,7,0,0,,-0.3
87,Zach Boychuk,23,C,NSH,5,1,1,2,1,4,1,0,0,0,1,0,0,8,12.5,69,13:42,0,3,0,0,,0.3
88,Zach Boychuk,23,C,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10:13,0,0,0,0,,0.0
89,Brad Boyes,30,C,NYI,48,10,25,35,-6,16,9,1,0,1,13,12,0,97,10.3,874,18:13,20,44,4,12,25.0,3.2
90,Brian Boyle,28,C,NYR,38,2,3,5,-13,29,2,0,0,1,2,1,0,56,3.6,540,14:13,30,145,215,166,56.4,-0.7
91,Dan Boyle,36,D,SJS,46,7,13,20,3,27,2,5,0,0,4,8,1,97,7.2,1049,22:48,81,29,0,0,,4.9
92,Tyler Bozak,26,C,TOR,46,12,16,28,-1,6,7,4,1,3,11,5,0,61,19.7,934,20:19,23,65,559,504,52.6,2.7
93,Derick Brassard,25,C,TOT,47,12,17,29,1,16,9,3,0,1,9,8,0,88,13.6,778,16:33,8,83,215,231,48.2,3.4
94,Derick Brassard,25,C,CBJ,34,7,11,18,-2,16,6,1,0,1,5,6,0,63,11.1,562,16:32,3,53,129,154,45.6,1.8
95,Derick Brassard,25,C,NYR,13,5,6,11,3,0,3,2,0,0,4,2,0,25,20.0,216,16:38,5,30,86,77,52.8,1.6
96,Justin Braun,25,D,SJS,41,0,7,7,-5,6,0,0,0,0,6,1,0,48,0.0,771,18:48,51,53,0,0,,1.5
97,T.J. Brennan,23,D,TOT,29,3,7,10,-9,8,2,1,0,0,4,3,0,42,7.1,484,16:41,32,31,0,0,,1.3
98,T.J. Brennan,23,D,FLA,19,2,7,9,-8,2,2,0,0,0,4,3,0,24,8.3,336,17:41,19,28,0,0,,1.0
99,T.J. Brennan,23,D,BUF,10,1,0,1,-1,6,0,1,0,0,0,0,0,18,5.6,148,14:49,13,3,0,0,,0.2
100,Tim Brent,28,C,CAR,30,0,3,3,-3,8,0,0,0,0,1,2,0,23,0.0,294,9:48,15,31,124,116,51.7,-0.3
101,Eric Brewer,33,D,TBL,48,4,8,12,3,30,3,1,0,1,8,0,0,56,7.1,985,20:31,94,88,0,0,,2.3
102,Daniel Briere,35,C,PHI,34,6,10,16,-13,10,3,3,0,1,7,3,0,87,6.9,546,16:04,6,15,62,73,45.9,1.1
103,T.J. Brodie,22,D,CGY,47,2,12,14,-9,8,2,0,0,0,6,6,0,44,4.5,950,20:13,74,24,0,0,,2.0
104,Jonas Brodin,19,D,MIN,45,2,9,11,3,10,1,1,0,0,8,1,0,51,3.9,1045,23:13,60,17,0,0,,3.2
105,Kyle Brodziak,28,C,MIN,48,8,4,12,-18,20,6,1,1,1,3,1,0,88,9.1,833,17:21,18,54,377,386,49.4,0.1
106,Sheldon Brookbank,32,D,CHI,26,1,0,1,-2,21,0,0,1,0,0,0,0,25,4.0,332,12:45,34,28,0,1,0.0,0.3
107,Troy Brouwer,27,RW,WSH,47,19,14,33,-5,28,11,7,1,5,5,9,0,111,17.1,871,18:32,23,108,111,121,47.8,3.9
108,Chris Brown,21,C,PHX,5,0,0,0,0,2,0,0,0,0,0,0,0,6,0.0,38,7:38,0,6,0,0,,-0.1
109,Dustin Brown,28,RW,LAK,46,18,11,29,6,22,10,8,0,1,6,5,0,142,12.7,897,19:30,8,156,15,26,36.6,4.1
110,Mike Brown,27,RW,TOT,39,1,1,2,-7,123,1,0,0,0,1,0,0,18,5.6,293,7:31,13,87,5,3,62.5,-0.5
111,Mike Brown,27,RW,EDM,27,1,0,1,-8,53,1,0,0,0,0,0,0,16,6.3,237,8:48,12,65,5,2,71.4,-0.5
112,Mike Brown,27,RW,TOR,12,0,1,1,1,70,0,0,0,0,1,0,0,2,0.0,56,4:39,1,22,0,1,0.0,0.1
113,Damien Brunner,26,C,DET,44,12,14,26,-6,12,9,3,0,1,7,7,0,123,9.8,686,15:35,2,20,2,3,40.0,2.9
114,Adam Burish,30,C,SJS,46,1,2,3,-7,25,0,0,1,0,2,0,0,39,2.6,486,10:34,33,65,122,106,53.5,-0.5
115,Alexander Burmistrov,21,C,WPG,44,4,6,10,0,14,4,0,0,0,6,0,0,55,7.3,688,15:38,16,106,142,159,47.2,0.3
116,Brent Burns,27,D,SJS,30,9,11,20,0,20,7,2,0,0,10,1,0,81,11.1,488,16:17,13,54,4,9,30.8,4.0
117,Alexandre Burrows,31,LW,VAN,47,13,11,24,15,54,12,1,0,2,9,2,0,140,9.3,889,18:54,15,52,48,60,44.4,3.4
118,Bobby Butler,25,LW,TOT,34,4,7,11,-8,4,3,1,0,0,4,3,0,41,9.8,367,10:48,4,15,2,3,40.0,0.8
119,Bobby Butler,25,LW,NSH,20,3,6,9,-2,4,3,0,0,0,4,2,0,28,10.7,228,11:23,2,7,0,1,0.0,0.9
120,Bobby Butler,25,LW,NJD,14,1,1,2,-6,0,0,1,0,0,0,1,0,13,7.7,140,9:59,2,8,2,2,50.0,-0.1
121,Chris Butler,26,D,CGY,44,1,7,8,-10,19,0,0,1,0,7,0,0,40,2.5,750,17:02,74,53,0,0,,0.9
122,Dustin Byfuglien,27,D,WPG,43,8,20,28,-1,34,4,4,0,2,14,6,0,142,5.6,1049,24:24,47,80,0,0,,4.7
123,Paul Byron,23,C,CGY,4,0,1,1,-2,2,0,0,0,0,1,0,0,1,0.0,42,10:27,1,3,7,10,41.2,0.0
124,Ryan Callahan,27,RW,NYR,45,16,15,31,9,12,8,6,2,4,12,2,1,144,11.1,968,21:31,66,154,14,16,46.7,4.1
125,Matt Calvert,23,LW,CBJ,42,9,7,16,-9,32,8,0,1,2,7,0,0,63,14.3,596,14:11,24,57,2,4,33.3,1.4
126,Mike Cammalleri,30,C,CGY,44,13,19,32,-15,25,8,5,0,3,9,10,0,102,12.7,794,18:03,9,20,253,243,51.0,3.1
127,Brian Campbell,33,D,FLA,48,8,19,27,-22,12,2,6,0,2,8,11,0,70,11.4,1268,26:25,65,14,0,0,,3.9
128,Gregory Campbell,29,C,BOS,48,4,9,13,2,41,3,0,1,0,8,1,0,52,7.7,658,13:43,28,71,189,212,47.1,0.9
129,Daniel Carcillo,28,LW,CHI,23,2,1,3,1,11,2,0,0,1,1,0,0,23,8.7,207,9:00,6,37,0,1,0.0,0.2
130,Matt Carkner,32,D,NYI,22,0,2,2,-2,46,0,0,0,0,2,0,0,19,0.0,277,12:35,19,27,0,0,,0.3
131,Matt Carle,28,D,TBL,48,5,17,22,1,4,3,2,0,0,14,3,0,66,7.6,1140,23:45,87,32,0,0,,3.4
132,John Carlson,23,D,WSH,48,6,16,22,11,18,6,0,0,0,11,5,0,97,6.2,1105,23:01,123,59,1,0,100.0,4.7
133,Jordan Caron,22,RW,BOS,17,1,2,3,1,4,1,0,0,0,2,0,0,20,5.0,160,9:24,4,18,0,0,,0.2
134,Brett Carson,27,D,CGY,10,0,1,1,-1,0,0,0,0,0,1,0,0,8,0.0,109,10:56,12,4,0,0,,0.1
135,Jeff Carter,28,C,LAK,48,26,7,33,0,16,18,8,0,8,5,2,0,133,19.5,844,17:35,23,25,202,182,52.6,5.2
136,Ryan Carter,29,C,NJD,44,6,9,15,-2,31,5,0,1,1,7,0,2,63,9.5,574,13:03,15,50,43,40,51.8,1.5
137,Michael Caruso,24,D,FLA,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,7:55,2,0,0,0,,-0.1
138,Roman Cervenka,27,C,CGY,39,9,8,17,-13,14,8,1,0,0,5,3,0,51,17.6,512,13:08,4,7,58,67,46.4,1.5
139,Zdeno Chara,35,D,BOS,48,7,12,19,14,70,4,3,0,2,10,1,1,119,5.9,1197,24:56,64,101,0,1,0.0,5.2
140,Alex Chiasson,22,RW,DAL,7,6,1,7,3,0,5,1,0,1,1,0,0,13,46.2,99,14:05,2,10,5,13,27.8,1.4
141,Jason Chimera,33,LW,WSH,47,3,11,14,-5,48,3,0,0,0,11,0,0,92,3.3,596,12:40,12,73,21,15,58.3,0.5
142,Kyle Chipchura,26,C,PHX,46,5,9,14,1,50,5,0,0,0,9,0,0,37,13.5,446,9:42,7,61,126,135,48.3,1.3
143,Casey Cizikas,21,C,NYI,45,6,9,15,0,14,6,0,0,1,8,1,0,45,13.3,485,10:47,21,75,144,132,52.2,1.5
144,Brett Clark,36,D,MIN,8,0,1,1,-9,0,0,0,0,0,1,0,0,6,0.0,113,14:04,11,5,0,0,,-0.5
145,David Clarkson,28,RW,NJD,48,15,9,24,-6,78,9,6,0,5,7,2,0,180,8.3,844,17:36,6,84,6,19,24.0,3.1
146,Dan Cleary,34,LW,DET,48,9,6,15,-6,40,3,5,1,0,6,0,0,93,9.7,789,16:27,21,56,11,12,47.8,1.2
147,Kyle Clifford,22,LW,LAK,48,7,7,14,1,51,7,0,0,1,7,0,0,56,12.5,509,10:36,12,155,1,8,11.1,1.6
148,Grant Clitsome,27,D,WPG,44,4,12,16,10,18,2,2,0,0,11,1,0,56,7.1,829,18:50,54,82,0,0,,3.7
149,Ryane Clowe,30,LW,TOT,40,3,16,19,1,93,2,1,0,0,13,3,0,87,3.4,665,16:38,19,99,5,10,33.3,1.6
150,Ryane Clowe,30,LW,SJS,28,0,11,11,-4,79,0,0,0,0,9,2,0,65,0.0,461,16:28,15,69,4,8,33.3,0.5
151,Ryane Clowe,30,LW,NYR,12,3,5,8,5,14,2,1,0,0,4,1,0,22,13.6,204,17:02,4,30,1,2,33.3,1.1
152,Rich Clune,25,LW,NSH,47,4,5,9,3,113,4,0,0,1,5,0,0,46,8.7,442,9:24,6,159,0,2,0.0,0.8
153,Cal Clutterbuck,25,RW,MIN,42,4,6,10,-5,27,4,0,0,1,5,0,1,87,4.6,577,13:44,17,155,1,1,50.0,0.4
154,Braydon Coburn,27,D,PHI,33,1,4,5,-10,41,1,0,0,0,4,0,0,38,2.6,746,22:37,61,76,0,0,,0.7
155,Andrew Cogliano,25,C,ANA,48,13,10,23,14,6,11,0,2,1,10,0,0,79,16.5,738,15:22,24,40,32,60,34.8,3.3
156,Carlo Colaiacovo,30,D,DET,6,0,1,1,-4,2,0,0,0,0,0,1,0,12,0.0,113,18:55,10,12,0,0,,-0.1
157,Joe Colborne,23,C,TOR,5,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,46,9:07,0,11,15,14,51.7,-0.1
158,Erik Cole,34,LW,TOT,47,9,4,13,-6,20,8,1,0,2,2,2,0,86,10.5,770,16:24,27,101,22,45,32.8,0.8
159,Erik Cole,34,LW,DAL,28,6,1,7,-7,10,5,1,0,0,0,1,0,45,13.3,473,16:54,21,58,15,28,34.9,0.3
160,Erik Cole,34,LW,MTL,19,3,3,6,1,10,3,0,0,2,2,1,0,41,7.3,297,15:39,6,43,7,17,29.2,0.5
161,Ian Cole,23,D,STL,15,0,1,1,-4,10,0,0,0,0,1,0,0,10,0.0,266,17:45,22,6,0,0,,0.2
162,Sean Collins,24,C,CBJ,5,0,0,0,-2,6,0,0,0,0,0,0,0,0,,62,12:30,5,3,1,4,20.0,-0.2
163,Blake Comeau,26,RW,TOT,42,6,6,12,-4,20,5,0,1,1,6,0,0,48,12.5,511,12:10,12,95,40,46,46.5,1.0
164,Blake Comeau,26,RW,CGY,33,4,3,7,-9,14,3,0,1,1,3,0,0,44,9.1,406,12:17,10,72,37,44,45.7,0.2
165,Blake Comeau,26,RW,CBJ,9,2,3,5,5,6,2,0,0,0,3,0,0,4,50.0,105,11:41,2,23,3,2,60.0,0.8
166,Cory Conacher,23,LW,TOT,47,11,18,29,3,20,10,1,0,3,15,3,0,67,16.4,657,13:58,9,39,4,11,26.7,3.3
167,Cory Conacher,23,LW,TBL,35,9,15,24,-3,16,8,1,0,2,12,3,0,53,17.0,503,14:22,8,25,0,3,0.0,2.5
168,Cory Conacher,23,LW,OTT,12,2,3,5,6,4,2,0,0,1,3,0,0,14,14.3,154,12:51,1,14,4,8,33.3,0.8
169,Erik Condra,26,RW,OTT,48,4,8,12,3,34,4,0,0,0,8,0,0,73,5.5,632,13:10,32,12,8,13,38.1,0.9
170,Chris Conner,29,RW,PHX,12,1,1,2,3,2,1,0,0,0,1,0,0,15,6.7,137,11:23,5,15,0,2,0.0,0.2
171,Brett Connolly,20,RW,TBL,5,1,0,1,-3,0,0,1,0,0,0,0,0,10,10.0,51,10:16,1,2,4,1,80.0,0.0
172,Matt Cooke,34,LW,PIT,48,8,13,21,-2,36,8,0,0,1,13,0,0,61,13.1,706,14:43,41,97,3,11,21.4,1.7
173,Patrice Cormier,22,C,WPG,10,0,0,0,-3,7,0,0,0,0,0,0,0,4,0.0,39,3:53,2,15,1,5,16.7,-0.2
174,Frank Corrado,19,D,VAN,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,58,19:24,5,8,0,0,,0.0
175,Joe Corvo,35,D,CAR,40,6,11,17,-3,14,3,3,0,2,6,5,0,71,8.5,750,18:46,38,27,0,0,,2.7
176,Logan Couture,23,C,SJS,48,21,16,37,7,4,14,7,0,5,10,5,1,151,13.9,869,18:06,51,32,252,237,51.5,5.7
177,Sean Couturier,20,C,PHI,46,4,11,15,-8,10,4,0,0,0,7,4,0,75,5.3,731,15:53,27,31,243,310,43.9,0.6
178,Jared Cowen,22,D,OTT,7,1,0,1,1,10,1,0,0,0,0,0,0,8,12.5,142,20:17,10,26,0,0,,0.5
179,Charlie Coyle,20,C,MIN,37,8,6,14,3,28,7,1,0,2,6,0,0,50,16.0,557,15:04,9,50,9,17,34.6,1.7
180,Joey Crabb,29,RW,WSH,26,2,0,2,-1,8,2,0,0,0,0,0,0,20,10.0,245,9:25,17,24,7,27,20.6,-0.1
181,Adam Cracknell,27,RW,STL,20,2,4,6,3,4,2,0,0,0,4,0,0,21,9.5,172,8:37,7,22,6,19,24.0,0.8
182,B.J. Crombeen,27,RW,TBL,44,1,7,8,4,112,1,0,0,0,7,0,0,50,2.0,488,11:05,15,44,4,16,20.0,0.2
183,Sidney Crosby,25,C,PIT,36,15,41,56,26,16,12,3,0,1,27,14,0,124,12.1,760,21:06,18,21,453,381,54.3,7.5
184,Matt Cullen,36,C,MIN,42,7,20,27,9,10,7,0,0,0,16,4,0,79,8.9,667,15:53,18,18,245,203,54.7,3.1
185,Mark Cundari,22,D,CGY,4,1,2,3,-2,2,0,1,0,0,1,1,0,8,12.5,79,19:46,4,15,0,0,,0.4
186,Matt D'Agostini,26,RW,TOT,29,3,3,6,-5,8,3,0,0,0,2,1,0,33,9.1,357,12:19,12,21,5,13,27.8,0.3
187,Matt D'Agostini,26,RW,STL,16,1,1,2,-4,2,1,0,0,0,1,0,0,19,5.3,190,11:52,8,11,4,10,28.6,-0.1
188,Matt D'Agostini,26,RW,NJD,13,2,2,4,-1,6,2,0,0,0,1,1,0,14,14.3,167,12:51,4,10,1,3,25.0,0.4
189,Stephane Da Costa,23,RW,OTT,9,1,1,2,-3,0,1,0,0,0,0,1,0,15,6.7,107,11:52,1,8,39,25,60.9,0.0
