,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
34,Jay Beagle,24,C,WSH,7,1,1,2,-1,2,0.1,1,0,0,0,1,0,0,10,10.0,65,9:16,5,11,17,14,54.8
35,Francois Beauchemin,29,D,TOR,82,5,21,26,-13,33,3.9,1,4,0,1,15,6,0,170,2.9,2088,25:28,155,88,3,1,75.0
36,Steve Begin,31,C,BOS,77,5,9,14,-7,53,0.3,4,0,1,2,8,0,1,110,4.5,988,12:50,31,182,366,315,53.7
37,Wade Belak,33,D,NSH,39,0,2,2,0,58,0.4,0,0,0,0,2,0,0,8,0.0,170,4:21,4,30,0,0,
38,Eric Belanger,32,C,TOT,77,15,26,41,2,32,4.1,12,3,0,3,20,6,0,151,9.9,1194,15:31,29,47,521,403,56.4
39,Eric Belanger,32,C,MIN,60,13,22,35,-1,28,3.7,10,3,0,3,16,6,0,120,10.8,945,15:45,20,36,416,306,57.6
40,Eric Belanger,32,C,WSH,17,2,4,6,3,4,0.4,2,0,0,0,4,0,0,31,6.5,249,14:40,9,11,105,97,52.0
41,Matt Beleskey,21,LW,ANA,60,11,7,18,-10,35,1.2,11,0,0,3,7,0,0,123,8.9,839,13:59,23,94,8,12,40.0
42,Shawn Belle,25,D,MTL,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,21,10:38,0,2,0,0,
43,Jamie Benn,20,LW,DAL,82,22,19,41,-1,45,4.6,20,2,0,3,14,5,0,182,12.1,1206,14:42,39,186,109,127,46.2
44,Sean Bergenheim,25,LW,NYI,63,10,13,23,1,45,2.0,8,0,2,0,12,0,1,133,7.5,886,14:04,37,127,5,12,29.4
45,Marc-Andre Bergeron,29,D,MTL,60,13,21,34,-7,16,5.7,6,7,0,4,6,15,0,123,10.6,904,15:04,47,57,0,0,
46,Patrice Bergeron,24,C,BOS,73,19,33,52,6,28,5.8,18,0,1,4,24,8,1,184,10.3,1380,18:54,45,49,768,557,58.0
47,Niclas Bergfors,22,RW,TOT,81,21,23,44,-10,10,4.5,12,9,0,6,17,6,0,217,9.7,1249,15:25,6,18,9,10,47.4
48,Niclas Bergfors,22,RW,NJD,54,13,14,27,-7,10,2.8,5,8,0,4,9,5,0,134,9.7,804,14:53,2,14,5,2,71.4
49,Niclas Bergfors,22,RW,ATL,27,8,9,17,-3,0,1.7,7,1,0,2,8,1,0,83,9.6,445,16:30,4,4,4,8,33.3
50,Patrik Berglund,21,C,STL,71,13,13,26,-5,16,2.5,7,6,0,4,10,3,0,129,10.1,959,13:30,11,70,220,284,43.7
51,Steve Bernier,24,RW,VAN,59,11,11,22,0,21,1.9,8,3,0,0,10,1,0,95,11.6,836,14:10,32,105,7,27,20.6
52,Todd Bertuzzi,34,RW,DET,82,18,26,44,-7,80,4.2,14,4,0,4,19,7,0,216,8.3,1375,16:46,19,104,11,12,47.8
53,Blair Betts,29,C,PHI,63,8,10,18,7,14,1.8,6,1,1,2,10,0,0,63,12.7,795,12:37,63,95,435,420,50.9
54,Bryan Bickell,23,LW,CHI,16,3,1,4,4,5,0.6,3,0,0,1,1,0,0,20,15.0,154,9:36,2,22,0,2,0.0
55,Kevin Bieksa,28,D,VAN,55,3,19,22,-5,85,2.9,2,1,0,0,13,6,0,95,3.2,1200,21:49,59,70,0,0,
56,Paul Bissonnette,24,LW,PHX,41,3,2,5,-2,117,0.4,3,0,0,1,2,0,0,25,12.0,240,5:52,3,73,0,0,
57,Byron Bitz,25,RW,TOT,52,5,6,11,-8,33,0.5,5,0,0,2,6,0,0,58,8.6,574,11:02,20,83,7,11,38.9
58,Byron Bitz,25,RW,BOS,45,4,5,9,-9,31,0.3,4,0,0,2,5,0,0,51,7.8,493,10:57,18,64,7,10,41.2
59,Byron Bitz,25,RW,FLA,7,1,1,2,1,2,0.2,1,0,0,0,1,0,0,7,14.3,81,11:37,2,19,0,1,0.0
60,Jason Blake,36,C,TOT,82,16,25,41,-10,36,3.3,10,6,0,2,21,4,0,239,6.7,1304,15:54,26,70,31,50,38.3
61,Jason Blake,36,C,TOR,56,10,16,26,-4,26,2.0,8,2,0,2,13,3,0,170,5.9,887,15:50,22,36,19,34,35.8
62,Jason Blake,36,C,ANA,26,6,9,15,-6,10,1.3,2,4,0,0,8,1,0,69,8.7,417,16:02,4,34,12,16,42.9
63,Rob Blake,40,D,SJS,70,7,23,30,14,60,6.3,3,4,0,1,18,4,1,182,3.8,1495,21:21,114,68,0,0,
64,Mario Bliznak,22,C,VAN,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,17,8:31,1,0,9,5,64.3
65,Mike Blunden,23,RW,CBJ,40,2,2,4,3,59,0.2,2,0,0,0,2,0,0,40,5.0,324,8:07,7,83,29,61,32.2
66,Brandon Bochenski,27,RW,TBL,28,4,9,13,-1,2,1.2,3,1,0,0,6,3,0,43,9.3,344,12:16,10,18,2,3,40.0
67,Troy Bodie,25,RW,ANA,44,5,2,7,-8,80,0.0,4,0,1,1,2,0,0,58,8.6,495,11:15,8,62,0,1,0.0
68,Andrew Bodnarchuk,21,D,BOS,5,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,0,,37,7:19,3,2,0,0,
69,Mikkel Boedker,20,LW,PHX,14,1,2,3,2,0,0.3,1,0,0,0,2,0,0,7,14.3,122,8:43,1,17,0,0,
70,Zach Bogosian,19,D,ATL,81,10,13,23,-18,61,3.2,6,3,1,0,9,3,1,155,6.5,1734,21:25,124,196,0,0,
71,Alexandre Bolduc,24,C,VAN,15,0,0,0,-3,13,-0.4,0,0,0,0,0,0,0,14,0.0,150,9:58,13,20,47,40,54.0
72,Jared Boll,23,RW,CBJ,68,4,3,7,-8,149,0.0,4,0,0,0,3,0,0,56,7.1,490,7:12,12,123,0,3,0.0
73,Dave Bolland,23,C,CHI,39,6,10,16,5,28,1.3,5,1,0,0,9,1,0,52,11.5,677,17:22,19,33,274,281,49.4
74,Nick Bonino,21,C,ANA,9,1,1,2,0,6,0.1,0,1,0,0,1,0,0,14,7.1,128,14:13,3,4,34,44,43.6
75,Derek Boogaard,27,LW,MIN,57,0,4,4,-12,105,-0.6,0,0,0,0,4,0,0,26,0.0,351,6:09,8,83,0,0,
76,David Booth,25,LW,FLA,28,8,8,16,-3,23,1.6,8,0,0,1,3,5,0,95,8.4,508,18:08,10,50,2,8,20.0
77,Casey Borer,24,D,CAR,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,22,10:46,5,4,0,0,
78,Pierre-Marc Bouchard,25,C,MIN,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,11,10:44,0,0,1,2,33.3
79,Francis Bouillon,34,D,NSH,81,3,8,11,5,50,3.5,2,1,0,1,4,3,1,86,3.5,1564,19:18,96,162,0,0,
80,Eric Boulton,33,LW,ATL,62,2,6,8,-1,113,0.2,1,1,0,0,6,0,0,39,5.1,425,6:51,10,96,2,2,50.0
81,Chris Bourque,24,LW,TOT,21,0,3,3,-6,10,-0.3,0,0,0,0,1,2,0,21,0.0,201,9:35,5,25,0,0,
82,Chris Bourque,24,LW,PIT,20,0,3,3,-4,10,-0.2,0,0,0,0,1,2,0,20,0.0,192,9:35,4,24,0,0,
83,Chris Bourque,24,LW,WSH,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,10,9:37,1,1,0,0,
84,Rene Bourque,28,LW,CGY,73,27,31,58,7,88,7.4,17,6,4,5,24,7,0,215,12.6,1337,18:19,44,91,8,17,32.0
85,Jay Bouwmeester,26,D,CGY,82,3,26,29,-4,48,5.8,2,1,0,0,13,11,2,130,2.3,2125,25:55,125,72,0,0,
86,Drayson Bowman,20,C,CAR,9,2,0,2,-1,4,0.2,1,1,0,0,0,0,0,17,11.8,108,12:01,0,13,0,0,
87,Johnny Boychuk,26,D,BOS,51,5,10,15,10,43,4.4,5,0,0,0,6,3,1,96,5.2,901,17:39,56,91,0,0,
88,Zach Boychuk,20,C,CAR,31,3,6,9,1,2,0.7,3,0,0,0,5,1,0,37,8.1,333,10:45,7,23,5,4,55.6
89,Dustin Boyd,23,C,TOT,78,11,13,24,6,19,2.5,11,0,0,3,10,2,1,112,9.8,954,12:14,42,80,244,228,51.7
90,Dustin Boyd,23,C,CGY,60,8,11,19,5,15,2.0,8,0,0,2,8,2,1,80,10.0,734,12:14,34,60,183,184,49.9
91,Dustin Boyd,23,C,NSH,18,3,2,5,1,4,0.5,3,0,0,1,2,0,0,32,9.4,219,12:11,8,20,61,44,58.1
92,Brad Boyes,27,C,STL,82,14,28,42,1,26,3.9,12,2,0,3,20,8,0,197,7.1,1377,16:47,18,76,138,173,44.4
93,Brian Boyle,25,C,NYR,71,4,2,6,-6,47,-0.1,4,0,0,1,1,1,0,73,5.5,598,8:25,41,143,125,198,38.7
94,Dan Boyle,33,D,SJS,76,15,43,58,6,70,9.9,9,6,0,3,20,23,0,180,8.3,1992,26:13,130,51,0,3,0.0
95,Nick Boynton,31,D,TOT,49,1,7,8,5,71,2.0,0,1,0,0,6,1,0,50,2.0,815,16:38,59,64,0,0,
96,Nick Boynton,31,D,ANA,42,1,6,7,1,59,1.5,0,1,0,0,5,1,0,39,2.6,704,16:45,54,61,0,0,
97,Nick Boynton,31,D,CHI,7,0,1,1,4,12,0.5,0,0,0,0,1,0,0,11,0.0,112,15:56,5,3,0,0,
98,Tyler Bozak,23,C,TOR,37,8,19,27,-5,6,2.2,6,2,0,1,16,3,0,51,15.7,712,19:14,15,52,358,290,55.2
99,Matt Bradley,31,RW,WSH,77,10,14,24,6,47,1.9,9,0,1,5,14,0,0,98,10.2,849,11:02,19,112,11,17,39.3
100,Donald Brashear,38,LW,NYR,36,0,1,1,-9,73,-0.6,0,0,0,0,1,0,0,18,0.0,225,6:15,9,43,0,0,
101,Derick Brassard,22,C,CBJ,79,9,27,36,-17,48,2.0,5,4,0,0,21,6,0,125,7.2,1180,14:57,11,97,210,293,41.7
102,Tim Brent,25,C,TOR,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,13,13:21,0,4,4,4,50.0
103,Eric Brewer,30,D,STL,59,8,7,15,-17,46,2.6,8,0,0,0,4,3,0,84,9.5,1265,21:27,98,76,0,0,
104,Daniel Briere,32,C,PHI,75,26,27,53,-2,71,6.5,18,8,0,1,18,9,0,193,13.5,1244,16:35,17,53,53,67,44.2
105,Rod Brind'Amour,39,C,CAR,80,9,10,19,-29,36,0.0,7,2,0,2,7,3,0,95,9.5,1017,12:43,31,82,490,348,58.5
106,Kyle Brodziak,25,C,MIN,82,9,23,32,-3,22,2.3,9,0,0,3,20,3,0,140,6.4,1257,15:20,52,69,484,517,48.4
107,Sheldon Brookbank,29,D,ANA,66,0,9,9,10,114,2.5,0,0,0,0,9,0,0,60,0.0,987,14:58,59,89,0,0,
108,Troy Brouwer,24,RW,CHI,78,22,18,40,9,66,4.6,14,7,1,7,12,6,0,116,19.0,1277,16:22,46,189,5,4,55.6
109,Dustin Brown,25,RW,LAK,82,24,32,56,-6,41,5.6,17,7,0,3,22,10,0,248,9.7,1579,19:15,25,283,17,22,43.6
110,Mike Brown,24,RW,ANA,75,6,1,7,1,106,0.3,5,0,1,2,1,0,0,82,7.3,626,8:21,17,124,0,7,0.0
111,Gilbert Brule,23,C,EDM,65,17,20,37,-8,38,3.9,15,2,0,3,17,3,0,121,14.0,925,14:14,25,112,144,130,52.6
112,Andrew Brunette,36,LW,MIN,82,25,36,61,-5,12,6.9,13,12,0,3,23,13,0,129,19.4,1396,17:02,20,33,5,5,50.0
113,Fabian Brunnstrom,24,LW,DAL,44,2,9,11,-3,10,0.4,2,0,0,0,8,1,0,38,5.3,469,10:40,5,44,1,2,33.3
114,Adam Burish,27,C,CHI,13,1,3,4,2,14,0.4,1,0,0,0,3,0,0,9,11.1,114,8:46,9,9,7,14,33.3
115,Brent Burns,24,D,MIN,47,3,17,20,-15,32,2.5,1,2,0,0,8,9,0,104,2.9,1052,22:22,44,97,0,0,
116,Alexandre Burrows,28,LW,VAN,82,35,32,67,34,121,9.5,26,4,5,3,28,2,2,209,16.7,1465,17:52,54,97,14,20,41.2
117,Bobby Butler,22,LW,OTT,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,17,8:21,0,1,0,0,
118,Chris Butler,23,D,BUF,59,1,20,21,-15,22,2.6,1,0,0,0,8,12,0,61,1.6,1181,20:01,66,48,0,0,
119,Dane Byers,23,LW,NYR,5,1,0,1,1,31,0.2,1,0,0,0,0,0,0,3,33.3,32,6:21,0,4,0,0,
120,Dustin Byfuglien,24,D,CHI,82,17,17,34,-7,94,6.1,11,6,0,3,12,5,0,211,8.1,1346,16:25,38,215,1,1,50.0
121,Kyle Calder,31,LW,ANA,14,0,2,2,-7,8,-0.4,0,0,0,0,1,1,0,20,0.0,198,14:07,4,17,1,3,25.0
122,Joe Callahan,27,D,SJS,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,0,,10,9:34,4,1,0,0,
123,Ryan Callahan,24,RW,NYR,77,19,18,37,-12,48,3.2,10,9,0,3,6,11,1,204,9.3,1494,19:24,81,285,17,18,48.6
124,Mike Cammalleri,27,C,MTL,65,26,24,50,7,16,6.5,22,4,0,4,13,11,0,218,11.9,1269,19:31,27,18,26,25,51.0
125,Brian Campbell,30,D,CHI,68,7,31,38,18,18,7.7,4,3,0,2,22,8,1,131,5.3,1579,23:13,79,37,0,0,
126,Gregory Campbell,26,C,FLA,60,2,15,17,-5,53,0.2,2,0,0,1,15,0,0,84,2.4,924,15:24,72,158,158,183,46.3
127,Chris Campoli,25,D,OTT,67,4,14,18,-3,16,3.5,3,1,0,1,12,2,0,71,5.6,1196,17:51,78,98,0,1,0.0
128,Luca Caputi,21,LW,TOT,23,2,6,8,-1,12,0.4,2,0,0,0,6,0,0,36,5.6,325,14:08,5,29,10,13,43.5
129,Luca Caputi,21,LW,TOR,19,1,5,6,0,10,0.2,1,0,0,0,5,0,0,32,3.1,278,14:38,4,20,10,13,43.5
130,Luca Caputi,21,LW,PIT,4,1,1,2,-1,2,0.2,1,0,0,0,1,0,0,4,25.0,47,11:46,1,9,0,0,
131,Daniel Carcillo,25,LW,PHI,76,12,10,22,5,207,2.5,11,1,0,1,9,1,0,105,11.4,855,11:15,17,194,1,2,33.3
132,Matt Carkner,29,D,OTT,81,2,9,11,0,190,2.9,2,0,0,0,9,0,0,87,2.3,1370,16:55,125,125,0,0,
133,Mathieu Carle,22,D,MTL,3,0,0,0,1,4,0.1,0,0,0,0,0,0,0,2,0.0,43,14:28,4,3,0,0,
134,Matt Carle,25,D,PHI,80,6,29,35,19,16,8.2,4,2,0,1,17,12,0,137,4.4,1871,23:23,137,35,0,0,
135,John Carlson,20,D,WSH,22,1,5,6,11,8,1.6,1,0,0,0,5,0,0,21,4.8,335,15:15,32,29,0,0,
136,Brett Carson,24,D,CAR,54,2,10,12,5,12,2.8,2,0,0,0,8,2,0,42,4.8,938,17:22,89,77,0,0,
137,Jeff Carter,25,C,PHI,74,33,28,61,2,38,8.0,20,11,2,6,17,11,0,319,10.3,1428,19:18,34,60,688,626,52.4
138,Ryan Carter,26,C,ANA,38,4,5,9,0,31,0.7,4,0,0,1,4,0,1,38,10.5,374,9:51,6,51,116,105,52.5
139,Zdeno Chara,32,D,BOS,80,7,37,44,19,87,10.2,3,4,0,1,24,12,1,242,2.9,2030,25:22,102,149,1,1,50.0
140,Jonathan Cheechoo,29,RW,OTT,61,5,9,14,-13,20,0.3,5,0,0,0,9,0,0,117,4.3,729,11:57,18,77,4,6,40.0
141,Chris Chelios,48,D,ATL,7,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0.0,78,11:10,7,8,0,0,
142,Jason Chimera,30,LW,TOT,78,15,19,34,-1,98,3.0,14,1,0,1,19,0,0,160,9.4,1068,13:42,16,78,22,18,55.0
143,Jason Chimera,30,LW,WSH,39,7,10,17,6,51,1.7,7,0,0,0,10,0,0,68,10.3,492,12:36,10,50,7,10,41.2
144,Jason Chimera,30,LW,CBJ,39,8,9,17,-7,47,1.4,7,1,0,1,9,0,0,92,8.7,576,14:47,6,28,15,8,65.2
145,Kyle Chipchura,23,C,TOT,74,6,6,12,-12,72,-0.1,5,0,1,1,5,0,1,54,11.1,850,11:29,28,63,378,398,48.7
146,Kyle Chipchura,23,C,ANA,55,6,6,12,-2,56,0.6,5,0,1,1,5,0,1,43,14.0,686,12:29,25,55,321,349,47.9
147,Kyle Chipchura,23,C,MTL,19,0,0,0,-10,16,-0.7,0,0,0,0,0,0,0,11,0.0,164,8:38,3,8,57,49,53.8
148,Taylor Chorney,22,D,EDM,42,0,3,3,-21,12,-0.7,0,0,0,0,2,1,0,35,0.0,730,17:24,72,36,0,0,
149,Erik Christensen,26,C,TOT,58,8,18,26,11,26,2.8,7,1,0,1,15,3,0,86,9.3,861,14:51,16,52,329,345,48.8
150,Erik Christensen,26,C,NYR,49,8,18,26,14,24,3.1,7,1,0,1,15,3,0,77,10.4,758,15:28,13,46,308,315,49.4
151,Erik Christensen,26,C,ANA,9,0,0,0,-3,2,-0.3,0,0,0,0,0,0,0,9,0.0,103,11:27,3,6,21,30,41.2
152,Brett Clark,33,D,COL,64,3,17,20,6,28,3.8,1,2,0,1,12,5,0,75,4.0,1225,19:08,162,55,0,0,
153,Chris Clark,33,RW,TOT,74,7,13,20,-12,48,0.6,7,0,0,1,9,4,0,105,6.7,878,11:52,17,90,7,13,35.0
154,Chris Clark,33,RW,WSH,38,4,11,15,-4,27,0.8,4,0,0,1,7,4,0,59,6.8,443,11:39,12,36,3,7,30.0
155,Chris Clark,33,RW,CBJ,36,3,2,5,-8,21,-0.3,3,0,0,0,2,0,0,46,6.5,436,12:06,5,54,4,6,40.0
156,David Clarkson,25,RW,NJD,46,11,13,24,3,85,2.9,8,3,0,2,10,3,0,106,10.4,664,14:27,13,99,6,14,30.0
157,Dan Cleary,31,LW,DET,64,15,19,34,-3,29,3.4,13,2,0,2,14,5,0,140,10.7,1103,17:14,25,119,59,60,49.6
158,Marc-Andre Cliche,22,RW,LAK,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,,7,7:23,1,1,4,2,66.7
159,Grant Clitsome,24,D,CBJ,11,1,2,3,0,6,0.6,1,0,0,0,2,0,0,7,14.3,162,14:44,7,30,0,0,
160,Ryane Clowe,27,LW,SJS,82,19,38,57,0,131,5.6,17,2,0,2,25,13,0,189,10.1,1408,17:10,33,157,35,38,47.9
161,Rich Clune,22,LW,LAK,14,0,2,2,1,26,0.1,0,0,0,0,2,0,0,7,0.0,102,7:17,1,23,2,3,40.0
162,Cal Clutterbuck,22,RW,MIN,74,13,8,21,-8,52,1.7,10,1,2,1,8,0,0,136,9.6,1057,14:17,29,318,3,7,30.0
163,Braydon Coburn,24,D,PHI,81,5,14,19,-6,54,4.1,4,1,0,0,12,2,0,122,4.1,1712,21:08,109,118,0,0,
164,Andrew Cogliano,22,C,EDM,82,10,18,28,-5,31,1.9,9,1,0,1,16,2,0,139,7.2,1162,14:11,28,76,160,211,43.1
165,Carlo Colaiacovo,27,D,STL,67,7,25,32,8,60,6.3,2,4,1,1,21,3,1,74,9.5,1159,17:18,52,52,1,0,100.0
166,Erik Cole,31,LW,CAR,40,11,5,16,-9,29,1.4,9,2,0,1,5,0,0,81,13.6,656,16:23,20,94,4,11,26.7
167,Blake Comeau,23,RW,NYI,61,17,18,35,-2,40,3.8,16,0,1,2,12,3,3,133,12.8,940,15:25,31,111,10,11,47.6
168,Mike Commodore,30,D,CBJ,57,2,9,11,-9,62,1.8,2,0,0,1,8,1,0,54,3.7,1083,19:00,87,128,0,0,
169,Mike Comrie,29,C,EDM,43,13,8,21,-9,30,2.3,8,5,0,0,3,5,0,97,13.4,612,14:14,28,18,25,22,53.2
170,Tim Conboy,27,D,CAR,12,0,0,0,-5,24,-0.4,0,0,0,0,0,0,0,5,0.0,52,4:18,2,9,0,0,
171,Chris Conner,26,RW,PIT,8,2,1,3,-1,0,0.4,2,0,0,1,1,0,0,11,18.2,77,9:36,4,6,0,1,0.0
172,Tim Connolly,28,C,BUF,73,17,48,65,10,28,6.9,9,7,1,5,27,20,1,206,8.3,1359,18:37,46,23,349,398,46.7
173,Craig Conroy,38,C,CGY,63,3,12,15,-6,25,0.3,3,0,0,1,12,0,0,52,5.8,855,13:34,41,43,453,426,51.5
174,Matt Cooke,31,LW,PIT,79,15,15,30,17,106,3.4,13,2,0,1,13,1,1,105,14.3,1168,14:47,53,180,13,11,54.2
175,Matthew Corrente,21,D,NJD,12,0,0,0,0,24,0.1,0,0,0,0,0,0,0,6,0.0,106,8:51,6,11,0,0,
176,Joe Corvo,32,D,TOT,52,6,12,18,-10,12,2.4,1,5,0,0,8,4,0,99,6.1,1212,23:18,65,34,0,0,
177,Joe Corvo,32,D,CAR,34,4,8,12,-6,10,2.0,0,4,0,0,6,2,0,76,5.3,857,25:13,41,19,0,0,
178,Joe Corvo,32,D,WSH,18,2,4,6,-4,2,0.4,1,1,0,0,2,2,0,23,8.7,354,19:41,24,15,0,0,
179,Riley Cote,27,LW,PHI,15,0,0,0,0,24,-0.1,0,0,0,0,0,0,0,7,0.0,45,3:02,0,13,0,0,
180,Logan Couture,20,C,SJS,25,5,4,9,4,6,1.2,4,1,0,1,4,0,0,42,11.9,256,10:16,11,14,75,68,52.4
181,Jared Cowen,19,D,OTT,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,7,6:46,0,0,0,0,
182,Ryan Craig,28,C,TBL,3,0,0,0,0,5,-0.1,0,0,0,0,0,0,0,5,0.0,29,9:47,1,3,0,1,0.0
183,B.J. Crombeen,24,RW,STL,79,7,8,15,-5,168,0.5,6,0,1,1,7,0,1,120,5.8,1033,13:05,31,82,18,33,35.3
184,Sidney Crosby,22,C,PIT,81,51,58,109,15,71,14.7,36,13,2,6,36,21,1,298,17.1,1778,21:57,42,62,992,781,56.0
185,Matt Cullen,33,C,TOT,81,16,32,48,-7,34,4.0,12,2,2,2,21,10,1,195,8.2,1519,18:45,48,70,568,542,51.2
186,Matt Cullen,33,C,CAR,60,12,28,40,0,26,3.6,9,1,2,1,19,8,1,137,8.8,1142,19:02,33,58,437,450,49.3
187,Matt Cullen,33,C,OTT,21,4,4,8,-7,8,0.4,3,1,0,1,2,2,0,58,6.9,378,17:59,15,12,131,92,58.7
188,Kyle Cumiskey,23,D,COL,61,7,13,20,0,20,3.7,5,2,0,1,8,5,0,74,9.5,1208,19:48,105,47,0,0,
