,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
0,Antti Aalto,25,C,MDA,12,1,1,2,1,2,1,0,0,0,1,0,0,18,5.6,127,10:37,0.2
1,Bryan Adams,23,LW,ATL,9,0,1,1,-4,2,0,0,0,0,1,0,0,3,0.0,87,9:37,-0.2
2,Craig Adams,23,RW,CAR,44,1,0,1,-7,20,1,0,0,0,0,0,0,15,6.7,198,4:30,-0.3
3,Greg Adams,37,LW,FLA,60,11,12,23,-3,10,9,2,0,1,12,0,0,66,16.7,863,14:23,2.0
4,Kevyn Adams,26,C,TOT,78,11,18,29,3,54,11,0,0,3,17,0,1,105,10.5,1219,15:38,2.4
5,Kevyn Adams,26,C,CBJ,66,8,12,20,-4,52,8,0,0,1,11,0,1,84,9.5,1010,15:18,1.3
6,Kevyn Adams,26,C,FLA,12,3,6,9,7,2,3,0,0,2,6,0,0,21,14.3,209,17:25,1.2
7,Dmitry Afanasenkov,20,LW,TBL,9,1,1,2,1,4,1,0,0,0,1,0,0,8,12.5,103,11:24,0.2
8,Maxim Afinogenov,21,RW,BUF,78,14,22,36,1,40,11,3,0,5,15,7,0,190,7.4,1134,14:32,3.5
9,Mika Alatalo,29,LW,PHX,70,7,12,19,1,22,7,0,0,1,11,1,0,64,10.9,769,10:59,1.4
10,Tommy Albelin,36,D,CGY,77,1,19,20,2,22,0,1,0,0,9,10,0,69,1.4,1608,20:53,4.5
11,Daniel Alfredsson,28,RW,OTT,68,24,46,70,11,30,14,10,0,3,31,15,0,206,11.7,1277,18:47,7.7
12,Bryan Allen,20,D,VAN,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,56,9:20,0.0
13,Jamie Allison,25,D,CHI,44,1,3,4,7,53,1,0,0,0,3,0,0,16,6.3,640,14:33,1.7
14,Jason Allison,25,C,BOS,82,36,59,95,-8,85,22,11,3,6,25,33,1,185,19.5,1915,23:21,9.9
15,Tony Amonte,30,RW,CHI,82,35,29,64,-22,54,25,9,1,3,15,14,0,256,13.7,1816,22:09,6.6
16,Niklas Andersson,29,LW,CGY,11,0,1,1,0,4,0,0,0,0,1,0,0,8,0.0,123,11:10,-0.1
17,Dave Andreychuk,37,LW,BUF,74,20,13,33,0,32,12,8,0,4,6,7,0,119,16.8,887,12:00,4.1
18,Nik Antropov,20,C,TOR,52,6,11,17,5,30,6,0,0,1,8,3,0,71,8.5,522,10:02,1.6
19,Denis Arkhipov,21,C,NSH,40,6,7,13,0,4,6,0,0,0,6,1,0,42,14.3,397,9:56,1.4
20,Chris Armstrong,25,D,MIN,3,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,54,18:06,-0.1
21,Derek Armstrong,27,C,NYR,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,34,11:22,-0.1
22,Jason Arnott,26,C,NJD,54,21,34,55,23,75,13,8,0,3,27,7,0,138,15.2,875,16:12,6.9
23,Magnus Arvedson,29,LW,OTT,51,17,16,33,23,24,14,1,2,4,16,0,0,79,21.5,817,16:01,4.5
24,Arron Asham,22,RW,MTL,46,2,3,5,-9,59,2,0,0,0,2,1,0,32,6.3,389,8:28,-0.2
25,Kaspars Astashenko,25,D,TBL,15,1,1,2,-4,4,1,0,0,0,1,0,0,4,25.0,103,6:50,0.1
26,Blair Atcheynum,31,RW,CHI,19,1,2,3,-7,2,1,0,0,0,2,0,0,18,5.6,173,9:06,-0.1
27,Serge Aubin,25,C,CBJ,81,13,17,30,-20,107,13,0,0,2,16,0,1,110,11.8,1324,16:20,1.7
28,Adrian Aucoin,27,D,TOT,73,4,24,28,5,45,2,2,0,0,9,15,0,159,2.5,1475,20:12,5.1
29,Adrian Aucoin,27,D,VAN,47,3,13,16,13,20,2,1,0,0,6,7,0,99,3.0,862,18:21,3.7
