,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
30,Adrian Aucoin,27,D,TBL,26,1,11,12,-8,25,0,1,0,0,3,8,0,60,1.7,613,23:34,1.4
31,Donald Audette,31,RW,TOT,76,34,45,79,-2,76,19,14,1,3,28,17,0,225,15.1,1508,19:50,8.9
32,Donald Audette,31,RW,ATL,64,32,39,71,-3,64,18,13,1,2,25,14,0,187,17.1,1299,20:18,8.2
33,Donald Audette,31,RW,BUF,12,2,6,8,1,12,1,1,0,1,3,3,0,38,5.3,209,17:25,0.8
34,P.J. Axelsson,25,LW,BOS,81,8,15,23,-12,27,8,0,0,2,15,0,0,146,5.5,1013,12:30,1.0
35,Yuri Babenko,23,C,COL,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,32,10:34,-0.1
36,Drew Bannister,26,D,NYR,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,32,10:47,-0.1
37,Matthew Barnaby,27,RW,TOT,76,5,8,13,-10,265,4,1,0,0,5,3,0,67,7.5,732,9:38,0.1
38,Matthew Barnaby,27,RW,PIT,47,1,4,5,-7,168,1,0,0,0,3,1,0,38,2.6,367,7:49,-0.4
39,Matthew Barnaby,27,RW,TBL,29,4,4,8,-3,97,3,1,0,0,2,2,0,29,13.8,364,12:34,0.5
40,Stu Barnes,30,C,BUF,75,19,24,43,-2,26,14,3,2,5,16,8,0,160,11.9,1433,19:06,4.1
41,Murray Baron,33,D,VAN,82,3,8,11,-13,63,3,0,0,1,6,0,2,56,5.4,1591,19:24,1.7
42,Len Barrie,31,LW,FLA,60,5,18,23,4,135,4,0,1,2,15,3,0,48,10.4,754,12:34,1.8
43,Lubos Bartecko,24,LW,STL,50,5,8,13,-1,12,5,0,0,3,7,1,0,51,9.8,521,10:25,1.0
44,Peter Bartos,27,RW,MIN,13,4,2,6,2,6,3,1,0,1,1,1,0,18,22.2,180,13:50,0.9
45,Andrei Bashkirov,30,LW,MTL,18,0,3,3,-2,0,0,0,0,0,3,0,0,22,0.0,210,11:41,-0.1
46,Shawn Bates,25,C,BOS,45,2,3,5,-12,26,2,0,0,0,1,2,0,59,3.4,419,9:19,-0.5
47,Bates Battaglia,25,LW,CAR,80,12,15,27,-14,76,10,2,0,3,14,1,0,133,9.0,1157,14:28,1.9
48,Nolan Baumgartner,24,D,CHI,8,0,0,0,-4,6,0,0,0,0,0,0,0,7,0.0,101,12:40,-0.2
49,Kris Beech,19,C,WSH,4,0,0,0,-2,2,0,0,0,0,0,0,0,0,,30,7:29,-0.1
50,Steve Begin,22,C,CGY,4,0,0,0,0,21,0,0,0,0,0,0,0,3,0.0,24,6:04,0.0
51,Wade Belak,24,D,TOT,39,1,1,2,-6,110,1,0,0,0,1,0,0,16,6.3,377,9:40,0.3
52,Wade Belak,24,D,CGY,23,0,0,0,-2,79,0,0,0,0,0,0,0,8,0.0,159,6:54,0.1
53,Wade Belak,24,D,TOR,16,1,1,2,-4,31,1,0,0,0,1,0,0,8,12.5,218,13:38,0.2
54,Eric Belanger,23,C,LAK,62,9,12,21,14,16,6,1,2,1,11,1,0,80,11.3,832,13:25,2.0
55,Francis Belanger,23,LW,MTL,10,0,0,0,-3,29,0,0,0,0,0,0,0,2,0.0,45,4:30,-0.2
56,Jesse Belanger,31,C,NYI,12,0,0,0,-5,2,0,0,0,0,0,0,0,7,0.0,70,5:52,-0.3
57,Ken Belanger,26,LW,BOS,40,2,2,4,-6,121,2,0,0,1,2,0,0,35,5.7,284,7:06,-0.1
58,Mark Bell,20,C,CHI,13,0,1,1,0,4,0,0,0,0,1,0,0,14,0.0,156,12:00,-0.1
59,Ladislav Benysek,25,D,MIN,71,2,5,7,-11,38,1,1,0,0,3,2,0,48,4.2,1307,18:25,2.3
60,Josef Beranek,31,LW,PIT,70,9,14,23,-7,43,7,2,0,2,10,4,0,152,5.9,1011,14:27,0.8
61,Drake Berehowsky,29,D,TOT,80,7,19,26,-9,121,3,4,0,1,7,12,0,107,6.5,1668,20:51,5.3
62,Drake Berehowsky,29,D,NSH,66,6,18,24,-9,100,3,3,0,1,6,12,0,94,6.4,1428,21:38,4.8
63,Drake Berehowsky,29,D,VAN,14,1,1,2,0,21,0,1,0,0,1,0,0,13,7.7,240,17:10,0.5
64,Bubba Berenzweig,23,D,NSH,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,11:57,0.1
65,Sergei Berezin,29,LW,TOR,79,22,28,50,2,8,12,10,0,3,23,5,0,256,8.6,1239,15:41,5.3
66,Aki Berg,23,D,TOT,59,3,4,7,-3,45,0,3,0,1,4,0,0,43,7.0,919,15:34,1.5
67,Aki Berg,23,D,LAK,47,0,4,4,3,43,0,0,0,0,4,0,0,31,0.0,700,14:54,1.1
68,Aki Berg,23,D,TOR,12,3,0,3,-6,2,0,3,0,1,0,0,0,12,25.0,219,18:13,0.4
69,Marc Bergevin,35,D,TOT,38,1,4,5,6,26,1,0,0,0,4,0,0,12,8.3,640,16:50,1.1
70,Marc Bergevin,35,D,PIT,36,1,4,5,5,26,1,0,0,0,4,0,0,11,9.1,610,16:57,1.0
71,Marc Bergevin,35,D,STL,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,30,14:51,0.1
72,Rick Berry,22,D,COL,19,0,4,4,5,38,0,0,0,0,4,0,0,10,0.0,231,12:08,1.0
73,Eric Bertrand,25,LW,MTL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,4:20,0.0
74,Todd Bertuzzi,25,LW,VAN,79,25,30,55,-18,93,11,14,0,3,20,10,0,203,12.3,1360,17:13,5.2
75,Craig Berube,35,LW,TOT,60,0,3,3,-8,72,0,0,0,0,3,0,0,35,0.0,352,5:52,-0.6
76,Craig Berube,35,LW,NYI,38,0,2,2,-5,54,0,0,0,0,2,0,0,27,0.0,229,6:02,-0.3
77,Craig Berube,35,LW,WSH,22,0,1,1,-3,18,0,0,0,0,1,0,0,8,0.0,123,5:34,-0.2
78,Radim Bicanek,26,D,CBJ,9,0,2,2,1,6,0,0,0,0,2,0,0,11,0.0,154,17:08,0.5
79,Jiri Bicek,22,LW,NJD,5,1,0,1,0,4,1,0,0,0,0,0,0,10,10.0,65,13:04,0.1
80,Mathieu Biron,20,D,NYI,14,0,1,1,2,12,0,0,0,0,1,0,0,10,0.0,173,12:21,0.5
81,James Black,31,LW,WSH,42,1,5,6,-3,4,1,0,0,0,5,0,0,34,2.9,381,9:04,0.0
82,Jason Blake,27,C,TOT,47,5,11,16,-20,34,3,1,1,0,7,4,0,100,5.0,642,13:40,0.3
83,Jason Blake,27,C,NYI,30,4,8,12,-12,24,2,1,1,0,5,3,0,73,5.5,471,15:43,0.5
84,Jason Blake,27,C,LAK,17,1,3,4,-8,10,1,0,0,0,2,1,0,27,3.7,171,10:03,-0.1
85,Rob Blake,31,D,TOT,67,19,40,59,3,77,9,10,0,2,20,19,1,267,7.1,1860,27:46,9.5
86,Rob Blake,31,D,LAK,54,17,32,49,-8,69,8,9,0,1,14,17,1,223,7.6,1522,28:11,7.2
87,Rob Blake,31,D,COL,13,2,8,10,11,8,1,1,0,1,6,2,0,44,4.5,339,26:03,2.3
88,Sylvain Blouin,26,LW,MIN,41,3,2,5,-5,117,3,0,0,0,2,0,0,37,8.1,406,9:54,0.1
89,Eric Boguniecki,25,C,STL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,13:44,-0.1
90,Alexandre Boikov,25,D,NSH,8,0,0,0,-1,13,0,0,0,0,0,0,0,3,0.0,50,6:18,0.0
91,Brad Bombardir,28,D,MIN,70,0,15,15,-6,42,0,0,0,0,10,3,2,81,0.0,1458,20:50,3.5
92,Peter Bondra,32,LW,WSH,82,45,36,81,8,60,19,22,4,8,24,11,1,305,14.8,1705,20:48,10.3
93,Brian Bonin,27,LW,MIN,7,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,68,9:46,-0.2
94,Radek Bonk,25,C,OTT,74,23,36,59,27,52,16,5,2,3,22,12,2,139,16.5,1352,18:16,7.0
95,Dennis Bonvie,27,RW,PIT,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,3:30,-0.1
96,Sebastien Bordeleau,25,C,NSH,14,2,3,5,-4,14,2,0,0,0,3,0,0,20,10.0,177,12:40,0.3
97,Joel Bouchard,27,D,PHX,32,1,2,3,-8,22,1,0,0,0,2,0,0,26,3.8,463,14:28,0.3
98,Philippe Boucher,27,D,LAK,22,2,4,6,4,20,0,2,0,0,3,1,0,40,5.0,405,18:25,1.4
99,Tyler Bouck,21,LW,DAL,48,2,5,7,-3,29,2,0,0,1,5,0,0,41,4.9,431,8:59,0.1
100,Bob Boughner,29,D,PIT,58,1,3,4,18,147,1,0,0,0,3,0,0,46,2.2,957,16:30,1.9
101,Francis Bouillon,25,D,MTL,29,0,6,6,3,26,0,0,0,0,2,4,0,24,0.0,389,13:24,1.4
102,Eric Boulton,24,LW,BUF,35,1,2,3,-1,94,1,0,0,0,2,0,0,20,5.0,199,5:42,0.1
103,Ray Bourque,40,D,COL,80,7,52,59,25,48,3,2,2,0,21,31,0,216,3.2,2088,26:06,10.2
104,Bill Bowler,26,C,CBJ,9,0,2,2,-3,8,0,0,0,0,0,2,0,3,0.0,88,9:44,0.0
105,Dan Boyle,24,D,FLA,69,4,18,22,-14,28,3,1,0,0,6,12,0,83,4.8,1169,16:56,2.9
106,Nick Boynton,22,D,BOS,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,14:27,-0.1
107,Matt Bradley,22,RW,SJS,21,1,1,2,0,19,1,0,0,0,1,0,0,16,6.3,146,6:58,0.1
108,Donald Brashear,29,LW,VAN,79,9,19,28,0,145,9,0,0,1,19,0,0,127,7.1,1063,13:27,2.0
109,Rich Brennan,28,D,LAK,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,29,14:44,-0.2
110,Eric Brewer,21,D,EDM,77,7,14,21,15,53,5,2,0,2,10,3,1,91,7.7,1425,18:31,5.2
111,Daniel Briere,23,C,PHX,30,11,4,15,-2,12,2,9,0,1,1,3,0,43,25.6,325,10:50,2.0
112,Aris Brimanis,28,D,NYI,56,0,8,8,-12,26,0,0,0,0,4,4,0,66,0.0,874,15:36,0.9
113,Rod Brind'Amour,30,C,CAR,79,20,36,56,-7,47,14,5,1,5,23,12,1,163,12.3,1748,22:07,5.1
114,Patrice Brisebois,30,D,MTL,77,15,21,36,-31,28,4,11,0,4,4,17,0,178,8.4,1903,24:43,5.8
115,Paul Brousseau,27,RW,FLA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1:39,0.0
116,Brad Brown,25,D,NYR,48,1,3,4,0,107,1,0,0,0,3,0,0,14,7.1,697,14:31,0.7
117,Curtis Brown,24,C,BUF,70,10,22,32,15,34,7,2,1,0,19,2,1,105,9.5,1160,16:34,3.2
118,Doug Brown,36,C,DET,60,9,13,22,0,14,6,2,1,1,10,3,0,91,9.9,674,11:14,2.1
119,Mike Brown,21,LW,VAN,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,5,4:48,0.0
120,Sean Brown,24,D,EDM,62,2,3,5,2,110,2,0,0,0,3,0,0,30,6.7,690,11:07,1.4
121,Benoit Brunet,32,RW,MTL,35,3,11,14,-4,12,3,0,0,0,7,4,0,61,4.9,583,16:40,0.7
122,Andrew Brunette,27,LW,ATL,77,15,44,59,-5,26,9,6,0,4,28,16,0,104,14.4,1307,16:58,5.1
123,Sergei Brylin,27,LW,NJD,75,23,29,52,25,24,19,3,1,0,23,6,0,130,17.7,1163,15:31,6.3
124,Kelly Buchberger,34,LW,LAK,82,6,14,20,-10,75,6,0,0,1,13,0,1,66,9.1,1183,14:26,0.0
125,Jan Bulis,22,C,TOT,51,5,18,23,-1,26,4,1,0,0,14,4,0,61,8.2,685,13:26,1.7
126,Jan Bulis,22,C,WSH,39,5,13,18,0,26,4,1,0,0,10,3,0,41,12.2,464,11:53,1.6
127,Jan Bulis,22,C,MTL,12,0,5,5,-1,0,0,0,0,0,4,1,0,20,0.0,221,18:25,0.2
128,Pavel Bure,29,RW,FLA,82,59,33,92,-2,58,35,19,5,8,24,9,0,384,15.4,2203,26:52,11.9
129,Valeri Bure,26,RW,CGY,78,27,28,55,-21,26,11,16,0,2,17,11,0,276,9.8,1483,19:01,5.2
130,Adam Burt,32,D,ATL,27,0,2,2,2,27,0,0,0,0,2,0,0,18,0.0,515,19:05,0.7
131,Sven Butenschön,24,D,TOT,12,1,2,3,3,4,1,0,0,0,2,0,0,9,11.1,167,13:55,0.7
132,Sven Butenschön,24,D,EDM,7,1,1,2,2,2,1,0,0,0,1,0,0,3,33.3,78,11:07,0.5
133,Sven Butenschön,24,D,PIT,5,0,1,1,1,2,0,0,0,0,1,0,0,6,0.0,89,17:51,0.2
134,Yuri Butsayev,22,C,DET,15,1,1,2,-2,4,1,0,0,0,1,0,0,18,5.6,137,9:09,0.0
135,Petr Buzek,23,D,ATL,5,0,0,0,2,8,0,0,0,0,0,0,0,11,0.0,87,17:26,0.2
136,Dan Bylsma,30,LW,MDA,82,1,9,10,-12,22,1,0,0,0,8,1,0,50,2.0,963,11:45,-0.7
137,Eric Cairns,26,D,NYI,45,2,2,4,-18,106,2,0,0,0,2,0,0,21,9.5,738,16:24,0.1
138,Kyle Calder,22,C,CHI,43,5,10,15,-4,14,5,0,0,1,9,1,0,63,7.9,547,12:43,1.1
139,Jan Caloun,28,RW,CBJ,11,0,3,3,-8,2,0,0,0,0,2,1,0,14,0.0,139,12:40,-0.2
140,Brian Campbell,21,D,BUF,8,0,0,0,-2,2,0,0,0,0,0,0,0,7,0.0,125,15:40,0.0
141,Jim Campbell,27,RW,MTL,57,9,11,20,-3,53,3,6,0,1,6,5,0,81,11.1,588,10:19,2.0
142,Keith Carney,30,D,PHX,82,2,14,16,15,86,2,0,0,0,14,0,0,65,3.1,1712,20:53,4.8
143,Anson Carter,26,LW,EDM,61,16,26,42,1,23,8,7,1,4,21,5,0,102,15.7,1111,18:13,4.0
144,Andrew Cassels,31,C,VAN,66,12,44,56,1,10,10,2,0,1,23,19,2,104,11.5,1278,19:22,4.8
145,Zdeno Chara,23,D,NYI,82,2,7,9,-27,157,1,0,1,0,5,0,2,83,2.4,1832,22:20,1.2
146,Brad Chartrand,26,RW,LAK,4,1,0,1,-2,2,1,0,0,1,0,0,0,6,16.7,46,11:37,0.0
147,Vladimir Chebaturkin,25,D,STL,22,1,2,3,5,26,1,0,0,0,2,0,0,5,20.0,289,13:09,1.1
148,Chris Chelios,39,D,DET,24,0,3,3,4,45,0,0,0,0,2,0,1,26,0.0,548,22:51,1.2
149,Jason Chimera,21,C,EDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,6:58,0.0
150,Eric Chouinard,20,C,MTL,13,1,3,4,0,0,0,1,0,0,2,1,0,11,9.1,143,10:59,0.3
151,Marc Chouinard,23,C,MDA,44,3,4,7,-5,12,3,0,0,1,4,0,0,26,11.5,345,7:50,0.3
152,Artem Chubarov,21,C,VAN,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,15:08,-0.1
153,Enrico Ciccone,30,D,MTL,3,0,0,0,-1,14,0,0,0,0,0,0,0,0,,9,2:57,-0.1
154,Ivan Ciernik,23,LW,OTT,4,2,0,2,2,2,2,0,0,0,0,0,0,7,28.6,31,7:41,0.4
155,Marian Cisar,22,RW,NSH,60,12,15,27,-7,45,7,5,0,1,12,3,0,97,12.4,790,13:10,2.7
156,Brett Clark,24,D,ATL,28,1,2,3,-12,14,1,0,0,0,2,0,0,35,2.9,505,18:02,-0.2
157,Chris Clark,24,RW,CGY,29,5,1,6,0,38,4,1,0,0,1,0,0,43,11.6,346,11:56,0.6
158,Dale Clarke,22,D,STL,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,41,13:38,0.1
159,Greg Classen,23,C,NSH,27,2,4,6,-4,14,1,1,0,0,3,1,0,18,11.1,277,10:16,0.3
160,Dan Cleary,22,RW,EDM,81,14,21,35,5,37,12,2,0,2,14,7,0,107,13.1,1051,12:58,3.3
161,Ben Clymer,22,D,TBL,23,5,1,6,-7,21,2,3,0,0,1,0,0,25,20.0,300,13:03,0.9
162,Paul Coffey,39,D,BOS,18,0,4,4,-6,30,0,0,0,0,3,1,0,28,0.0,341,18:57,0.3
163,Mike Commodore,21,D,NJD,20,1,4,5,5,14,1,0,0,0,4,0,0,11,9.1,255,12:46,1.1
164,Mike Comrie,20,C,EDM,41,8,14,22,6,14,5,3,0,1,11,3,0,62,12.9,467,11:23,2.5
165,Tim Connolly,19,C,NYI,82,10,31,41,-14,42,5,5,0,0,16,14,1,171,5.8,1642,20:02,2.2
166,Craig Conroy,29,C,TOT,83,14,18,32,2,60,10,0,4,2,15,3,0,133,10.5,1221,14:43,2.9
167,Craig Conroy,29,C,STL,69,11,14,25,2,46,8,0,3,2,13,1,0,101,10.9,967,14:01,2.3
168,Craig Conroy,29,C,CGY,14,3,4,7,0,14,2,0,1,0,2,2,0,32,9.4,254,18:08,0.6
169,Matt Cooke,22,RW,VAN,81,14,13,27,5,94,12,0,2,0,13,0,0,121,11.6,1181,14:35,2.4
170,David Cooper,27,D,TOR,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,11:33,-0.1
171,Rene Corbet,27,LW,PIT,43,8,9,17,-3,57,6,2,0,1,7,1,1,85,9.4,493,11:28,1.4
172,Bob Corkum,33,C,TOT,75,7,7,14,-8,22,6,1,0,0,7,0,0,66,10.6,946,12:37,0.0
173,Bob Corkum,33,C,LAK,58,4,6,10,-12,18,3,1,0,0,6,0,0,47,8.5,753,12:59,-0.5
174,Bob Corkum,33,C,NJD,17,3,1,4,4,4,3,0,0,0,1,0,0,19,15.8,192,11:19,0.5
175,Daniel Corso,22,C,STL,28,10,3,13,0,14,5,5,0,4,2,1,0,42,23.8,390,13:56,1.8
176,Shayne Corson,34,C,TOR,77,8,18,26,1,189,8,0,0,2,15,3,0,102,7.8,1220,15:50,1.4
177,Patrick Cote,26,LW,EDM,6,0,0,0,-2,18,0,0,0,0,0,0,0,0,,19,3:07,-0.1
178,Sylvain Cote,35,D,WSH,68,7,11,18,-3,18,5,1,1,1,5,6,0,86,8.1,1210,17:47,3.7
179,Jeff Cowan,24,LW,CGY,51,9,4,13,-8,74,7,2,0,1,3,1,0,48,18.8,465,9:06,1.2
180,Cory Cross,30,D,TOR,41,3,5,8,7,50,2,1,0,1,5,0,0,34,8.8,738,18:00,2.4
181,Mike Crowley,25,D,MDA,39,1,10,11,-16,20,1,0,0,1,8,2,0,45,2.2,677,17:21,1.0
182,Greg Crozier,24,LW,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:10,0.0
183,David Cullen,24,D,PHX,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,12:25,0.1
184,Matt Cullen,24,C,MDA,82,10,30,40,-23,38,6,4,0,1,19,11,0,159,6.3,1496,18:15,2.1
185,Jassen Cullimore,28,D,TBL,74,1,6,7,-6,80,1,0,0,0,5,1,0,56,1.8,1458,19:43,2.0
186,Jim Cummins,30,RW,MDA,79,5,6,11,-11,167,5,0,0,1,6,0,0,45,11.1,572,7:14,0.4
187,Jakub Cutta,19,D,WSH,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,35,11:33,0.0
188,Mariusz Czerkawski,28,RW,NYI,82,30,32,62,-24,48,19,10,1,0,20,11,1,287,10.5,1536,18:44,6.2
189,Andreas Dackell,28,RW,OTT,81,13,18,31,7,24,12,1,0,3,17,0,1,72,18.1,1136,14:02,2.7
190,Pierre Dagenais,22,RW,NJD,9,3,2,5,1,6,2,1,0,1,1,1,0,20,15.0,111,12:22,0.6
191,Kevin Dahl,32,D,CBJ,4,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,42,10:34,0.1
192,Ulf Dahlen,34,RW,WSH,73,15,33,48,11,6,9,6,0,2,27,6,0,145,10.3,1081,14:48,5.1
193,J.J. Daigneault,35,D,MIN,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,12,11:38,-0.1
194,Vincent Damphousse,33,C,SJS,45,9,37,46,17,62,5,4,0,3,22,13,2,101,8.9,937,20:49,4.8
195,Mathieu Dandenault,24,D,DET,73,10,15,25,11,38,8,2,0,2,13,2,0,95,10.5,1175,16:06,5.8
196,Ken Daneyko,36,D,NJD,77,0,4,4,8,87,0,0,0,0,4,0,0,50,0.0,1330,17:17,1.6
197,Jeff Daniels,32,RW,CAR,67,1,1,2,-3,15,1,0,0,0,1,0,0,42,2.4,502,7:30,-0.5
198,Mike Danton,20,C,NJD,2,0,0,0,0,6,0,0,0,0,0,0,0,3,0.0,16,7:52,0.0
199,Craig Darby,28,C,MTL,78,12,16,28,-17,16,11,0,1,0,13,3,0,97,12.4,1239,15:53,1.6
200,Mathieu Darche,24,LW,CBJ,9,0,0,0,-4,0,0,0,0,0,0,0,0,9,0.0,91,10:07,-0.3
201,Matt Davidson,23,RW,CBJ,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,36,7:14,0.0
202,Eric Daze,25,LW,CHI,79,33,24,57,1,16,23,9,1,8,18,3,3,205,16.1,1402,17:45,7.2
203,Greg de Vries,28,D,COL,79,5,12,17,23,51,5,0,0,0,11,0,1,76,6.6,1351,17:06,5.0
204,Adam Deadmarsh,25,RW,TOT,57,17,15,32,1,63,10,7,0,2,8,7,0,126,13.5,1026,18:00,3.2
205,Adam Deadmarsh,25,RW,COL,39,13,13,26,-2,59,6,7,0,2,7,6,0,86,15.1,687,17:38,2.7
206,Adam Deadmarsh,25,RW,LAK,18,4,2,6,3,4,4,0,0,0,1,1,0,40,10.0,338,18:47,0.5
207,Kevin Dean,31,D,CHI,69,0,11,11,-16,30,0,0,0,0,9,0,2,75,0.0,1342,19:27,1.3
208,Louie DeBrusk,29,RW,PHX,39,0,0,0,-5,79,0,0,0,0,0,0,0,12,0.0,188,4:49,-0.5
209,Xavier Delisle,23,C,MTL,14,3,2,5,-5,6,2,1,0,0,0,2,0,15,20.0,143,10:14,0.4
210,Andy Delmore,24,D,PHI,66,5,9,14,2,16,3,2,0,0,6,2,1,119,4.2,1164,17:39,3.2
211,Pavol Demitra,26,RW,STL,44,20,25,45,27,16,15,5,0,5,19,6,0,124,16.1,794,18:03,6.5
212,Nathan Dempsey,26,D,TOR,25,1,9,10,13,4,0,1,0,0,6,3,0,31,3.2,397,15:53,2.5
213,Matthieu Descoteaux,23,D,MTL,5,1,1,2,-2,4,0,1,0,0,0,1,0,6,16.7,76,15:10,0.3
214,Eric Desjardins,31,D,PHI,79,15,33,48,-3,50,8,6,1,4,19,13,1,187,8.0,2089,26:27,8.2
215,Boyd Devereaux,22,LW,DET,55,5,6,11,1,14,5,0,0,0,6,0,0,66,7.6,557,10:08,0.8
216,Gerald Diduck,35,D,DAL,14,0,0,0,4,18,0,0,0,0,0,0,0,8,0.0,150,10:44,0.5
217,Rob DiMaio,32,RW,CAR,74,6,18,24,-14,54,4,0,2,1,16,2,0,99,6.1,1108,14:58,1.0
218,Kevin Dineen,37,RW,CBJ,66,8,7,15,2,126,8,0,0,3,7,0,0,74,10.8,701,10:37,1.4
219,Chris Dingman,24,LW,COL,41,1,1,2,-3,108,1,0,0,0,1,0,0,33,3.0,264,6:26,-0.3
220,Tomas Divisek,21,LW,PHI,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,11:30,-0.1
221,Shane Doan,24,RW,PHX,76,26,37,63,0,89,19,6,1,6,20,17,0,220,11.8,1485,19:32,6.6
222,Jason Doig,24,D,NYR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,6:35,0.0
223,Bobby Dollas,36,D,TOT,21,1,1,2,4,18,1,0,0,0,1,0,0,11,9.1,270,12:53,0.8
