,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Justin Abdelkader,20,LW,DET,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,6,0.0,24,12:13,0,5,5,7,41.7
1,Craig Adams,30,RW,TOT,75,4,7,11,-16,58,-0.6,3,0,1,1,7,0,0,63,6.3,810,10:48,43,117,19,22,46.3
2,Craig Adams,30,RW,CAR,40,2,3,5,-8,34,-0.3,2,0,0,0,3,0,0,31,6.5,392,9:48,20,67,3,8,27.3
3,Craig Adams,30,RW,CHI,35,2,4,6,-8,24,-0.2,1,0,1,1,4,0,0,32,6.3,418,11:56,23,50,16,14,53.3
4,Kevyn Adams,33,C,CHI,27,0,2,2,-7,13,-0.6,0,0,0,0,0,0,2,32,0.0,295,10:56,11,13,103,104,49.8
5,Maxim Afinogenov,28,RW,BUF,56,10,18,28,-16,42,1.6,9,1,0,1,13,5,0,114,8.8,899,16:03,6,25,1,4,20.0
6,Andrew Alberts,26,D,BOS,35,0,2,2,4,39,1.2,0,0,0,0,2,0,0,25,0.0,722,20:37,52,53,1,1,50.0
7,Daniel Alfredsson,35,RW,OTT,70,40,49,89,15,34,11.5,24,9,7,5,31,16,2,217,18.4,1560,22:17,30,55,21,18,53.8
8,Bobby Allen,29,D,BOS,19,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,10,0.0,188,9:53,6,15,0,0,
9,Bryan Allen,27,D,FLA,73,2,14,16,5,67,3.9,2,0,0,0,11,2,1,67,3.0,1554,21:17,119,112,0,0,
10,Nik Antropov,27,C,TOR,72,26,30,56,10,92,6.5,14,12,0,5,25,4,1,165,15.8,1448,20:07,51,102,114,157,42.1
11,Colby Armstrong,25,RW,TOT,72,13,22,35,4,56,3.2,12,1,0,3,20,1,1,113,11.5,1157,16:04,31,85,3,12,20.0
12,Colby Armstrong,25,RW,PIT,54,9,15,24,6,50,2.2,9,0,0,2,13,1,1,84,10.7,832,15:24,23,69,3,9,25.0
13,Colby Armstrong,25,RW,ATL,18,4,7,11,-2,6,1.0,3,1,0,1,7,0,0,29,13.8,325,18:02,8,16,0,3,0.0
14,Derek Armstrong,34,C,LAK,77,8,27,35,4,63,3.0,7,1,0,2,20,7,0,118,6.8,1023,13:17,29,106,379,370,50.6
15,Tyler Arnason,28,C,COL,70,10,21,31,-1,16,2.4,7,3,0,1,14,7,0,179,5.6,1068,15:16,17,6,375,417,47.3
16,Jason Arnott,33,C,NSH,79,28,44,72,19,54,8.8,15,13,0,3,35,9,0,248,11.3,1500,18:59,23,42,614,646,48.7
17,Arron Asham,29,RW,NJD,77,6,4,10,-6,84,0.5,6,0,0,2,3,1,0,68,8.8,659,8:33,5,87,0,3,0.0
18,Adrian Aucoin,34,D,CGY,76,10,25,35,13,37,7.3,5,5,0,1,10,15,0,121,8.3,1593,20:58,55,69,0,0,
19,Keith Aucoin,29,RW,CAR,38,5,8,13,3,10,1.1,5,0,0,0,7,1,0,65,7.7,511,13:28,8,34,124,203,37.9
20,Sean Avery,27,LW,NYR,57,15,18,33,6,154,4.0,13,2,0,4,15,2,1,125,12.0,903,15:50,11,119,11,17,39.3
21,P.J. Axelsson,32,LW,BOS,75,13,16,29,11,15,2.7,11,0,2,2,14,0,2,100,13.0,1320,17:36,37,44,17,27,38.6
22,David Backes,23,RW,STL,72,13,18,31,-11,99,2.6,10,3,0,2,14,4,0,129,10.1,1057,14:41,13,240,30,37,44.8
23,Christian Backman,27,D,TOT,63,3,15,18,-2,50,3.6,2,1,0,0,11,4,0,51,5.9,1210,19:13,51,34,0,0,
24,Christian Backman,27,D,STL,45,1,9,10,-4,30,1.9,1,0,0,0,7,2,0,30,3.3,872,19:22,38,18,0,0,
25,Christian Backman,27,D,NYR,18,2,6,8,2,20,1.7,1,1,0,0,4,2,0,21,9.5,339,18:49,13,16,0,0,
26,Nicklas Backstrom,20,C,WSH,82,14,55,69,13,24,6.8,11,3,0,4,33,22,0,153,9.2,1557,19:00,34,34,405,469,46.3
27,Keith Ballard,25,D,PHX,82,6,15,21,7,85,5.5,3,2,1,1,13,2,0,105,5.7,1744,21:16,162,169,0,0,
28,Ivan Baranka,22,D,NYR,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,13,12:44,1,1,0,0,
29,Krys Barch,27,RW,DAL,48,1,2,3,-3,105,-0.2,1,0,0,0,2,0,0,23,4.3,312,6:30,6,72,0,2,0.0
30,Cam Barker,21,D,CHI,45,6,12,18,-3,52,2.9,4,2,0,0,10,2,0,42,14.3,774,17:12,33,46,0,0,
31,Stu Barnes,37,C,DAL,79,12,11,23,-3,26,1.9,10,0,2,4,7,0,4,71,16.9,1076,13:38,25,14,343,284,54.7
32,Cody Bass,21,C,OTT,21,2,2,4,-1,19,0.4,1,0,1,1,1,0,1,12,16.7,112,5:19,7,19,31,41,43.1
33,Shawn Bates,32,C,NYI,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,14,7:00,1,2,1,3,25.0
34,Bates Battaglia,32,LW,TOR,13,0,0,0,-6,7,-0.4,0,0,0,0,0,0,0,6,0.0,62,4:46,0,1,0,1,0.0
35,Ryan Bayda,27,LW,CAR,31,3,3,6,-2,28,0.1,3,0,0,0,3,0,0,58,5.2,391,12:36,2,38,0,2,0.0
36,Francois Beauchemin,27,D,ANA,82,2,19,21,-9,59,4.5,2,0,0,2,11,7,1,144,1.4,2093,25:32,71,97,0,1,0.0
37,Kris Beech,26,C,TOT,25,6,5,11,3,4,1.5,4,2,0,0,4,1,0,36,16.7,288,11:30,3,33,144,132,52.2
38,Kris Beech,26,C,CBJ,16,5,4,9,3,2,1.4,3,2,0,0,3,1,0,24,20.8,208,13:00,3,22,109,96,53.2
39,Kris Beech,26,C,PIT,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,6,0.0,41,8:14,0,8,17,17,50.0
40,Kris Beech,26,C,VAN,4,1,1,2,1,0,0.3,1,0,0,0,1,0,0,6,16.7,38,9:37,0,3,18,19,48.6
41,Steve Begin,29,LW,MTL,44,3,5,8,0,48,0.2,3,0,0,0,5,0,0,67,4.5,512,11:38,27,119,24,45,34.8
42,Wade Belak,31,RW,TOT,47,1,0,1,-2,78,-0.2,1,0,0,0,0,0,0,17,5.9,192,4:05,5,41,0,1,0.0
43,Wade Belak,31,RW,TOR,30,1,0,1,-2,66,-0.1,1,0,0,0,0,0,0,13,7.7,121,4:02,4,28,0,1,0.0
44,Wade Belak,31,RW,FLA,17,0,0,0,0,12,-0.1,0,0,0,0,0,0,0,4,0.0,71,4:09,1,13,0,0,
45,Eric Belanger,30,C,MIN,75,13,24,37,-6,30,2.9,5,7,1,3,17,7,0,115,11.3,1291,17:13,46,51,587,608,49.1
46,Brendan Bell,24,D,PHX,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,30,14:49,2,0,0,0,
47,Mark Bell,27,LW,TOR,35,4,6,10,-2,60,0.8,4,0,0,0,6,0,0,42,9.5,341,9:45,9,28,74,105,41.3
48,Bryan Berard,30,D,NYI,54,5,17,22,-17,48,2.7,1,4,0,2,6,11,0,87,5.7,953,17:38,59,37,0,0,
49,Sean Bergenheim,23,LW,NYI,78,10,12,22,-3,62,2.0,9,1,0,1,11,1,0,155,6.5,878,11:15,20,138,9,6,60.0
50,Marc-Andre Bergeron,27,D,TOT,55,9,10,19,-16,20,2.9,1,8,0,1,3,7,0,108,8.3,957,17:24,46,27,0,0,
51,Marc-Andre Bergeron,27,D,NYI,46,9,9,18,-14,16,2.9,1,8,0,1,2,7,0,96,9.4,841,18:17,38,20,0,0,
52,Marc-Andre Bergeron,27,D,ANA,9,0,1,1,-2,4,0.1,0,0,0,0,1,0,0,12,0.0,116,12:50,8,7,0,0,
53,Patrice Bergeron,22,C,BOS,10,3,4,7,2,2,0.8,1,2,0,0,3,1,0,24,12.5,182,18:10,5,6,88,87,50.3
54,Niclas Bergfors,20,RW,NJD,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,11,11:17,1,0,0,1,0.0
55,Steve Bernier,22,RW,TOT,76,16,16,32,-1,64,3.6,12,4,0,0,11,5,0,131,12.2,1014,13:20,34,156,6,9,40.0
56,Steve Bernier,22,RW,SJS,59,13,10,23,-2,62,2.7,9,4,0,0,5,5,0,96,13.5,774,13:07,22,127,5,5,50.0
57,Steve Bernier,22,RW,BUF,17,3,6,9,1,2,0.9,3,0,0,0,6,0,0,35,8.6,240,14:06,12,29,1,4,20.0
58,Adam Berti,21,LW,CHI,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,20,10:07,1,1,0,0,
59,Todd Bertuzzi,32,LW,ANA,68,14,26,40,8,97,4.4,10,4,0,2,21,5,0,121,11.6,1119,16:27,21,66,50,60,45.5
60,Blair Betts,27,C,NYR,75,2,5,7,-4,20,-0.6,2,0,0,0,4,1,0,85,2.4,889,11:52,49,91,388,383,50.3
61,Bryan Bickell,21,LW,CHI,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,37,9:08,1,7,0,0,
62,Kevin Bieksa,26,D,VAN,34,2,10,12,-11,90,1.6,1,1,0,1,5,5,0,64,3.1,795,23:24,33,52,0,0,
63,Jason Blake,34,LW,TOR,82,15,37,52,-4,28,4.2,13,2,0,0,27,10,0,332,4.5,1461,17:49,14,55,14,14,50.0
64,Rob Blake,38,D,LAK,71,9,22,31,-19,98,4.3,4,5,0,2,12,10,0,144,6.3,1614,22:44,143,93,4,4,50.0
65,Mike Blunden,21,RW,CHI,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,8,7:51,1,0,0,0,
66,Brandon Bochenski,25,RW,TOT,40,3,10,13,6,12,1.2,2,1,0,0,9,1,0,56,5.4,478,11:57,5,13,2,5,28.6
67,Brandon Bochenski,25,RW,BOS,20,0,6,6,2,6,0.3,0,0,0,0,6,0,0,30,0.0,256,12:48,4,8,2,4,33.3
68,Brandon Bochenski,25,RW,ANA,12,2,2,4,2,6,0.5,1,1,0,0,1,1,0,17,11.8,150,12:28,1,3,0,1,0.0
69,Brandon Bochenski,25,RW,NSH,8,1,2,3,2,0,0.4,1,0,0,0,2,0,0,9,11.1,72,9:01,0,2,0,0,
70,Jared Boll,21,RW,CBJ,75,5,5,10,-4,226,0.6,5,0,0,3,5,0,0,63,7.9,601,8:01,13,135,2,4,33.3
71,Dave Bolland,21,C,CHI,39,4,13,17,6,28,1.5,4,0,0,0,12,1,0,49,8.2,535,13:43,21,55,179,206,46.5
72,Radek Bonk,32,C,NSH,79,14,15,29,-31,40,1.0,8,6,0,1,10,5,0,138,10.1,1258,15:56,25,39,457,422,52.0
73,Derek Boogaard,25,LW,MIN,34,0,0,0,-5,74,-0.4,0,0,0,0,0,0,0,6,0.0,134,3:56,3,32,0,0,
74,David Booth,23,LW,FLA,73,22,18,40,13,26,5.3,21,1,0,6,17,1,0,228,9.6,1181,16:10,29,113,13,25,34.2
75,Darryl Bootland,26,RW,NYI,4,0,1,1,0,2,0.1,0,0,0,0,1,0,0,3,0.0,19,4:42,0,1,0,0,
76,Casey Borer,22,D,CAR,11,1,2,3,-3,4,0.3,1,0,0,0,1,1,0,5,20.0,168,15:17,12,17,0,0,
