,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
663,Andrei Nazarov,25,RW,CGY,76,10,22,32,3,78,9,1,0,1,20,2,0,110,9.1,892,11:44,2.9
664,Rumun Ndur,24,D,ATL,27,1,0,1,-17,71,1,0,0,0,0,0,0,6,16.7,356,13:12,-0.7
665,Stan Neckar,24,D,PHX,66,2,8,10,1,36,2,0,0,0,8,0,0,34,5.9,954,14:27,2.1
666,Petr Nedved,28,C,NYR,76,24,44,68,2,40,16,6,2,4,28,15,1,201,11.9,1513,19:54,7.0
667,Sergei Nemchinov,36,C,NJD,53,10,16,26,1,18,9,0,1,1,13,2,1,55,18.2,726,13:42,2.5
668,Jan Nemecek,23,D,LAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:36,0.0
669,Eric Nickulas,24,RW,BOS,20,5,6,11,-1,12,4,1,0,0,5,1,0,28,17.9,224,11:13,1.3
670,Rob Niedermayer,25,C,FLA,81,10,23,33,-5,46,9,1,0,4,15,8,0,135,7.4,1545,19:04,1.5
671,Scott Niedermayer,26,D,NJD,71,7,31,38,19,48,6,1,0,0,23,8,0,109,6.4,1729,24:21,7.7
672,Jeff Nielsen,28,RW,MDA,79,8,10,18,4,14,7,1,0,0,10,0,0,113,7.1,946,11:59,1.2
673,Ville Nieminen,22,LW,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,10:12,0.0
674,Joe Nieuwendyk,33,C,DAL,48,15,19,34,-1,26,8,7,0,2,12,7,0,110,13.6,780,16:15,3.9
675,Janne Niinimaa,24,D,EDM,81,8,25,33,14,89,4,2,2,0,13,12,0,133,6.0,1982,24:28,7.4
676,Andrei Nikolishin,26,C,WSH,76,11,14,25,6,28,9,0,2,2,12,2,0,98,11.2,1195,15:44,1.9
677,Marcus Nilson,21,RW,FLA,9,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,71,7:56,0.2
678,Owen Nolan,27,RW,SJS,78,44,40,84,-1,110,22,18,4,6,21,15,4,261,16.9,1647,21:07,10.5
679,Mattias Norstrom,28,D,LAK,82,1,13,14,22,66,1,0,0,0,13,0,0,62,1.6,1789,21:49,4.4
680,Jeff Norton,34,D,SJS,62,0,20,20,-2,49,0,0,0,0,17,2,1,45,0.0,1212,19:32,3.2
