,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Spencer Abbott,28,LW,CHI,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,9,8:34,0,0,0,0,
1,Justin Abdelkader,29,LW,DET,64,7,14,21,-20,50,0.7,2,5,0,1,11,2,1,104,6.7,1066,16:40,27,144,5,12,29.4
2,Pontus Aberg,23,LW,NSH,15,1,1,2,-2,4,-0.1,1,0,0,0,1,0,0,12,8.3,185,12:20,2,9,1,0,100.0
3,Noel Acciari,25,C,BOS,29,2,3,5,3,16,0.5,2,0,0,0,3,0,0,24,8.3,301,10:22,5,80,11,18,37.9
4,Kenny Agostino,24,LW,STL,7,1,2,3,0,2,0.3,1,0,0,0,1,1,0,17,5.9,89,12:47,3,9,0,0,
5,Sebastian Aho,19,RW,CAR,82,24,25,49,-1,26,5.9,17,6,1,4,13,11,1,214,11.2,1377,16:47,14,51,17,18,48.6
6,Karl Alzner,28,D,WSH,82,3,10,13,23,28,4.6,3,0,0,0,10,0,0,81,3.7,1623,19:47,162,105,0,0,
7,Josh Anderson,22,RW,CBJ,78,17,12,29,12,89,4.0,17,0,0,3,12,0,0,119,14.3,938,12:01,40,147,8,21,27.6
8,Rasmus Andersson,20,D,CGY,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,19,18:33,2,4,0,0,
9,Andy Andreoff,25,LW,LAK,36,0,2,2,-2,70,-0.4,0,0,0,0,2,0,0,38,0.0,381,10:36,7,70,41,28,59.4
10,Sven Andrighetto,23,RW,TOT,46,7,17,24,1,12,2.5,5,2,0,0,15,2,0,68,10.3,643,13:58,22,40,7,3,70.0
11,Sven Andrighetto,23,RW,MTL,27,2,6,8,1,4,0.6,2,0,0,0,5,1,0,31,6.5,310,11:29,12,27,0,0,
12,Sven Andrighetto,23,RW,COL,19,5,11,16,0,8,1.9,3,2,0,0,10,1,0,37,13.5,332,17:30,10,13,7,3,70.0
13,Artem Anisimov,28,C,CHI,64,22,23,45,9,30,5.6,18,4,0,7,19,4,0,105,21.0,1142,17:51,27,18,416,506,45.1
14,Josh Archibald,24,RW,PIT,10,3,0,3,3,4,0.6,2,0,1,0,0,0,0,11,27.3,109,10:52,2,28,0,1,0.0
15,Joel Armia,23,RW,WPG,57,10,9,19,-8,20,1.2,6,0,4,1,7,2,0,111,9.0,863,15:08,30,68,3,4,42.9
16,Viktor Arvidsson,23,LW,NSH,80,31,30,61,16,28,8.7,22,4,5,6,23,5,2,246,12.6,1372,17:09,45,23,4,12,25.0
17,Andreas Athanasiou,22,C,DET,64,18,11,29,-7,28,3.6,17,1,0,3,8,3,0,120,15.0,862,13:28,21,30,37,46,44.6
18,Cam Atkinson,27,RW,CBJ,82,35,27,62,13,22,8.9,22,10,3,9,16,11,0,240,14.6,1483,18:05,34,33,2,1,66.7
19,Brady Austin,23,D,BUF,5,0,0,0,0,4,0.1,0,0,0,0,0,0,0,8,0.0,80,16:05,0,6,0,0,
20,Yohann Auvitu,27,D,NJD,25,2,2,4,1,2,1.3,2,0,0,0,1,1,0,54,3.7,390,15:36,9,20,0,0,
21,David Backes,32,RW,BOS,74,17,21,38,2,69,4.5,15,2,0,2,16,5,0,175,9.7,1267,17:07,47,225,60,63,48.8
22,Mikael Backlund,27,C,CGY,81,22,31,53,9,36,6.2,15,7,0,7,19,9,3,197,11.2,1426,17:36,41,55,711,768,48.1
23,Nicklas Backstrom,29,C,WSH,82,23,63,86,17,38,9.9,15,8,0,5,36,27,0,162,14.2,1497,18:16,33,45,685,648,51.4
24,Sven Baertschi,24,LW,VAN,68,18,17,35,-6,8,4.1,16,2,0,5,13,4,0,114,15.8,1080,15:53,29,52,1,0,100.0
25,Casey Bailey,25,RW,OTT,7,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,10,0.0,56,8:00,4,4,0,1,0.0
26,Josh Bailey,27,RW,NYI,82,13,43,56,5,12,5.2,10,3,0,1,34,9,0,173,7.5,1506,18:22,53,37,8,7,53.3
27,Justin Bailey,21,RW,BUF,32,2,2,4,0,4,0.1,2,0,0,1,2,0,0,36,5.6,340,10:38,14,27,0,1,0.0
28,Nicholas Baptiste,21,RW,BUF,14,3,1,4,1,6,0.6,3,0,0,0,1,0,0,16,18.8,129,9:14,1,12,1,2,33.3
