,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
46,Steve Begin,23,C,CGY,51,7,5,12,-3,79,1.2,6,1,0,0,5,0,0,65,10.8,480,9:25,,,,,
47,Wade Belak,25,D,TOR,63,1,3,4,2,142,1.1,1,0,0,0,3,0,0,47,2.1,582,9:14,,,,,
48,Eric Belanger,24,C,LAK,53,8,16,24,2,21,2.4,5,2,1,1,10,6,0,67,11.9,771,14:33,,,,,
49,Ken Belanger,27,LW,LAK,43,2,0,2,-5,85,0.0,2,0,0,0,0,0,0,22,9.1,188,4:22,,,,,
50,Mark Bell,21,LW,CHI,80,12,16,28,-6,124,2.2,11,1,0,1,14,2,0,120,10.0,1012,12:39,,,,,
51,Blake Bellefeuille,24,C,CBJ,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0.0,17,8:21,,,,,
52,Ladislav Benysek,26,D,MIN,74,1,7,8,-12,28,1.8,1,0,0,0,6,1,0,44,2.3,1417,19:09,,,,,
53,Bryan Berard,24,D,NYR,82,2,21,23,-1,60,3.0,2,0,0,0,15,5,1,132,1.5,1610,19:38,,,,,
54,Drake Berehowsky,30,D,TOT,57,2,6,8,0,60,1.6,2,0,0,1,5,1,0,38,5.3,731,12:50,,,,,
55,Drake Berehowsky,30,D,PHX,32,1,4,5,5,42,1.3,1,0,0,0,3,1,0,23,4.3,395,12:20,,,,,
56,Drake Berehowsky,30,D,VAN,25,1,2,3,-5,18,0.3,1,0,0,1,2,0,0,15,6.7,337,13:28,,,,,
57,Bubba Berenzweig,24,D,NSH,26,3,7,10,-3,14,1.7,3,0,0,1,5,2,0,27,11.1,357,13:45,,,,,
58,Sergei Berezin,30,LW,TOT,70,11,15,26,2,8,2.3,7,4,0,5,10,5,0,200,5.5,1044,14:55,,,,,
59,Sergei Berezin,30,LW,PHX,41,7,9,16,-1,4,1.3,6,1,0,4,6,3,0,120,5.8,637,15:33,,,,,
60,Sergei Berezin,30,LW,MTL,29,4,6,10,3,4,1.0,1,3,0,1,4,2,0,80,5.0,407,14:01,,,,,
61,Aki Berg,24,D,TOR,81,1,10,11,14,46,3.4,1,0,0,0,10,0,0,66,1.5,1516,18:43,,,,,
62,Marc Bergevin,36,D,STL,30,0,3,3,6,2,1.2,0,0,0,0,3,0,0,13,0.0,368,12:15,,,,,
63,Christian Berglund,21,LW,NJD,15,2,7,9,-3,8,0.8,2,0,0,0,5,2,0,22,9.1,187,12:26,,,,,
64,Rick Berry,23,D,TOT,70,0,2,2,-3,81,1.1,0,0,0,0,2,0,0,49,0.0,796,11:23,,,,,
65,Rick Berry,23,D,COL,57,0,0,0,1,60,0.9,0,0,0,0,0,0,0,29,0.0,541,9:29,,,,,
66,Rick Berry,23,D,PIT,13,0,2,2,-4,21,0.2,0,0,0,0,2,0,0,20,0.0,256,19:39,,,,,
67,Todd Bertuzzi,26,RW,VAN,72,36,49,85,21,110,11.2,22,14,0,3,33,16,0,203,17.7,1416,19:40,,,,,
68,Craig Berube,36,LW,CGY,66,3,1,4,-2,164,0.0,2,1,0,0,1,0,0,34,8.8,430,6:31,,,,,
69,Blair Betts,21,C,CGY,6,1,0,1,-1,2,0.1,1,0,0,1,0,0,0,4,25.0,43,7:05,,,,,
70,Radim Bicanek,27,D,CBJ,60,1,5,6,-15,34,1.0,1,0,0,0,4,1,0,43,2.3,812,13:32,,,,,
71,Jiri Bicek,23,RW,NJD,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,13,13:10,,,,,
72,Mathieu Biron,21,D,TBL,36,0,0,0,-16,12,-0.4,0,0,0,0,0,0,0,35,0.0,532,14:47,,,,,
73,Jason Blake,28,C,NYI,82,8,10,18,-11,36,0.5,8,0,0,1,6,0,4,136,5.9,1057,12:54,,,,,
74,Rob Blake,32,D,COL,75,16,40,56,16,58,12.2,6,10,0,2,22,17,1,229,7.0,2068,27:35,,,,,
75,Sylvain Blouin,27,LW,MIN,43,0,2,2,-11,130,-0.9,0,0,0,0,2,0,0,28,0.0,424,9:51,,,,,
76,Eric Boguniecki,26,C,STL,8,0,1,1,-2,4,-0.1,0,0,0,0,0,1,0,10,0.0,94,11:42,,,,,
77,Patrick Boileau,26,D,WSH,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,24,11:52,,,,,
78,Brad Bombardir,29,D,MIN,28,1,2,3,-6,14,0.7,0,1,0,0,1,1,0,24,4.2,575,20:33,,,,,
79,Peter Bondra,33,RW,WSH,77,39,31,70,-2,80,8.6,21,17,1,8,19,11,1,333,11.7,1672,21:43,,,,,
80,Radek Bonk,26,C,OTT,82,25,45,70,3,52,8.1,17,6,2,5,23,21,1,170,14.7,1472,17:57,,,,,
81,Dennis Bonvie,28,RW,BOS,23,1,2,3,3,84,0.3,1,0,0,0,2,0,0,5,20.0,117,5:05,,,,,
82,Sebastien Bordeleau,26,C,TOT,20,1,4,5,-2,10,0.2,1,0,0,0,2,2,0,28,3.6,237,11:50,,,,,
83,Sebastien Bordeleau,26,C,MIN,14,1,4,5,-1,8,0.3,1,0,0,0,2,2,0,25,4.0,190,13:35,,,,,
84,Sebastien Bordeleau,26,C,PHX,6,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,47,7:46,,,,,
85,Jason Botterill,25,LW,CGY,4,1,0,1,-3,2,0.0,0,1,0,1,0,0,0,4,25.0,38,9:26,,,,,
86,Joel Bouchard,28,D,NJD,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,0,,19,19:26,,,,,
87,Philippe Boucher,28,D,LAK,80,7,23,30,0,94,6.7,3,4,0,2,15,8,0,198,3.5,1727,21:36,,,,,
88,Tyler Bouck,22,LW,PHX,7,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,3,0.0,48,6:54,,,,,
89,Bob Boughner,30,D,CGY,79,2,4,6,9,170,3.3,2,0,0,0,2,1,1,58,3.4,1479,18:43,,,,,
90,Francis Bouillon,26,D,MTL,28,0,5,5,-5,33,0.8,0,0,0,0,4,1,0,24,0.0,526,18:47,,,,,
91,Jesse Boulerice,23,RW,PHI,3,0,0,0,-1,5,-0.1,0,0,0,0,0,0,0,1,0.0,13,4:18,,,,,
92,Eric Boulton,25,LW,BUF,35,2,3,5,-1,129,0.4,2,0,0,1,3,0,0,21,9.5,215,6:08,,,,,
93,Josef Boumedienne,24,D,TOT,4,1,0,1,-2,6,0.1,1,0,0,0,0,0,0,1,100.0,53,13:19,,,,,
94,Josef Boumedienne,24,D,TBL,3,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,0,,33,10:58,,,,,
95,Josef Boumedienne,24,D,NJD,1,1,0,1,-1,2,0.2,1,0,0,0,0,0,0,1,100.0,20,20:23,,,,,
96,Dan Boyle,25,D,TOT,66,8,18,26,-16,39,4.3,5,3,0,1,11,7,0,99,8.1,1313,19:53,,,,,
97,Dan Boyle,25,D,TBL,41,5,15,20,-15,27,3.0,3,2,0,1,9,6,0,68,7.4,921,22:28,,,,,
98,Dan Boyle,25,D,FLA,25,3,3,6,-1,12,1.3,2,1,0,0,2,1,0,31,9.7,392,15:40,,,,,
99,Nick Boynton,23,D,BOS,80,4,14,18,18,107,4.9,4,0,0,1,14,0,0,136,2.9,1481,18:30,,,,,
100,Matt Bradley,23,RW,SJS,54,9,13,22,22,43,3.4,9,0,0,2,13,0,0,63,14.3,457,8:27,,,,,
101,Donald Brashear,30,LW,TOT,81,9,23,32,-8,199,2.1,8,1,0,2,17,6,0,107,8.4,1082,13:22,,,,,
102,Donald Brashear,30,LW,PHI,50,4,15,19,0,109,1.3,4,0,0,2,13,2,0,62,6.5,650,13:00,,,,,
103,Donald Brashear,30,LW,VAN,31,5,8,13,-8,90,0.8,4,1,0,0,4,4,0,45,11.1,433,13:58,,,,,
104,Pavel Brendl,20,RW,PHI,8,1,0,1,-1,2,0.0,1,0,0,0,0,0,0,6,16.7,72,8:59,,,,,
105,Kip Brennan,21,LW,LAK,4,0,0,0,1,22,0.0,0,0,0,0,0,0,0,0,,19,4:40,,,,,
106,Rich Brennan,29,D,NSH,4,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,,58,14:31,,,,,
107,Eric Brewer,22,D,EDM,81,7,18,25,-5,45,5.7,1,6,0,2,8,9,1,165,4.2,1938,23:56,,,,,
108,Daniel Briere,24,C,PHX,78,32,28,60,6,52,8.0,20,12,0,5,18,10,0,149,21.5,1228,15:44,,,,,
109,Aris Brimanis,29,D,MDA,5,0,0,0,-1,9,0.0,0,0,0,0,0,0,0,2,0.0,48,9:31,,,,,
110,Rod Brind'Amour,31,C,CAR,81,23,32,55,3,40,5.6,16,5,2,5,22,9,1,162,14.2,1792,22:07,,,,,
111,Patrice Brisebois,31,D,MTL,71,4,29,33,9,25,6.8,1,2,1,1,17,12,0,95,4.2,1696,23:53,,,,,
112,Brad Brown,26,D,MIN,51,0,4,4,-11,123,0.6,0,0,0,0,4,0,0,23,0.0,811,15:54,,,,,
113,Curtis Brown,25,C,BUF,82,20,17,37,-4,32,3.9,15,4,1,5,13,3,1,171,11.7,1460,17:48,,,,,
114,Mike Brown,22,LW,VAN,15,0,0,0,1,72,-0.1,0,0,0,0,0,0,0,2,0.0,52,3:29,,,,,
115,Sean Brown,25,D,TOT,73,6,5,11,7,174,3.6,3,3,0,1,5,0,0,64,9.4,965,13:13,,,,,
116,Sean Brown,25,D,EDM,61,6,4,10,8,127,3.4,3,3,0,1,4,0,0,58,10.3,769,12:36,,,,,
117,Sean Brown,25,D,BOS,12,0,1,1,-1,47,0.2,0,0,0,0,1,0,0,6,0.0,196,16:22,,,,,
118,Benoit Brunet,33,LW,TOT,61,9,14,23,-3,12,1.9,7,1,1,3,13,1,0,72,12.5,847,13:53,,,,,
119,Benoit Brunet,33,LW,DAL,32,4,9,13,5,8,1.4,3,0,1,1,9,0,0,33,12.1,402,12:34,,,,,
120,Benoit Brunet,33,LW,MTL,16,0,2,2,-4,4,-0.3,0,0,0,0,2,0,0,19,0.0,217,13:33,,,,,
121,Benoit Brunet,33,LW,OTT,13,5,3,8,-4,0,0.9,4,1,0,2,2,1,0,20,25.0,228,17:31,,,,,
122,Andrew Brunette,28,LW,MIN,81,21,48,69,-4,18,7.6,11,10,0,2,26,22,0,106,19.8,1299,16:02,,,,,
123,Sergei Brylin,28,LW,NJD,76,16,28,44,21,10,5.3,11,5,0,3,26,2,0,133,12.0,1306,17:11,,,,,
124,Kelly Buchberger,35,LW,LAK,74,6,7,13,-13,105,0.4,6,0,0,1,5,2,0,39,15.4,765,10:21,,,,,
125,Jan Bulis,23,LW,MTL,53,9,10,19,-2,8,1.8,8,1,0,3,8,2,0,87,10.3,719,13:34,,,,,
