,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
0,Justin Abdelkader,21,LW,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,9:18,0,3,4,3,57.1,0.0
1,Craig Adams,31,RW,TOT,45,2,5,7,-3,22,1,1,0,0,5,0,0,47,4.3,391,8:41,20,67,8,13,38.1,0.1
2,Craig Adams,31,RW,CHI,36,2,4,6,-3,22,1,1,0,0,4,0,0,38,5.3,314,8:43,16,53,6,10,37.5,0.1
3,Craig Adams,31,RW,PIT,9,0,1,1,0,0,0,0,0,0,1,0,0,9,0.0,77,8:34,4,14,2,3,40.0,0.0
4,Maxim Afinogenov,29,RW,BUF,48,6,14,20,-7,20,6,0,0,0,7,7,0,93,6.5,605,12:36,11,20,0,3,0.0,1.4
5,Andrew Alberts,27,D,PHI,79,1,12,13,6,61,1,0,0,0,11,0,1,46,2.2,1248,15:48,133,157,0,0,,2.7
6,Daniel Alfredsson,36,RW,OTT,79,24,50,74,7,24,15,8,1,3,27,20,3,204,11.8,1649,20:53,33,57,4,13,23.5,8.1
7,Bryan Allen,28,D,FLA,2,0,1,1,2,0,0,0,0,0,1,0,0,5,0.0,54,27:11,7,5,0,0,,0.3
8,Karl Alzner,20,D,WSH,30,1,4,5,-1,2,1,0,0,0,4,0,0,31,3.2,583,19:25,54,23,0,0,,0.9
9,Artem Anisimov,20,C,NYR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,9:27,0,0,2,3,40.0,0.0
10,Nik Antropov,28,RW,TOT,81,28,31,59,-14,30,20,8,0,4,21,9,1,224,12.5,1392,17:11,37,112,80,117,40.6,5.9
11,Nik Antropov,28,RW,TOR,63,21,25,46,-13,24,15,6,0,2,17,7,1,171,12.3,1085,17:13,31,80,80,113,41.5,4.3
12,Nik Antropov,28,RW,NYR,18,7,6,13,-1,6,5,2,0,2,4,2,0,53,13.2,308,17:05,6,32,0,4,0.0,1.6
13,Colby Armstrong,26,RW,ATL,82,22,18,40,5,75,19,3,0,2,17,1,0,141,15.6,1243,15:09,23,88,8,20,28.6,4.3
14,Derek Armstrong,35,C,LAK,56,5,4,9,-11,63,4,1,0,1,4,0,0,42,11.9,475,8:29,11,85,115,125,47.9,0.4
15,Riley Armstrong,24,RW,SJS,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,7:26,1,1,0,0,,-0.1
16,Tyler Arnason,29,C,COL,71,5,17,22,-16,14,3,2,0,1,16,1,0,108,4.6,945,13:19,15,6,332,389,46.0,0.8
17,Jason Arnott,34,C,NSH,65,33,24,57,2,49,24,9,0,5,16,8,0,196,16.8,1229,18:55,18,34,525,512,50.6,7.5
18,Evgeny Artyukhin,25,RW,TBL,73,6,10,16,1,151,5,1,0,0,9,1,0,100,6.0,779,10:40,16,249,0,2,0.0,0.9
19,Arron Asham,30,RW,PHI,78,8,12,20,0,155,8,0,0,1,12,0,0,74,10.8,682,8:45,10,143,7,8,46.7,1.7
20,Adrian Aucoin,35,D,CGY,81,10,24,34,-8,46,7,3,0,3,14,9,1,126,7.9,1806,22:18,55,61,0,0,,5.4
21,Keith Aucoin,30,C,WSH,12,2,4,6,5,4,1,1,0,0,4,0,0,15,13.3,124,10:19,2,4,33,50,39.8,0.8
22,Sean Avery,28,LW,TOT,41,8,14,22,6,111,6,2,0,0,11,3,0,99,8.1,646,15:45,7,89,9,9,50.0,2.3
23,Sean Avery,28,LW,DAL,23,3,7,10,2,77,3,0,0,0,4,3,0,49,6.1,345,14:59,3,44,5,7,41.7,0.8
24,Sean Avery,28,LW,NYR,18,5,7,12,4,34,3,2,0,0,7,0,0,50,10.0,301,16:44,4,45,4,2,66.7,1.5
25,P.J. Axelsson,33,LW,BOS,75,6,24,30,-1,16,4,2,0,0,15,9,0,87,6.9,1217,16:14,31,55,16,30,34.8,1.4
26,Anton Babchuk,24,D,CAR,72,16,19,35,13,16,7,9,0,4,13,6,0,127,12.6,1301,18:04,115,22,0,0,,7.9
27,David Backes,24,RW,STL,82,31,23,54,-3,165,23,6,2,1,17,5,1,208,14.9,1451,17:41,52,204,212,265,44.4,6.6
28,Mikael Backlund,19,C,CGY,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,10:44,0,0,2,5,28.6,0.0
29,Christian Backman,28,D,CBJ,56,2,5,7,5,32,1,1,0,1,4,1,0,54,3.7,877,15:39,53,40,0,1,0.0,2.2
30,Nicklas Backstrom,21,C,WSH,82,22,66,88,16,46,8,14,0,1,38,28,0,174,12.6,1635,19:57,46,52,570,601,48.7,9.2
31,Josh Bailey,19,C,NYI,68,7,18,25,-14,16,4,3,0,0,10,8,0,74,9.5,1053,15:29,43,47,332,475,41.1,1.0
32,Keith Ballard,26,D,FLA,82,6,28,34,14,72,5,1,0,1,23,4,1,106,5.7,1835,22:23,136,172,0,1,0.0,6.9
33,Krys Barch,28,RW,DAL,72,4,5,9,1,133,4,0,0,1,5,0,0,27,14.8,465,6:27,14,123,2,5,28.6,0.5
34,Cam Barker,22,D,CHI,68,6,34,40,-6,65,1,5,0,1,9,24,1,101,5.9,1247,18:20,42,83,0,1,0.0,5.2
35,Cody Bass,22,C,OTT,12,0,0,0,-2,15,0,0,0,0,0,0,0,5,0.0,68,5:41,2,25,21,29,42.0,-0.2
36,Ryan Bayda,28,LW,CAR,70,5,7,12,2,26,5,0,0,0,7,0,0,62,8.1,732,10:27,46,82,8,10,44.4,0.6
37,Jay Beagle,23,C,WSH,3,0,0,0,-3,2,0,0,0,0,0,0,0,5,0.0,23,7:36,0,5,5,8,38.5,-0.2
38,Francois Beauchemin,28,D,ANA,20,4,1,5,-3,12,4,0,0,2,0,1,0,45,8.9,498,24:54,25,26,0,0,,1.1
39,Steve Begin,30,LW,TOT,62,7,5,12,-6,42,7,0,0,1,5,0,0,90,7.8,665,10:43,38,185,65,68,48.9,0.6
40,Steve Begin,30,LW,MTL,42,6,4,10,-5,27,6,0,0,1,4,0,0,65,9.2,456,10:51,26,119,42,36,53.8,0.7
41,Steve Begin,30,LW,DAL,20,1,1,2,-1,15,1,0,0,0,1,0,0,25,4.0,209,10:26,12,66,23,32,41.8,-0.1
42,Wade Belak,32,RW,TOT,53,0,2,2,-1,79,0,0,0,0,2,0,0,19,0.0,278,5:15,6,57,0,0,,-0.3
43,Wade Belak,32,RW,NSH,38,0,2,2,-1,54,0,0,0,0,2,0,0,15,0.0,212,5:35,6,37,0,0,,-0.2
44,Wade Belak,32,RW,FLA,15,0,0,0,0,25,0,0,0,0,0,0,0,4,0.0,66,4:25,0,20,0,0,,-0.1
45,Eric Belanger,31,C,MIN,79,13,23,36,-5,26,9,4,0,4,12,9,2,147,8.8,1409,17:50,48,45,626,579,52.0,3.0
46,Matt Beleskey,20,LW,ANA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,11:10,0,0,0,2,0.0,0.0
47,Brendan Bell,25,D,OTT,53,6,15,21,-5,24,1,5,0,1,5,10,0,76,7.9,940,17:44,36,29,0,0,,3.7
48,Sean Bentivoglio,23,LW,NYI,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,12,11:31,0,1,0,1,0.0,0.0
49,Sean Bergenheim,24,LW,NYI,59,15,9,24,-2,64,11,0,4,5,9,0,0,152,9.9,841,14:15,32,83,9,13,40.9,2.6
50,Marc-Andre Bergeron,28,D,MIN,72,14,18,32,5,30,7,7,0,3,7,11,0,140,10.0,1217,16:54,68,30,0,0,,7.4
51,Patrice Bergeron,23,C,BOS,64,8,31,39,2,16,6,1,1,1,16,13,2,155,5.2,1151,17:59,42,57,549,456,54.6,2.8
52,Niclas Bergfors,21,RW,NJD,8,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,46,5:48,0,0,0,0,,0.1
53,Patrik Berglund,20,C,STL,76,21,26,47,19,16,14,7,0,1,11,15,0,143,14.7,1119,14:43,14,58,215,325,39.8,6.2
54,Steve Bernier,23,RW,VAN,81,15,17,32,4,27,13,2,0,4,12,5,0,137,10.9,1121,13:50,41,145,5,16,23.8,3.0
55,Todd Bertuzzi,33,LW,CGY,66,15,29,44,-13,74,9,6,0,4,19,10,0,127,11.8,1228,18:36,20,59,21,24,46.7,3.3
56,Blair Betts,28,C,NYR,81,6,4,10,-5,16,4,0,2,1,3,0,1,83,7.2,860,10:37,51,93,436,448,49.3,0.2
57,Kevin Bieksa,27,D,VAN,72,11,32,43,-4,97,6,5,0,2,10,20,2,153,7.2,1691,23:29,59,112,0,0,,6.7
58,Paul Bissonnette,23,LW,PIT,15,0,1,1,-1,22,0,0,0,0,1,0,0,4,0.0,53,3:31,0,15,0,0,,0.0
59,Byron Bitz,24,RW,BOS,35,4,3,7,0,18,4,0,0,0,2,1,0,31,12.9,363,10:22,15,71,21,29,42.0,0.5
60,Jason Blake,35,LW,TOR,78,25,38,63,-2,40,19,5,1,5,24,13,1,302,8.3,1431,18:21,27,54,36,41,46.8,6.2
61,Rob Blake,39,D,SJS,73,10,35,45,15,110,4,6,0,1,19,16,0,198,5.1,1553,21:16,114,66,0,0,,9.0
62,Brandon Bochenski,26,RW,TBL,7,0,1,1,-3,2,0,0,0,0,1,0,0,11,0.0,76,10:47,3,3,0,0,,-0.2
63,Troy Bodie,24,RW,ANA,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,33,8:09,0,6,1,1,50.0,-0.1
64,Mikkel Boedker,19,LW,PHX,78,11,17,28,-6,18,9,2,0,3,17,0,0,116,9.5,1212,15:32,9,76,1,7,12.5,1.8
65,Zach Bogosian,18,D,ATL,47,9,10,19,11,47,6,2,1,1,7,3,0,90,10.0,851,18:06,50,67,0,0,,4.2
66,Alexandre Bolduc,23,C,VAN,7,0,1,1,1,4,0,0,0,0,1,0,0,7,0.0,51,7:20,0,4,5,8,38.5,0.1
67,Jared Boll,22,RW,CBJ,75,4,10,14,-6,180,3,1,0,0,9,1,0,73,5.5,667,8:54,13,153,0,4,0.0,0.5
