,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Antti Aalto,24,C,MDA,63,7,11,18,-13,26,0.7,6,1,0,1,11,0,0,102,6.9,830,13:11,,,,,
1,Bryan Adams,22,LW,ATL,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,22,10:57,,,,,
2,Greg Adams,36,LW,PHX,69,19,27,46,-1,14,4.5,14,5,0,0,20,7,0,129,14.7,1171,16:58,,,,,
3,Kevyn Adams,25,C,TOR,52,5,8,13,-7,39,0.4,5,0,0,0,7,0,1,70,7.1,644,12:23,,,,,
4,Maxim Afinogenov,20,RW,BUF,65,16,18,34,-4,41,3.7,14,2,0,2,12,6,0,128,12.5,854,13:09,,,,,
5,Johnathan Aitken,21,D,BOS,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,57,18:57,,,,,
6,Mika Alatalo,28,LW,PHX,82,10,17,27,-3,36,1.8,9,1,0,1,17,0,0,107,9.3,1035,12:37,,,,,
7,Tommy Albelin,35,D,CGY,41,4,6,10,-3,12,2.1,2,1,1,1,4,1,1,37,10.8,885,21:35,,,,,
8,Keith Aldridge,26,D,DAL,4,0,0,0,1,0,0.2,0,0,0,0,0,0,0,6,0.0,44,11:05,,,,,
9,Daniel Alfredsson,27,RW,OTT,57,21,38,59,11,28,7.1,15,4,2,0,27,9,2,164,12.8,1069,18:45,,,,,
10,Jamie Allison,24,D,CHI,59,1,3,4,-5,102,0.7,1,0,0,0,3,0,0,24,4.2,840,14:14,,,,,
11,Jason Allison,24,C,BOS,37,10,18,28,5,20,2.9,7,3,0,1,9,9,0,66,15.2,797,21:33,,,,,
12,Tony Amonte,29,RW,CHI,82,43,41,84,10,48,10.3,27,11,5,2,32,8,1,260,16.5,1795,21:54,,,,,
13,Mikael Andersson,33,LW,TOT,55,2,6,8,-3,4,0.1,1,0,1,0,5,0,1,57,3.5,559,10:10,,,,,
14,Mikael Andersson,33,LW,PHI,36,2,3,5,-2,0,0.1,1,0,1,0,3,0,0,38,5.3,377,10:29,,,,,
15,Mikael Andersson,33,LW,NYI,19,0,3,3,-1,4,0.0,0,0,0,0,2,0,1,19,0.0,182,9:33,,,,,
16,Niklas Andersson,28,LW,TOT,24,3,8,11,-3,8,0.8,2,1,0,0,4,3,1,31,9.7,316,13:11,,,,,
17,Niklas Andersson,28,LW,NYI,17,3,7,10,-3,8,0.9,2,1,0,0,3,3,1,24,12.5,226,13:19,,,,,
18,Niklas Andersson,28,LW,NSH,7,0,1,1,0,0,0.0,0,0,0,0,1,0,0,7,0.0,90,12:50,,,,,
19,Dave Andreychuk,36,LW,TOT,77,20,16,36,-20,30,2.7,12,8,0,3,7,9,0,233,8.6,1491,19:22,,,,,
20,Dave Andreychuk,36,LW,BOS,63,19,14,33,-11,28,3.0,12,7,0,2,6,8,0,192,9.9,1249,19:50,,,,,
21,Dave Andreychuk,36,LW,COL,14,1,2,3,-9,2,-0.3,0,1,0,1,1,1,0,41,2.4,242,17:16,,,,,
22,Greg Andrusak,30,D,TOR,9,0,1,1,1,4,0.3,0,0,0,0,1,0,0,5,0.0,166,18:25,,,,,
23,Nik Antropov,19,C,TOR,66,12,18,30,14,41,3.4,12,0,0,2,16,2,0,89,13.5,845,12:48,,,,,
24,Derek Armstrong,26,C,NYR,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,3,3:10,,,,,
25,Jason Arnott,25,RW,NJD,76,22,34,56,22,51,6.6,15,7,0,4,26,8,0,244,9.0,1299,17:05,,,,,
26,Magnus Arvedson,28,LW,OTT,47,15,13,28,4,36,3.3,13,1,1,4,13,0,0,91,16.5,849,18:04,,,,,
27,Arron Asham,21,RW,MTL,33,4,2,6,-7,24,0.3,3,0,1,1,1,1,0,29,13.8,338,10:14,,,,,
28,Kaspars Astashenko,24,D,TBL,8,0,1,1,-2,4,0.1,0,0,0,0,1,0,0,3,0.0,134,16:48,,,,,
29,Blair Atcheynum,30,RW,CHI,47,5,7,12,-8,6,0.4,5,0,0,0,7,0,0,48,10.4,576,12:15,,,,,
30,Serge Aubin,24,LW,COL,15,2,1,3,1,6,0.4,2,0,0,1,1,0,0,14,14.3,99,6:37,,,,,
