,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
0,Justin Abdelkader,24,LW,DET,81,8,14,22,4,62,8,0,0,1,14,0,0,121,6.6,997,12:19,42,148,239,213,52.9,1.6
1,Luke Adam,21,LW,BUF,52,10,10,20,-6,14,10,0,0,0,7,3,0,89,11.2,645,12:24,15,26,114,145,44.0,2.0
2,Craig Adams,34,RW,PIT,82,5,13,18,-6,34,5,0,0,0,10,0,3,76,6.6,925,11:17,45,162,132,160,45.2,0.6
3,Andrew Alberts,30,D,VAN,44,2,1,3,4,40,2,0,0,2,1,0,0,19,10.5,629,14:18,39,91,0,0,,1.4
4,Daniel Alfredsson,39,RW,OTT,75,27,32,59,16,18,17,7,3,4,24,7,1,191,14.1,1421,18:57,31,52,20,26,43.5,7.5
5,Akim Aliu,22,RW,CGY,2,2,1,3,3,12,2,0,0,0,1,0,0,3,66.7,22,11:02,0,6,0,0,,0.7
6,Bryan Allen,31,D,CAR,82,1,13,14,-1,76,1,0,0,1,12,0,1,87,1.1,1571,19:10,188,111,0,0,,3.4
7,Cody Almond,22,C,MIN,10,1,0,1,-5,15,1,0,0,0,0,0,0,7,14.3,102,10:13,8,15,25,33,43.1,-0.1
8,Karl Alzner,23,D,WSH,82,1,16,17,12,29,1,0,0,0,15,1,0,56,1.8,1712,20:52,139,74,0,0,,4.4
9,Joakim Andersson,22,C,DET,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,33,6:40,1,5,5,1,83.3,0.0
10,Mike Angelidis,26,C,TBL,6,1,0,1,-1,5,1,0,0,0,0,0,0,8,12.5,39,6:30,2,6,4,3,57.1,0.1
11,Artem Anisimov,23,C,NYR,79,16,20,36,12,34,11,4,1,1,20,0,0,132,12.1,1217,15:24,46,75,161,184,46.7,4.4
12,Nik Antropov,31,C,WPG,69,15,20,35,0,42,11,4,0,0,14,6,0,95,15.8,1140,16:31,41,94,283,369,43.4,3.5
13,Colby Armstrong,29,RW,TOR,29,1,2,3,-8,9,1,0,0,0,2,0,0,14,7.1,270,9:19,5,37,7,11,38.9,-0.4
14,Jason Arnott,37,C,STL,72,17,17,34,13,26,11,6,0,3,9,8,0,142,12.0,1014,14:05,13,24,387,382,50.3,4.8
15,Arron Asham,33,RW,PIT,64,5,11,16,-5,76,5,0,0,0,11,0,0,49,10.2,591,9:14,8,95,6,5,54.5,1.0
16,Carter Ashton,20,RW,TOR,15,0,0,0,-10,13,0,0,0,0,0,0,0,22,0.0,156,10:25,2,32,1,1,50.0,-0.7
17,Cam Atkinson,22,RW,CBJ,27,7,7,14,1,14,6,1,0,0,6,1,0,66,10.6,415,15:23,17,23,0,1,0.0,1.7
18,Adrian Aucoin,38,D,PHX,64,2,7,9,14,42,1,1,0,0,7,0,0,92,2.2,1296,20:15,67,97,0,0,,3.6
19,Keith Aucoin,33,C,WSH,27,3,8,11,4,0,3,0,0,1,8,0,0,21,14.3,299,11:04,7,10,57,64,47.1,1.3
20,Keith Aulie,22,D,TOT,36,0,3,3,-7,29,0,0,0,0,3,0,0,18,0.0,484,13:26,38,78,0,0,,0.0
21,Keith Aulie,22,D,TBL,19,0,1,1,-5,13,0,0,0,0,1,0,0,4,0.0,210,11:02,10,37,0,0,,-0.2
22,Keith Aulie,22,D,TOR,17,0,2,2,-2,16,0,0,0,0,2,0,0,14,0.0,274,16:07,28,41,0,0,,0.3
23,Sean Avery,31,C,NYR,15,3,0,3,2,21,3,0,0,1,0,0,0,15,20.0,105,7:01,1,10,0,3,0.0,0.6
24,Anton Babchuk,27,D,CGY,32,2,8,10,2,6,1,1,0,1,6,2,0,48,4.2,464,14:29,48,17,0,0,,2.1
25,David Backes,27,RW,STL,82,24,30,54,15,101,14,8,2,4,20,9,1,234,10.3,1640,20:00,72,226,658,695,48.6,7.0
26,Mikael Backlund,22,C,CGY,41,4,7,11,-13,16,2,2,0,2,6,1,0,85,4.7,631,15:23,19,25,225,271,45.4,0.2
27,Nicklas Backstrom,24,C,WSH,42,14,30,44,-4,24,11,3,0,4,14,16,0,95,14.7,805,19:10,25,31,353,338,51.1,5.1
28,Sven Baertschi,19,LW,CGY,5,3,0,3,2,4,3,0,0,0,0,0,0,10,30.0,56,11:08,0,5,0,0,,0.7
29,Josh Bailey,22,C,NYI,80,13,19,32,-10,32,9,1,3,1,16,3,0,104,12.5,1218,15:13,35,64,323,413,43.9,2.7
30,Keith Ballard,29,D,VAN,47,1,6,7,0,64,1,0,0,0,6,0,0,41,2.4,731,15:33,63,61,0,0,,1.5
31,Krys Barch,31,RW,TOT,51,2,3,5,0,114,2,0,0,0,3,0,0,24,8.3,375,7:21,10,67,2,5,28.6,0.2
32,Krys Barch,31,RW,FLA,41,2,3,5,2,91,2,0,0,0,3,0,0,22,9.1,308,7:30,8,50,2,5,28.6,0.4
33,Krys Barch,31,RW,DAL,10,0,0,0,-2,23,0,0,0,0,0,0,0,2,0.0,67,6:43,2,17,0,0,,-0.2
34,Cam Barker,25,D,EDM,25,2,0,2,0,23,1,1,0,1,0,0,0,35,5.7,459,18:22,19,36,0,0,,0.9
35,Tyson Barrie,20,D,COL,10,0,0,0,-2,0,0,0,0,0,0,0,0,15,0.0,176,17:39,10,9,0,0,,0.0
36,Matt Bartkowski,23,D,BOS,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,6:08,2,5,0,0,,-0.2
37,Cody Bass,25,C,CBJ,14,0,1,1,0,32,0,0,0,0,1,0,0,13,0.0,127,9:05,7,22,5,3,62.5,-0.1
38,Jay Beagle,26,C,WSH,41,4,1,5,-2,23,4,0,0,0,1,0,0,49,8.2,486,11:51,23,66,124,91,57.7,0.1
39,Francois Beauchemin,31,D,ANA,82,8,14,22,-14,48,5,3,0,1,11,2,1,139,5.8,2095,25:33,193,151,1,1,50.0,4.5
40,Eric Belanger,34,C,EDM,78,4,12,16,-13,32,2,1,1,0,8,4,0,118,3.4,1149,14:44,41,36,557,450,55.3,-0.2
41,Matt Beleskey,23,LW,ANA,70,4,11,15,-2,72,4,0,0,0,10,1,0,75,5.3,719,10:16,20,100,11,15,42.3,0.9
42,Brendan Bell,28,D,NYR,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,11:26,0,0,0,0,,-0.1
43,Mark Bell,31,LW,ANA,5,0,0,0,0,5,0,0,0,0,0,0,0,0,,32,6:26,0,7,12,10,54.5,-0.1
44,Jamie Benn,22,LW,DAL,71,26,37,63,15,55,23,2,1,7,29,8,0,203,12.8,1283,18:04,52,136,347,404,46.2,8.2
45,Jordie Benn,24,D,DAL,3,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,42,13:57,2,3,0,0,,0.3
46,Sean Bergenheim,27,LW,FLA,62,17,6,23,-5,48,11,5,1,2,6,0,0,185,9.2,1018,16:25,21,109,3,8,27.3,2.6
47,Marc-Andre Bergeron,31,D,TBL,43,4,20,24,6,20,3,1,0,0,12,8,0,80,5.0,832,19:21,43,37,0,0,,4.0
48,Patrice Bergeron,26,C,BOS,81,22,42,64,36,20,15,5,2,3,32,9,1,191,11.5,1505,18:35,67,73,973,668,59.3,8.3
49,Niclas Bergfors,24,RW,NSH,11,1,1,2,-2,2,1,0,0,1,1,0,0,11,9.1,89,8:04,5,0,0,0,,0.1
50,Patrik Berglund,23,C,STL,82,19,19,38,4,30,17,0,2,3,15,4,0,188,10.1,1473,17:58,36,97,567,601,48.5,4.4
51,Steve Bernier,26,RW,NJD,32,1,5,6,6,16,1,0,0,0,5,0,0,23,4.3,383,11:58,13,61,3,12,20.0,0.5
52,Todd Bertuzzi,36,RW,DET,71,14,24,38,23,64,14,0,0,1,20,4,0,118,11.9,1104,15:33,23,96,5,8,38.5,4.7
53,Stu Bickel,25,D,NYR,51,0,9,9,2,108,0,0,0,0,8,0,1,22,0.0,532,10:26,52,68,1,0,100.0,1.8
54,Bryan Bickell,25,LW,CHI,71,9,15,24,-3,48,9,0,0,0,15,0,0,84,10.7,862,12:08,23,128,0,1,0.0,1.8
55,Kevin Bieksa,30,D,VAN,78,8,36,44,12,94,6,2,0,2,28,8,0,166,4.8,1844,23:38,106,159,0,1,0.0,8.3
56,Paul Bissonnette,26,LW,PHX,31,1,0,1,-4,41,1,0,0,1,0,0,0,15,6.7,188,6:04,1,70,0,1,0.0,-0.3
57,Byron Bitz,27,RW,VAN,10,1,3,4,2,14,1,0,0,0,3,0,0,6,16.7,105,10:30,7,20,0,3,0.0,0.5
58,Jason Blake,38,C,ANA,45,7,5,12,-4,6,5,2,0,3,4,1,0,109,6.4,636,14:09,17,41,0,1,0.0,0.9
59,Jonathon Blum,23,D,NSH,33,3,4,7,-14,6,3,0,0,1,4,0,0,25,12.0,592,17:56,71,17,0,0,,0.5
60,Mike Blunden,25,RW,MTL,39,2,2,4,-1,27,2,0,0,0,2,0,0,34,5.9,365,9:22,15,104,2,3,40.0,0.0
