,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
0,Justin Abdelkader,28,LW,DET,82,19,23,42,-16,120,13,6,0,4,16,7,0,155,12.3,1512,18:26,44,207,5,9,35.7,3.8
1,Noel Acciari,24,C,BOS,19,0,1,1,-4,8,0,0,0,0,1,0,0,18,0.0,188,9:54,4,52,60,76,44.1,-0.4
2,Kenny Agostino,23,LW,CGY,2,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,27,13:33,0,3,0,0,,-0.1
3,Andrew Agozzino,25,LW,COL,9,0,2,2,-1,0,0,0,0,0,1,1,0,3,0.0,77,8:34,4,8,24,21,53.3,0.1
4,Karl Alzner,27,D,WSH,82,4,17,21,14,26,4,0,0,1,17,0,0,75,5.3,1753,21:23,207,135,0,0,,5.4
5,Josh Anderson,21,RW,CBJ,12,1,3,4,0,2,1,0,0,0,3,0,0,11,9.1,128,10:42,4,40,0,0,,0.3
6,Joakim Andersson,26,C,DET,29,1,2,3,1,6,1,0,0,0,2,0,0,17,5.9,262,9:01,5,14,32,38,45.7,0.1
7,Andy Andreoff,24,LW,LAK,60,8,2,10,1,76,8,0,0,1,2,0,0,46,17.4,528,8:48,11,82,134,134,50.0,1.2
8,Sven Andrighetto,22,RW,MTL,44,7,10,17,1,6,6,1,0,0,9,1,0,74,9.5,621,14:07,17,71,3,4,42.9,1.7
9,Mike Angelidis,30,LW,TBL,4,1,0,1,2,5,1,0,0,1,0,0,0,1,100.0,36,9:00,1,6,10,21,32.3,0.3
10,Artem Anisimov,27,C,CHI,77,20,22,42,8,12,12,5,3,1,16,5,1,121,16.5,1393,18:05,40,53,507,641,44.2,4.9
11,Josh Archibald,23,RW,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5:02,1,1,0,0,,0.0
12,Mark Arcobello,27,C,TOR,20,3,1,4,0,0,3,0,0,0,1,0,0,43,7.0,254,12:41,3,22,132,110,54.5,0.4
13,Joel Armia,22,RW,WPG,43,4,6,10,2,12,4,0,0,1,4,0,2,52,7.7,523,12:10,20,59,0,2,0.0,0.8
14,Viktor Arvidsson,22,LW,NSH,56,8,8,16,-8,35,7,1,0,3,8,0,0,139,5.8,694,12:24,35,27,0,0,,1.2
15,Andreas Athanasiou,21,C,DET,37,9,5,14,1,5,8,0,1,1,5,0,0,53,17.0,334,9:01,8,17,53,76,41.1,2.1
16,Cam Atkinson,26,RW,CBJ,81,27,26,53,-8,22,21,4,2,3,20,6,0,226,11.9,1442,17:48,40,47,2,2,50.0,6.2
17,David Backes,31,C,STL,79,21,24,45,4,83,13,8,0,3,19,5,0,168,12.5,1519,19:14,63,239,620,572,52.0,5.2
18,Mikael Backlund,26,C,CGY,82,21,26,47,10,28,15,3,3,4,19,6,1,155,13.5,1347,16:26,51,68,539,604,47.2,5.5
19,Nicklas Backstrom,28,C,WSH,75,20,50,70,17,36,17,3,0,4,23,27,0,129,15.5,1439,19:11,50,51,659,698,48.6,8.3
20,Sven Baertschi,23,LW,VAN,69,15,13,28,-14,14,13,2,0,1,8,5,0,108,13.9,929,13:27,36,30,0,1,0.0,2.8
21,Josh Bailey,26,RW,NYI,81,12,20,32,-7,22,8,4,0,2,19,1,0,105,11.4,1284,15:51,25,45,14,20,41.2,2.5
22,Justin Bailey,20,RW,BUF,8,0,0,0,-2,2,0,0,0,0,0,0,0,22,0.0,93,11:36,6,8,0,0,,-0.2
23,Mark Barberio,25,D,MTL,30,2,8,10,0,6,2,0,0,0,8,0,0,32,6.3,450,15:00,18,12,0,0,,1.7
24,Aleksander Barkov,20,C,FLA,66,28,31,59,18,8,18,9,1,8,23,7,1,171,16.4,1282,19:26,39,43,569,587,49.2,8.4
25,Tyson Barrie,24,D,COL,78,13,36,49,-16,31,9,3,1,5,17,18,1,172,7.6,1810,23:12,84,37,0,0,,7.2
26,Matt Bartkowski,27,D,VAN,80,6,12,18,-19,50,6,0,0,0,12,0,0,85,7.1,1490,18:37,42,141,0,0,,2.9
27,Victor Bartley,27,D,TOT,10,0,0,0,2,6,0,0,0,0,0,0,0,8,0.0,133,13:19,17,21,0,0,,0.3
28,Victor Bartley,27,D,MTL,9,0,0,0,3,6,0,0,0,0,0,0,0,8,0.0,120,13:20,12,19,0,0,,0.4
29,Victor Bartley,27,D,NSH,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,13:15,5,2,0,0,,-0.1
30,Cody Bass,29,C,NSH,17,0,0,0,-1,17,0,0,0,0,0,0,0,11,0.0,130,7:40,8,26,12,9,57.1,-0.3
31,Kyle Baun,23,RW,CHI,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,9:03,0,3,0,0,,-0.1
32,Jay Beagle,30,RW,WSH,57,8,9,17,0,24,8,0,0,1,9,0,0,74,10.8,799,14:01,24,55,370,267,58.1,1.4
33,Francois Beauchemin,35,D,COL,82,8,26,34,-7,38,6,2,0,2,15,9,2,127,6.3,2057,25:05,256,78,0,0,,6.0
34,Nathan Beaulieu,23,D,MTL,64,2,17,19,-6,55,1,1,0,0,15,2,0,74,2.7,1117,17:27,89,59,0,0,,2.8
35,Taylor Beck,24,LW,NYI,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,8:29,0,6,0,0,,0.0
