,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Ramzi Abid,25,LW,ATL,6,0,2,2,1,6,0.1,0,0,0,0,2,0,0,6,0.0,49,8:10,,,,,
1,Craig Adams,28,RW,CAR,67,10,11,21,1,51,1.6,8,1,1,2,9,0,2,68,14.7,824,12:18,,,,,
2,Kevyn Adams,31,C,CAR,82,15,8,23,0,36,1.8,13,0,2,2,7,0,1,160,9.4,1057,12:53,,,,,
3,Dmitry Afanasenkov,25,LW,TBL,68,9,6,15,-7,16,1.0,8,1,0,0,3,3,0,78,11.5,662,9:44,,,,,
4,Maxim Afinogenov,26,RW,BUF,77,22,51,73,6,84,7.4,11,11,0,3,31,20,0,241,9.1,1258,16:20,,,,,
5,Tommy Albelin,41,D,NJD,36,0,6,6,4,2,1.6,0,0,0,0,5,1,0,15,0.0,503,13:59,,,,,
6,Andrew Alberts,24,D,BOS,73,1,6,7,3,68,1.9,0,0,1,0,5,0,1,30,3.3,936,12:50,,,,,
7,Daniel Alfredsson,33,RW,OTT,77,43,60,103,29,50,12.3,22,16,5,8,27,32,1,249,17.3,1670,21:41,,,,,
8,Bryan Allen,25,D,VAN,77,7,10,17,4,115,4.2,6,1,0,0,10,0,0,88,8.0,1574,20:27,,,,,
9,Jamie Allison,30,D,TOT,27,0,1,1,-6,56,-0.1,0,0,0,0,1,0,0,7,0.0,243,8:59,,,,,
10,Jamie Allison,30,D,NSH,20,0,1,1,-6,45,-0.2,0,0,0,0,1,0,0,3,0.0,160,8:00,,,,,
11,Jamie Allison,30,D,FLA,7,0,0,0,0,11,0.1,0,0,0,0,0,0,0,4,0.0,83,11:48,,,,,
12,Jason Allison,30,C,TOR,66,17,43,60,-18,76,4.7,8,9,0,2,13,30,0,111,15.3,1234,18:42,,,,,
13,Tony Amonte,35,RW,CGY,80,14,28,42,3,43,3.7,10,3,1,3,13,14,1,155,9.0,1369,17:07,,,,,
14,Dave Andreychuk,42,LW,TBL,42,6,12,18,-13,16,0.9,1,4,1,1,3,8,1,81,7.4,564,13:26,,,,,
15,Nik Antropov,25,RW,TOR,57,12,19,31,13,56,3.1,9,2,1,0,17,1,1,113,10.6,887,15:34,,,,,
16,Colby Armstrong,23,RW,PIT,47,16,24,40,15,58,4.3,7,7,2,3,19,5,0,86,18.6,896,19:04,,,,,
17,Derek Armstrong,32,C,LAK,62,13,28,41,-2,46,3.4,6,7,0,1,22,6,0,100,13.0,962,15:31,,,,,
18,Tyler Arnason,26,C,TOT,79,13,32,45,1,44,3.7,8,5,0,1,22,10,0,203,6.4,1132,14:20,,,,,
19,Tyler Arnason,26,C,CHI,60,13,28,41,5,40,3.9,8,5,0,1,19,9,0,161,8.1,898,14:58,,,,,
20,Tyler Arnason,26,C,OTT,19,0,4,4,-4,4,-0.2,0,0,0,0,3,1,0,42,0.0,234,12:19,,,,,
21,Jason Arnott,31,C,DAL,81,32,44,76,13,102,8.6,20,11,1,5,26,18,0,167,19.2,1393,17:12,,,,,
22,Evgeny Artyukhin,22,RW,TBL,72,4,13,17,-4,90,0.9,3,1,0,0,12,1,0,79,5.1,628,8:43,,,,,
23,Arron Asham,27,RW,NYI,63,9,15,24,-5,103,1.5,6,2,1,0,15,0,0,99,9.1,853,13:33,,,,,
24,Serge Aubin,30,C,ATL,74,7,17,24,-4,79,1.3,6,1,0,0,14,1,2,82,8.5,821,11:06,,,,,
25,Adrian Aucoin,32,D,CHI,33,1,5,6,-13,38,0.5,0,1,0,0,1,4,0,59,1.7,758,22:58,,,,,
26,Keith Aucoin,27,C,CAR,7,0,1,1,-4,4,-0.1,0,0,0,0,1,0,0,3,0.0,37,5:19,,,,,
27,Sean Avery,25,C,LAK,75,15,24,39,-5,257,3.1,11,1,3,1,21,3,0,189,7.9,1021,13:37,,,,,
28,P.J. Axelsson,30,LW,BOS,59,10,18,28,-3,4,1.8,7,1,2,1,16,1,1,113,8.8,1039,17:36,,,,,
29,Anton Babchuk,21,D,TOT,39,5,5,10,-7,22,1.4,2,3,0,0,1,4,0,56,8.9,577,14:48,,,,,
30,Anton Babchuk,21,D,CAR,22,3,2,5,-2,6,0.8,1,2,0,0,0,2,0,32,9.4,294,13:22,,,,,
31,Anton Babchuk,21,D,CHI,17,2,3,5,-5,16,0.6,1,1,0,0,1,2,0,24,8.3,283,16:38,,,,,
32,Christian Backman,25,D,STL,52,6,12,18,-15,48,3.3,3,3,0,1,6,6,0,70,8.6,1290,24:49,,,,,
33,Jaroslav Balastik,26,LW,CBJ,66,12,10,22,-1,26,1.8,5,7,0,2,9,1,0,158,7.6,847,12:50,,,,,
34,Jozef Balej,23,RW,VAN,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,8,7:56,,,,,
35,Keith Ballard,23,D,PHX,82,8,31,39,-18,99,5.0,4,1,3,1,15,15,1,102,7.8,1638,19:59,,,,,
36,Michal Barinka,21,D,CHI,25,0,1,1,-7,20,-0.1,0,0,0,0,1,0,0,19,0.0,366,14:38,,,,,
37,Cam Barker,19,D,CHI,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,11:02,,,,,
38,Matthew Barnaby,32,LW,CHI,82,8,20,28,-11,178,1.2,8,0,0,1,19,0,1,85,9.4,1101,13:26,,,,,
39,Stu Barnes,35,C,DAL,78,15,21,36,9,44,3.1,14,0,1,2,18,3,0,123,12.2,1285,16:29,,,,,
40,Scott Barney,26,C,ATL,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,20,6:45,,,,,
41,Milan Bartovic,24,RW,CHI,24,1,6,7,0,8,0.4,1,0,0,0,6,0,0,35,2.9,212,8:50,,,,,
42,Shawn Bates,30,C,NYI,66,15,19,34,-11,60,2.4,13,1,1,4,17,2,0,95,15.8,1135,17:12,,,,,
43,Nolan Baumgartner,29,D,VAN,70,5,29,34,11,30,5.8,0,4,1,1,11,18,0,73,6.8,1154,16:29,,,,,
44,Francois Beauchemin,25,D,TOT,72,8,28,36,2,52,6.0,4,4,0,3,18,10,0,137,5.8,1668,23:10,,,,,
45,Francois Beauchemin,25,D,MDA,61,8,26,34,8,41,6.1,4,4,0,3,17,9,0,121,6.6,1478,24:14,,,,,
46,Francois Beauchemin,25,D,CBJ,11,0,2,2,-6,11,-0.1,0,0,0,0,1,1,0,16,0.0,190,17:16,,,,,
47,Kris Beech,24,C,TOT,10,1,2,3,1,4,0.2,1,0,0,0,1,1,0,12,8.3,120,12:02,,,,,
48,Kris Beech,24,C,WSH,5,0,0,0,0,4,-0.1,0,0,0,0,0,0,0,6,0.0,47,9:24,,,,,
49,Kris Beech,24,C,NSH,5,1,2,3,1,0,0.3,1,0,0,0,1,1,0,6,16.7,73,14:40,,,,,
50,Steve Begin,27,C,MTL,76,11,12,23,9,113,1.8,8,1,2,2,9,1,2,134,8.2,1087,14:19,,,,,
51,Wade Belak,29,D,TOR,55,0,3,3,-13,109,-0.1,0,0,0,0,3,0,0,16,0.0,549,9:59,,,,,
52,Eric Belanger,28,C,LAK,65,17,20,37,-5,62,2.9,12,5,0,1,17,2,1,119,14.3,1141,17:33,,,,,
53,Ken Belanger,31,LW,LAK,5,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,0,,18,3:39,,,,,
54,Brendan Bell,22,D,TOR,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,14,14:00,,,,,
55,Mark Bell,25,LW,CHI,82,25,23,48,-14,107,4.1,13,11,1,1,13,10,0,227,11.0,1444,17:37,,,,,
56,Bryan Berard,28,D,CBJ,44,12,20,32,-29,32,3.3,1,11,0,2,9,11,0,126,9.5,997,22:40,,,,,
57,Aki Berg,28,D,TOR,75,0,8,8,-5,56,1.6,0,0,0,0,7,0,1,42,0.0,1197,15:58,,,,,
58,Sean Bergenheim,21,LW,NYI,28,4,5,9,-11,20,0.2,4,0,0,1,5,0,0,63,6.3,372,13:17,,,,,
59,Marc-Andre Bergeron,25,D,EDM,75,15,20,35,3,38,7.1,7,8,0,1,11,8,1,144,10.4,1592,21:14,,,,,
60,Patrice Bergeron,20,C,BOS,81,31,42,73,3,22,7.5,18,12,1,6,24,17,1,310,10.0,1668,20:36,,,,,
61,Steve Bernier,20,RW,SJS,39,14,13,27,4,35,3.2,11,2,1,1,9,4,0,75,18.7,551,14:08,,,,,
62,Todd Bertuzzi,30,RW,VAN,82,25,46,71,-17,120,6.0,13,12,0,3,26,20,0,200,12.5,1568,19:08,,,,,
63,Blair Betts,25,C,NYR,66,8,2,10,-10,24,-0.1,7,0,1,0,2,0,0,94,8.5,853,12:55,,,,,
64,Kevin Bieksa,24,D,VAN,39,0,6,6,-1,77,1.1,0,0,0,0,4,2,0,38,0.0,628,16:06,,,,,
65,Mathieu Biron,25,D,WSH,52,4,9,13,-11,50,1.2,1,3,0,0,3,6,0,61,6.6,636,12:14,,,,,
66,Jason Blake,32,LW,NYI,76,28,29,57,0,60,5.8,14,12,2,2,19,10,0,304,9.2,1427,18:47,,,,,
67,Rob Blake,36,D,COL,81,14,37,51,2,94,8.1,6,7,1,1,19,17,1,264,5.3,1974,24:22,,,,,
68,Zdenek Blatny,25,LW,BOS,5,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,26,5:08,,,,,
69,Brandon Bochenski,23,RW,TOT,40,8,9,17,-2,22,1.6,6,2,0,0,8,1,0,62,12.9,423,10:35,,,,,
70,Brandon Bochenski,23,RW,OTT,20,6,7,13,7,14,1.7,4,2,0,0,6,1,0,39,15.4,246,12:17,,,,,
71,Brandon Bochenski,23,RW,CHI,20,2,2,4,-9,8,-0.1,2,0,0,0,2,0,0,23,8.7,178,8:53,,,,,
72,Eric Boguniecki,30,RW,TOT,47,6,10,16,-3,33,1.1,4,2,0,0,7,3,0,48,12.5,522,11:06,,,,,
