,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
778,Alex Steen,32,STL,LW,76,908,996,47.7,-3.1,679,710,48.9,-1.7,10.7,90.3,101.0,50.2,49.8,19:18,14:32,27,18,-0.1,228,51.3
779,Lee Stempniak,33,CAR,RW,82,1074,1047,50.6,-0.8,738,807,47.8,-3.6,10.3,91.5,101.8,60.2,39.8,15:51,13:47,57,49,0.8,249,52.6
780,Derek Stepan,26,NYR,C,81,1137,1104,50.7,3.7,853,784,52.1,4.1,9.0,93.0,102.0,52.5,47.5,18:37,14:38,51,56,10.3,334,62.6
781,Chandler Stephenson,22,WSH,C,4,32,22,59.3,10.6,25,20,55.6,5.6,0.0,100.0,100.0,34.8,65.2,8:53,8:37,1,0,0.0,4,75.0
782,Chris Stewart,29,MIN,RW,79,572,841,40.5,-10.7,424,631,40.2,-11.8,8.4,95.2,103.6,60.4,39.6,10:23,10:07,15,15,-10.6,133,61.7
783,Karl Stollery,29,NJD,D,11,125,139,47.3,1.8,101,100,50.2,3.9,7.0,85.9,93.0,60.8,39.2,16:55,14:20,3,6,0.8,23,47.8
784,Mark Stone,24,OTT,RW,71,1138,953,54.4,8.4,835,686,54.9,8.6,9.4,91.2,100.6,53.6,46.4,18:34,15:23,96,47,6.3,229,58.5
785,Michael Stone,26,TOT,D,64,865,1125,43.5,-5.3,630,829,43.2,-4.4,8.2,93.9,102.1,42.5,57.5,19:49,16:41,5,26,-13.1,186,43.5
786,Clayton Stoner,31,ANA,D,14,189,180,51.2,4.4,141,126,52.8,7.0,4.7,94.5,99.2,47.4,52.6,17:33,15:17,2,3,1.4,29,55.2
787,Brian Strait,29,WPG,D,5,67,90,42.7,-0.1,48,60,44.4,3.0,11.1,89.2,100.3,45.9,54.1,15:56,15:26,0,0,-0.5,10,30.0
788,Anton Stralman,30,TBL,D,73,1238,1208,50.6,-1.7,943,935,50.2,-1.1,8.8,91.4,100.2,50.9,49.1,22:54,18:37,26,27,1.8,257,50.6
