,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
857,Dale Weise,28,PHI,RW,64,717,633,53.1,2.9,509,434,54.0,3.5,8.1,90.7,98.8,50.1,49.9,12:53,11:54,13,14,7.0,144,65.3
858,Alexander Wennberg,22,CBJ,C,80,1136,1065,51.6,1.6,855,801,51.6,1.6,8.5,92.4,101.0,59.3,40.7,18:23,15:06,44,31,3.6,186,58.6
859,Zach Werenski,19,CBJ,D,78,1360,1155,54.1,6.2,989,853,53.7,5.3,8.7,92.4,101.1,55.4,44.6,20:55,17:21,27,40,10.7,384,49.0
860,Blake Wheeler,30,WPG,RW,82,1329,1089,55.0,8.4,1004,811,55.3,8.6,9.6,88.9,98.5,52.6,47.4,20:09,15:46,39,44,16.1,419,61.8
861,Colin White,20,OTT,C,2,18,22,45.0,-18.0,8,16,33.3,-32.4,16.7,88.9,105.6,50.0,50.0,13:43,12:02,1,0,-0.3,2,50.0
862,Ryan White,28,TOT,C,65,558,677,45.2,-3.6,420,520,44.7,-3.5,6.8,89.5,96.3,41.8,58.2,10:39,10:18,11,10,-9.0,103,58.3
863,Chris Wideman,27,OTT,D,76,916,829,52.5,5.5,654,592,52.5,4.8,6.8,93.6,100.3,63.1,36.9,13:58,12:22,14,35,5.2,249,49.4
864,Dennis Wideman,33,CGY,D,57,841,834,50.2,-0.8,596,631,48.6,-2.2,7.9,90.7,98.6,50.7,49.3,20:14,16:51,21,49,1.4,191,45.5
865,Patrick Wiercioch,26,COL,D,57,690,786,46.7,-2.2,507,611,45.3,-4.0,5.3,91.6,96.9,51.7,48.3,16:41,14:14,6,15,-12.8,137,46.0
866,Justin Williams,35,WSH,RW,80,1010,868,53.8,3.3,776,660,54.0,4.3,8.9,92.0,100.9,60.0,40.0,15:29,13:01,37,44,10.2,290,57.6
867,Colin Wilson,27,NSH,LW,70,913,808,53.1,1.9,658,616,51.6,0.5,9.9,91.7,101.5,51.2,48.8,14:57,12:55,23,25,5.4,184,61.4
868,Scott Wilson,24,PIT,LW,78,776,787,49.6,-0.2,595,559,51.6,0.9,8.0,91.5,99.5,41.6,58.4,10:57,10:33,20,11,7.8,214,59.3
869,Tom Wilson,22,WSH,RW,82,738,753,49.5,-2.3,524,553,48.7,-2.8,8.7,93.7,102.4,40.5,59.5,12:56,10:49,36,21,4.1,166,57.2
870,Tommy Wingels,28,TOT,C,73,591,651,47.6,-3.4,434,446,49.3,-2.1,5.7,90.2,95.9,53.4,46.6,10:30,9:39,13,15,0.6,116,69.8
871,Daniel Winnik,31,WSH,LW,72,608,617,49.6,-2.0,447,455,49.6,-1.9,9.4,94.7,104.1,39.9,60.1,12:55,10:21,30,30,-0.8,133,61.7
872,Luke Witkowski,26,TBL,D,34,309,317,49.4,-1.2,231,249,48.1,-2.3,5.9,93.9,99.8,45.2,54.8,9:52,9:47,3,8,3.2,42,57.1
873,Miles Wood,21,NJD,LW,60,483,685,41.4,-6.8,392,518,43.1,-5.0,5.7,91.0,96.7,44.8,55.2,12:51,11:25,16,14,-4.4,166,63.3
874,Tyler Wotherspoon,23,CGY,D,4,33,38,46.5,-17.2,28,28,50.0,-13.4,0.0,88.9,88.9,61.3,38.7,10:54,10:54,1,4,1.0,8,50.0
875,Nail Yakupov,23,STL,RW,40,357,339,51.3,1.3,268,246,52.1,1.9,8.2,89.4,97.6,63.9,36.1,10:40,10:23,11,3,3.3,68,51.5
876,Keith Yandle,30,FLA,D,82,1352,1317,50.7,0.2,1017,1054,49.1,-1.6,7.2,92.5,99.7,56.2,43.8,22:02,17:16,24,76,-7.4,394,45.4
877,Pavel Zacha,19,NJD,C,70,640,709,47.4,-0.5,507,549,48.0,-0.5,4.6,92.6,97.2,52.2,47.8,14:27,11:49,16,26,-4.1,126,65.9
878,Nikita Zadorov,21,COL,D,56,770,854,47.4,-0.6,574,642,47.2,-0.7,5.7,91.0,96.7,44.3,55.7,19:02,16:03,12,25,-12.8,157,38.9
879,Nikita Zaitsev,25,TOR,D,82,1495,1529,49.4,-1.8,1113,1172,48.7,-1.9,8.2,90.2,98.4,44.8,55.2,21:51,18:06,33,58,-6.8,303,35.0
880,Travis Zajac,31,NJD,C,80,1037,1047,49.8,3.6,792,806,49.6,2.8,8.4,90.4,98.8,45.6,54.4,19:35,14:44,44,25,-0.3,195,64.6
881,Michael Zalewski,24,VAN,LW,1,4,10,28.6,-10.7,4,7,36.4,-5.0,0.0,83.3,83.3,0.0,100.0,8:03,8:03,0,0,-0.6,1,0.0
882,Henrik Zetterberg,36,DET,LW,82,1237,1132,52.2,5.4,950,862,52.4,5.7,10.2,91.5,101.7,51.4,48.6,19:42,16:42,38,37,13.1,335,58.2
883,Mika Zibanejad,23,NYR,C,56,726,728,49.9,2.4,567,538,51.3,3.2,11.5,91.8,103.3,53.8,46.2,17:04,13:55,36,31,1.7,225,52.4
884,Harry Zolnierczyk,29,NSH,LW,24,144,245,37.0,-14.1,100,174,36.5,-15.2,6.3,94.3,100.6,42.9,57.1,8:52,8:47,7,1,-3.7,32,59.4
885,Mats Zuccarello,29,NYR,RW,80,1214,1125,51.9,5.5,927,816,53.2,5.9,9.6,91.9,101.5,54.1,45.9,18:50,15:35,70,54,7.0,327,57.8
886,Jason Zucker,25,MIN,LW,79,1043,1053,49.8,0.6,813,777,51.1,1.8,11.8,93.3,105.1,41.7,58.3,15:17,14:22,44,23,17.0,292,58.9
887,Valentin Zykov,21,CAR,LW,2,17,9,65.4,14.0,14,8,63.6,12.9,7.7,100.0,107.7,44.4,55.6,6:15,5:09,0,1,0.3,4,75.0
