,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
28,Anton Babchuk,19,D,CHI,5,0,2,2,-1,2,0.2,0,0,0,0,1,1,0,11,0.0,64,12:43,,,,,
29,Christian Backman,23,D,STL,66,5,13,18,3,16,4.7,4,1,0,0,9,4,0,92,5.4,1276,19:20,,,,,
30,Jozef Balej,21,RW,TOT,17,1,4,5,-1,4,0.2,1,0,0,0,3,1,0,29,3.4,221,12:59,,,,,
31,Jozef Balej,21,RW,NYR,13,1,4,5,0,4,0.3,1,0,0,0,3,1,0,25,4.0,170,13:06,,,,,
32,Jozef Balej,21,RW,MTL,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,51,12:38,,,,,
33,Michal Barinka,19,D,CHI,9,0,1,1,-5,6,-0.2,0,0,0,0,1,0,0,15,0.0,124,13:48,,,,,
34,Matthew Barnaby,30,RW,TOT,82,16,25,41,18,157,5.1,15,1,0,3,24,1,0,104,15.4,1016,12:23,,,,,
35,Matthew Barnaby,30,RW,NYR,69,12,20,32,15,120,3.9,12,0,0,1,19,1,0,80,15.0,816,11:49,,,,,
36,Matthew Barnaby,30,RW,COL,13,4,5,9,3,37,1.2,3,1,0,2,5,0,0,24,16.7,200,15:25,,,,,
37,Ryan Barnes,24,LW,DET,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,2:22,,,,,
38,Stu Barnes,33,C,DAL,77,11,18,29,7,18,2.8,10,0,1,4,15,3,0,135,8.1,1392,18:05,,,,,
39,Scott Barney,24,C,LAK,19,5,6,11,3,4,1.5,3,2,0,0,5,1,0,31,16.1,213,11:12,,,,,
40,Murray Baron,36,D,STL,80,1,5,6,-6,61,2.6,1,0,0,0,5,0,0,57,1.8,1538,19:14,,,,,
41,Milan Bartovic,22,RW,BUF,23,1,8,9,1,18,0.7,1,0,0,0,8,0,0,30,3.3,296,12:53,,,,,
42,Shawn Bates,28,C,NYI,69,9,23,32,-8,46,2.0,8,0,1,1,19,4,0,115,7.8,1272,18:26,,,,,
43,Bates Battaglia,28,LW,TOT,70,4,7,11,-24,42,-0.8,4,0,0,1,6,1,0,70,5.7,943,13:29,,,,,
44,Bates Battaglia,28,LW,WSH,66,4,6,10,-23,38,-0.8,4,0,0,1,5,1,0,69,5.8,899,13:37,,,,,
45,Bates Battaglia,28,LW,COL,4,0,1,1,-1,4,0.0,0,0,0,0,1,0,0,1,0.0,44,11:04,,,,,
46,Nolan Baumgartner,27,D,TOT,14,0,3,3,-4,4,0.2,0,0,0,0,2,1,0,15,0.0,203,14:32,,,,,
47,Nolan Baumgartner,27,D,VAN,9,0,3,3,3,2,0.7,0,0,0,0,2,1,0,9,0.0,107,11:52,,,,,
48,Nolan Baumgartner,27,D,PIT,5,0,0,0,-7,2,-0.5,0,0,0,0,0,0,0,6,0.0,97,19:20,,,,,
49,Ryan Bayda,23,LW,CAR,44,3,3,6,-14,22,-0.3,3,0,0,1,3,0,0,65,4.6,482,10:57,,,,,
50,Eric Beaudoin,23,LW,FLA,30,2,4,6,-6,12,0.2,2,0,0,0,4,0,0,30,6.7,309,10:19,,,,,
51,Jaroslav Bednar,27,RW,FLA,13,1,1,2,2,4,0.2,1,0,0,0,1,0,0,19,5.3,169,13:02,,,,,
52,Kris Beech,22,C,PIT,4,0,1,1,0,6,0.0,0,0,0,0,0,1,0,6,0.0,50,12:32,,,,,
53,Steve Begin,25,C,MTL,52,10,5,15,6,41,2.0,9,0,1,1,5,0,0,91,11.0,652,12:32,,,,,
54,Derek Bekar,28,LW,NYI,4,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,22,5:35,,,,,
55,Wade Belak,27,D,TOR,34,1,1,2,0,109,0.5,1,0,0,0,1,0,0,15,6.7,238,7:00,,,,,
56,Eric Belanger,26,C,LAK,81,13,20,33,-16,44,2.0,12,0,1,2,16,3,1,132,9.8,1378,17:01,,,,,
57,Mark Bell,23,LW,CHI,82,21,24,45,-14,106,4.5,19,2,0,1,15,9,0,202,10.4,1445,17:37,,,,,
58,Bryan Berard,26,D,CHI,58,13,34,47,-24,53,6.1,7,6,0,0,15,19,0,203,6.4,1263,21:46,,,,,
59,Drake Berehowsky,32,D,TOT,56,6,18,24,-11,67,3.3,3,3,0,0,6,12,0,70,8.6,1144,20:25,,,,,
60,Drake Berehowsky,32,D,PIT,47,5,16,21,-16,50,2.4,2,3,0,0,4,12,0,62,8.1,997,21:13,,,,,
61,Drake Berehowsky,32,D,TOR,9,1,2,3,5,17,1.0,1,0,0,0,2,0,0,8,12.5,147,16:17,,,,,
62,Aki Berg,26,D,TOR,79,2,7,9,-1,40,2.2,2,0,0,0,6,1,0,69,2.9,1446,18:18,,,,,
63,Sean Bergenheim,19,LW,NYI,18,1,1,2,-4,4,-0.1,0,0,1,0,1,0,0,12,8.3,161,8:55,,,,,
64,Marc-Andre Bergeron,23,D,EDM,54,9,17,26,13,26,5.6,6,3,0,0,10,7,0,105,8.6,953,17:39,,,,,
65,Patrice Bergeron,18,C,BOS,71,16,23,39,5,22,4.5,9,7,0,2,15,8,0,133,12.0,1161,16:21,,,,,
66,Marc Bergevin,38,D,TOT,61,1,10,11,-6,29,1.6,1,0,0,0,10,0,0,30,3.3,978,16:02,,,,,
67,Marc Bergevin,38,D,PIT,52,1,8,9,-8,27,1.2,1,0,0,0,8,0,0,23,4.3,885,17:01,,,,,
68,Marc Bergevin,38,D,VAN,9,0,2,2,2,2,0.5,0,0,0,0,2,0,0,7,0.0,93,10:19,,,,,
69,Christian Berglund,23,RW,TOT,33,5,4,9,-6,14,0.7,5,0,0,0,4,0,0,50,10.0,382,11:34,,,,,
70,Christian Berglund,23,RW,NJD,23,2,3,5,-4,4,0.2,2,0,0,0,3,0,0,33,6.1,261,11:22,,,,,
71,Christian Berglund,23,RW,FLA,10,3,1,4,-2,10,0.5,3,0,0,0,1,0,0,17,17.6,120,12:01,,,,,
72,Rick Berry,25,D,WSH,65,0,6,6,-5,108,1.2,0,0,0,0,6,0,0,43,0.0,792,12:11,,,,,
73,Todd Bertuzzi,28,RW,VAN,69,17,43,60,21,122,6.8,9,8,0,2,35,8,0,156,10.9,1450,21:00,,,,,
74,Blair Betts,23,C,CGY,20,1,2,3,-1,10,0.0,0,1,0,1,2,0,0,21,4.8,255,12:46,,,,,
75,Goran Bezina,23,D,PHX,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,16,5:17,,,,,
76,Jiri Bicek,25,RW,NJD,12,0,1,1,0,0,-0.1,0,0,0,0,1,0,0,10,0.0,119,9:55,,,,,
77,Mathieu Biron,23,D,FLA,57,3,10,13,-13,51,2.0,3,0,0,1,10,0,0,75,4.0,1038,18:13,,,,,
78,Mike Bishai,24,C,EDM,14,0,2,2,0,19,0.0,0,0,0,0,2,0,0,14,0.0,128,9:09,,,,,
79,Jason Blake,30,LW,NYI,75,22,25,47,11,56,5.7,17,1,4,3,18,4,3,243,9.1,1411,18:49,,,,,
80,Rob Blake,34,D,COL,74,13,33,46,6,61,8.5,5,8,0,3,14,18,1,242,5.4,1805,24:23,,,,,
81,Zdenek Blatny,23,LW,ATL,16,3,0,3,0,6,0.4,3,0,0,0,0,0,0,17,17.6,167,10:27,,,,,
82,Eric Boguniecki,28,RW,STL,27,6,4,10,-1,20,1.2,4,2,0,2,3,1,0,40,15.0,397,14:42,,,,,
83,Patrick Boileau,28,D,PIT,16,3,4,7,-16,8,0.0,0,3,0,0,2,2,0,41,7.3,318,19:52,,,,,
84,Brad Bombardir,31,D,TOT,69,1,2,3,-9,25,1.6,1,0,0,1,2,0,0,47,2.1,1380,20:00,,,,,
85,Brad Bombardir,31,D,MIN,56,1,2,3,-10,21,1.3,1,0,0,1,2,0,0,38,2.6,1133,20:14,,,,,
86,Brad Bombardir,31,D,NSH,13,0,0,0,1,4,0.3,0,0,0,0,0,0,0,9,0.0,248,19:03,,,,,
87,Peter Bondra,35,RW,TOT,77,26,23,49,-16,38,5.4,12,14,0,5,12,11,0,188,13.8,1433,18:37,,,,,
88,Peter Bondra,35,RW,WSH,54,21,14,35,-17,22,3.9,9,12,0,4,5,9,0,136,15.4,1011,18:43,,,,,
89,Peter Bondra,35,RW,OTT,23,5,9,14,1,16,1.4,3,2,0,1,7,2,0,52,9.6,422,18:21,,,,,
90,Radek Bonk,28,C,OTT,66,12,32,44,2,66,4.3,6,6,0,1,11,21,0,98,12.2,1164,17:38,,,,,
91,Dennis Bonvie,30,RW,COL,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,7:01,,,,,
92,Darryl Bootland,22,RW,DET,22,1,1,2,-3,74,0.0,1,0,0,1,1,0,0,13,7.7,134,6:07,,,,,
93,Jason Botterill,27,LW,BUF,19,2,1,3,0,14,0.2,1,1,0,0,0,1,0,20,10.0,217,11:24,,,,,
94,Joel Bouchard,30,D,NYR,28,1,7,8,2,10,1.4,1,0,0,0,6,1,0,34,2.9,468,16:42,,,,,
95,Pierre-Marc Bouchard,19,LW,MIN,61,4,18,22,-7,22,1.4,2,2,0,0,11,7,0,60,6.7,854,14:00,,,,,
96,Philippe Boucher,30,D,DAL,70,8,16,24,15,64,7.2,6,2,0,2,13,3,0,134,6.0,1568,22:24,,,,,
97,Tyler Bouck,24,C,VAN,18,1,2,3,-4,23,0.0,0,0,1,0,2,0,0,12,8.3,167,9:18,,,,,
98,Bob Boughner,32,D,TOT,54,0,5,5,-10,88,0.6,0,0,0,0,4,0,1,34,0.0,784,14:31,,,,,
99,Bob Boughner,32,D,CAR,43,0,5,5,-9,80,0.6,0,0,0,0,4,0,1,26,0.0,636,14:47,,,,,
100,Bob Boughner,32,D,COL,11,0,0,0,-1,8,0.0,0,0,0,0,0,0,0,8,0.0,148,13:26,,,,,
101,Francis Bouillon,28,D,MTL,73,2,16,18,1,70,3.8,2,0,0,0,11,5,0,86,2.3,1435,19:39,,,,,
102,Jesse Boulerice,25,RW,CAR,76,6,1,7,-5,127,0.5,6,0,0,0,1,0,0,46,13.0,497,6:32,,,,,
103,Eric Boulton,27,LW,BUF,44,1,2,3,-2,110,0.0,1,0,0,0,2,0,0,20,5.0,214,4:52,,,,,
104,Josef Boumedienne,26,RW,WSH,37,2,12,14,-10,30,0.0,0,2,0,0,3,9,0,44,4.5,852,23:02,,,,,
105,Jay Bouwmeester,20,D,FLA,61,2,18,20,-15,30,2.9,2,0,0,0,8,9,1,85,2.4,1405,23:02,,,,,
106,Brad Boyes,21,C,SJS,1,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,0,,13,13:03,,,,,
107,Dan Boyle,27,D,TBL,78,9,30,39,23,60,8.5,6,3,0,2,18,12,0,137,6.6,1776,22:46,,,,,
108,Nick Boynton,25,D,BOS,81,6,24,30,17,98,7.1,4,1,1,1,15,9,0,178,3.4,1826,22:32,,,,,
109,Matt Bradley,25,RW,PIT,82,7,9,16,-27,65,-0.3,7,0,0,1,8,1,0,85,8.2,1049,12:48,,,,,
110,Christoph Brandner,28,RW,MIN,35,4,5,9,-2,8,0.7,3,1,0,0,3,2,0,50,8.0,467,13:20,,,,,
111,Donald Brashear,32,LW,PHI,64,6,7,13,-1,212,0.8,6,0,0,0,7,0,0,72,8.3,706,11:02,,,,,
112,Pavel Brendl,22,RW,CAR,18,5,3,8,0,8,1.1,4,1,0,1,2,1,0,27,18.5,266,14:48,,,,,
113,Kip Brennan,23,LW,TOT,23,1,0,1,-1,96,0.0,1,0,0,0,0,0,0,8,12.5,108,4:43,,,,,
114,Kip Brennan,23,LW,LAK,18,1,0,1,-1,79,0.0,1,0,0,0,0,0,0,6,16.7,90,5:01,,,,,
115,Kip Brennan,23,LW,ATL,5,0,0,0,0,17,0.0,0,0,0,0,0,0,0,2,0.0,18,3:37,,,,,
116,Eric Brewer,24,D,EDM,77,7,18,25,-6,67,4.1,4,3,0,1,9,7,2,135,5.2,1899,24:40,,,,,
117,Daniel Briere,26,C,BUF,82,28,37,65,-7,70,7.7,17,11,0,3,21,16,0,194,14.4,1503,18:20,,,,,
118,Travis Brigley,26,LW,COL,36,3,4,7,0,10,0.4,2,1,0,0,4,0,0,39,7.7,427,11:52,,,,,
119,Aris Brimanis,31,D,STL,13,0,0,0,0,4,0.2,0,0,0,0,0,0,0,3,0.0,156,12:02,,,,,
120,Rod Brind'Amour,33,C,CAR,78,12,26,38,0,28,3.2,11,1,0,1,22,3,1,141,8.5,1668,21:23,,,,,
121,Patrice Brisebois,33,D,MTL,71,4,27,31,17,22,6.9,2,2,0,0,18,9,0,96,4.2,1515,21:20,,,,,
122,Wade Brookbank,26,D,TOT,29,2,0,2,-1,133,0.4,2,0,0,1,0,0,0,7,28.6,108,3:43,,,,,
123,Wade Brookbank,26,D,VAN,20,2,0,2,3,95,0.7,2,0,0,1,0,0,0,6,33.3,77,3:50,,,,,
124,Wade Brookbank,26,D,NSH,9,0,0,0,-4,38,-0.3,0,0,0,0,0,0,0,1,0.0,31,3:28,,,,,
125,Brad Brown,28,D,TOT,43,0,3,3,2,66,1.1,0,0,0,0,3,0,0,20,0.0,506,11:45,,,,,
126,Brad Brown,28,D,MIN,30,0,1,1,-1,54,0.5,0,0,0,0,1,0,0,14,0.0,290,9:41,,,,,
127,Brad Brown,28,D,BUF,13,0,2,2,3,12,0.7,0,0,0,0,2,0,0,6,0.0,215,16:33,,,,,
128,Curtis Brown,27,C,TOT,80,11,14,25,3,36,1.9,8,2,1,2,12,1,1,138,8.0,1326,16:35,,,,,
129,Curtis Brown,27,C,BUF,68,9,12,21,2,30,1.6,6,2,1,2,11,1,0,117,7.7,1129,16:36,,,,,
130,Curtis Brown,27,C,SJS,12,2,2,4,1,6,0.4,2,0,0,0,1,0,1,21,9.5,197,16:26,,,,,
131,Dustin Brown,19,RW,LAK,31,1,4,5,0,16,0.1,1,0,0,0,4,0,0,40,2.5,325,10:29,,,,,
132,Sean Brown,27,D,NJD,39,0,3,3,5,44,1.5,0,0,0,0,3,0,0,25,0.0,544,13:56,,,,,
133,Andrew Brunette,30,RW,MIN,82,15,34,49,3,12,5.5,8,7,0,3,22,12,0,90,16.7,1273,15:32,,,,,
134,Sergei Brylin,30,C,NJD,82,14,19,33,10,20,3.6,7,7,0,1,13,4,2,98,14.3,1346,16:25,,,,,
135,Kelly Buchberger,37,C,PIT,71,1,3,4,-19,109,-1.4,1,0,0,0,3,0,0,34,2.9,735,10:21,,,,,
136,Jan Bulis,25,LW,MTL,72,13,17,30,-8,30,2.5,11,1,1,4,14,3,0,147,8.8,1232,17:07,,,,,
137,Valeri Bure,29,RW,TOT,68,22,30,52,3,26,6.6,14,8,0,4,20,10,0,209,10.5,1289,18:58,,,,,
138,Valeri Bure,29,RW,FLA,55,20,25,45,0,20,5.8,12,8,0,4,16,9,0,175,11.4,1057,19:13,,,,,
139,Valeri Bure,29,RW,DAL,13,2,5,7,3,6,0.8,2,0,0,0,4,1,0,34,5.9,232,17:51,,,,,
140,Garrett Burnett,28,LW,MDA,39,1,2,3,0,184,0.2,1,0,0,0,2,0,0,24,4.2,140,3:36,,,,,
141,Brent Burns,18,RW,MIN,36,1,5,6,-10,12,-0.3,1,0,0,0,3,2,0,34,2.9,485,13:29,,,,,
142,Sven Butenschön,27,D,NYI,41,1,6,7,-3,30,0.9,1,0,0,0,5,0,1,17,5.9,461,11:15,,,,,
143,Dan Bylsma,33,RW,MDA,11,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,6,0.0,78,7:04,,,,,
144,Eric Cairns,29,D,NYI,72,2,6,8,-5,189,1.2,2,0,0,0,6,0,0,24,8.3,845,11:44,,,,,
145,Petr Cajanek,28,C,STL,70,12,14,26,12,16,3.0,9,3,0,4,8,6,0,126,9.5,1246,17:48,,,,,
146,Kyle Calder,25,LW,CHI,66,21,18,39,-18,29,4.2,11,10,0,1,14,4,0,144,14.6,1131,17:08,,,,,
147,Mike Cammalleri,21,C,LAK,31,9,6,15,1,20,2.0,7,2,0,2,3,3,0,53,17.0,412,13:18,,,,,
148,Brian Campbell,24,D,BUF,53,3,8,11,-8,12,1.7,3,0,0,0,7,1,0,45,6.7,850,16:02,,,,,
149,Gregory Campbell,20,LW,FLA,2,0,0,0,-1,5,-0.1,0,0,0,0,0,0,0,0,,18,9:09,,,,,
150,Keith Carney,33,D,MDA,69,2,5,7,-5,42,2.7,1,1,0,0,4,1,0,58,3.4,1498,21:43,,,,,
151,Anson Carter,29,RW,TOT,77,15,13,28,-15,20,1.8,8,6,1,4,9,4,0,114,13.2,1292,16:47,,,,,
152,Anson Carter,29,RW,NYR,43,10,7,17,-12,14,1.2,5,4,1,2,5,2,0,63,15.9,670,15:35,,,,,
153,Anson Carter,29,RW,WSH,19,5,5,10,2,6,1.2,3,2,0,2,3,2,0,33,15.2,372,19:33,,,,,
154,Anson Carter,29,RW,LAK,15,0,1,1,-5,0,-0.5,0,0,0,0,1,0,0,18,0.0,251,16:43,,,,,
155,Andrew Cassels,34,C,CBJ,58,6,20,26,-24,26,1.1,4,2,0,0,6,13,1,91,6.6,1119,19:18,,,,,
156,Zdeno Chara,26,D,OTT,79,16,25,41,33,147,10.3,9,7,0,3,15,7,3,185,8.6,1946,24:38,,,,,
157,Brad Chartrand,29,C,LAK,53,3,4,7,-3,30,-0.1,2,0,1,0,4,0,0,63,4.8,615,11:36,,,,,
158,Jonathan Cheechoo,23,RW,SJS,81,28,19,47,5,33,6.3,20,8,0,9,12,7,0,175,16.0,1312,16:12,,,,,
159,Chris Chelios,42,D,DET,69,2,19,21,12,61,4.5,2,0,0,0,19,0,0,113,1.8,1473,21:21,,,,,
160,Jason Chimera,24,LW,EDM,60,4,8,12,-1,57,0.6,4,0,0,1,7,1,0,79,5.1,607,10:07,,,,,
161,Stanislav Chistov,20,RW,MDA,56,2,16,18,-16,26,0.6,0,2,0,0,6,10,0,70,2.9,690,12:20,,,,,
162,Eric Chouinard,23,RW,TOT,48,6,4,10,-10,6,0.5,6,0,0,1,3,1,0,60,10.0,557,11:37,,,,,
163,Eric Chouinard,23,RW,MIN,31,3,4,7,-7,6,0.2,3,0,0,1,3,1,0,45,6.7,422,13:36,,,,,
164,Eric Chouinard,23,RW,PHI,17,3,0,3,-3,0,0.3,3,0,0,0,0,0,0,15,20.0,136,7:59,,,,,
165,Marc Chouinard,26,C,MIN,45,11,10,21,4,17,2.7,7,3,1,2,9,1,0,70,15.7,719,15:58,,,,,
166,Artem Chubarov,24,C,VAN,65,12,7,19,1,14,1.8,10,1,1,3,7,0,0,93,12.9,915,14:05,,,,,
167,Martin Cibak,23,C,TBL,63,2,7,9,-1,30,0.3,2,0,0,0,7,0,0,44,4.5,478,7:35,,,,,
168,Ivan Ciernik,26,RW,WSH,7,1,1,2,1,0,0.3,1,0,0,0,1,0,0,8,12.5,67,9:38,,,,,
169,Brett Clark,27,D,COL,12,1,1,2,3,6,0.7,1,0,0,0,1,0,0,14,7.1,125,10:26,,,,,
170,Chris Clark,27,RW,CGY,82,10,15,25,-3,106,2.1,6,4,0,2,12,2,1,137,7.3,1154,14:05,,,,,
171,Noah Clarke,24,LW,LAK,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,19,9:39,,,,,
172,Dan Cleary,25,LW,PHX,68,6,11,17,-8,42,0.8,3,0,3,0,10,1,0,83,7.2,898,13:12,,,,,
173,Ben Clymer,25,RW,TBL,66,2,8,10,5,50,0.4,2,0,0,0,8,0,0,96,2.1,647,9:48,,,,,
174,Carlo Colaiacovo,21,D,TOR,2,0,1,1,1,2,0.2,0,0,0,0,1,0,0,0,,28,13:56,,,,,
175,Erik Cole,25,RW,CAR,80,18,24,42,-4,93,4.5,14,2,2,3,14,9,1,172,10.5,1448,18:06,,,,,
176,Mike Commodore,24,D,CGY,12,0,0,0,-4,25,-0.1,0,0,0,0,0,0,0,10,0.0,183,15:17,,,,,
177,Mike Comrie,23,C,TOT,49,12,12,24,-6,28,2.5,10,1,1,2,4,7,1,101,11.9,769,15:42,,,,,
178,Mike Comrie,23,C,PHX,28,8,7,15,-8,16,1.4,6,1,1,1,2,4,1,65,12.3,499,17:50,,,,,
179,Mike Comrie,23,C,PHI,21,4,5,9,2,12,1.0,4,0,0,1,2,3,0,36,11.1,270,12:51,,,,,
180,Craig Conroy,32,C,CGY,63,8,39,47,13,44,4.9,6,2,0,0,23,12,4,112,7.1,1210,19:13,,,,,
181,Matt Cooke,25,LW,VAN,53,11,12,23,5,73,2.6,9,1,1,4,10,1,1,79,13.9,747,14:06,,,,,
182,Carl Corazzini,24,C,BOS,12,2,0,2,2,0,0.3,1,0,1,0,0,0,0,16,12.5,128,10:41,,,,,
183,Daniel Corso,25,C,ATL,7,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,2,0.0,91,12:59,,,,,
184,Shayne Corson,37,LW,DAL,17,5,5,10,12,29,1.8,4,0,1,1,5,0,0,21,23.8,230,13:31,,,,,
185,Joe Corvo,26,D,LAK,72,8,17,25,7,36,5.5,8,0,0,3,13,4,0,150,5.3,1522,21:09,,,,,
186,Jeff Cowan,27,LW,TOT,71,11,16,27,1,92,3.0,9,2,0,1,15,1,0,89,12.4,736,10:22,,,,,
187,Jeff Cowan,27,LW,ATL,58,9,15,24,2,68,2.8,8,1,0,1,14,1,0,74,12.2,584,10:04,,,,,
188,Jeff Cowan,27,LW,LAK,13,2,1,3,-1,24,0.2,1,1,0,0,1,0,0,15,13.3,152,11:43,,,,,
189,Cory Cross,33,D,EDM,68,7,14,21,9,56,4.6,6,1,0,1,11,3,0,83,8.4,1308,19:14,,,,,
190,Matt Cullen,27,C,FLA,56,6,13,19,-2,24,1.6,5,1,0,2,10,1,2,75,8.0,795,14:12,,,,,
191,Jassen Cullimore,31,D,TBL,79,2,5,7,8,58,2.7,2,0,0,1,5,0,0,78,2.6,1503,19:02,,,,,
192,Jim Cummins,33,RW,COL,55,1,2,3,-5,147,-0.3,1,0,0,1,2,0,0,25,4.0,321,5:50,,,,,
193,Jakub Cutta,22,D,WSH,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,42,13:54,,,,,
194,Mariusz Czerkawski,31,RW,NYI,81,25,24,49,8,16,6.8,16,9,0,2,17,7,0,157,15.9,1056,13:02,,,,,
195,Andreas Dackell,31,RW,MTL,60,4,8,12,8,10,0.6,4,0,0,0,6,0,2,50,8.0,921,15:21,,,,,
196,Pierre Dagenais,25,RW,MTL,50,17,10,27,15,24,4.4,13,4,0,3,7,3,0,149,11.4,694,13:53,,,,,
197,Alexandre Daigle,28,LW,MIN,78,20,31,51,-4,14,6.1,14,6,0,3,20,11,0,145,13.8,1183,15:10,,,,,
198,Trevor Daley,20,D,DAL,27,1,5,6,-6,14,0.9,0,1,0,0,2,3,0,34,2.9,433,16:02,,,,,
199,Vincent Damphousse,36,LW,SJS,82,12,29,41,-5,66,3.3,5,7,0,4,17,12,0,156,7.7,1406,17:09,,,,,
200,Mathieu Dandenault,27,D,DET,65,3,9,12,9,40,3.0,2,0,1,0,8,1,0,68,4.4,896,13:47,,,,,
201,Mike Danton,23,LW,STL,68,7,5,12,-8,141,0.7,6,0,1,0,3,2,0,72,9.7,812,11:57,,,,,
202,Craig Darby,31,C,NJD,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,7:06,,,,,
203,Mathieu Darche,27,LW,NSH,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,13,6:39,,,,,
204,Pavel Datsyuk,25,C,DET,75,30,38,68,-2,35,8.4,21,8,1,4,23,15,0,136,22.1,1370,18:16,,,,,
205,Rob Davison,23,D,SJS,55,0,3,3,-3,92,0.9,0,0,0,0,3,0,0,33,0.0,790,14:22,,,,,
