,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Ramzi Abid,23,LW,PIT,16,3,2,5,-5,27,0.3,1,2,0,1,0,2,0,35,8.6,207,12:56,,,,,
1,Craig Adams,26,LW,CAR,80,7,10,17,-5,69,0.9,6,0,1,0,10,0,0,110,6.4,1095,13:41,,,,,
2,Kevyn Adams,29,C,CAR,73,10,12,22,6,43,2.4,5,0,5,1,12,0,0,141,7.1,970,13:17,,,,,
3,Dmitry Afanasenkov,23,RW,TBL,71,6,10,16,-4,12,0.7,6,0,0,1,8,2,0,98,6.1,877,12:21,,,,,
4,Maxim Afinogenov,24,RW,BUF,73,17,14,31,-4,57,3.6,14,3,0,4,11,3,0,148,11.5,1004,13:46,,,,,
5,Johnathan Aitken,25,D,CHI,41,0,1,1,-9,70,0.2,0,0,0,0,1,0,0,37,0.0,707,17:15,,,,,
6,Tommy Albelin,39,D,NJD,45,1,3,4,7,4,2.0,1,0,0,0,2,1,0,27,3.7,666,14:48,,,,,
7,Daniel Alfredsson,31,RW,OTT,77,32,48,80,12,24,10.4,23,9,0,5,18,29,1,230,13.9,1494,19:24,,,,,
8,Bryan Allen,23,D,VAN,74,2,5,7,-10,94,1.0,2,0,0,0,5,0,0,70,2.9,1247,16:51,,,,,
9,Jamie Allison,28,D,NSH,47,0,3,3,-7,76,0.4,0,0,0,0,3,0,0,19,0.0,615,13:04,,,,,
10,Tony Amonte,33,RW,PHI,80,20,33,53,13,38,6.5,16,4,0,3,19,14,0,173,11.6,1219,15:14,,,,,
11,Dave Andreychuk,40,RW,TBL,82,21,18,39,-9,42,3.8,11,10,0,5,12,6,0,165,12.7,1403,17:06,,,,,
12,Mel Angelstad,31,LW,WSH,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,26,13:00,,,,,
13,Nik Antropov,23,C,TOR,62,13,18,31,7,62,3.4,11,1,1,2,16,2,0,89,14.6,948,15:18,,,,,
14,Denis Arkhipov,24,C,NSH,72,9,12,21,-2,22,1.6,6,3,0,3,9,3,0,91,9.9,1006,13:58,,,,,
15,Chris Armstrong,28,D,MDA,4,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,8,0.0,50,12:32,,,,,
16,Derek Armstrong,30,C,LAK,57,14,21,35,4,33,3.9,9,5,0,1,16,5,0,101,13.9,969,17:00,,,,,
17,Tyler Arnason,24,C,CHI,82,22,33,55,-13,16,5.9,16,6,0,2,19,14,0,222,9.9,1358,16:34,,,,,
18,Jason Arnott,29,C,DAL,73,21,36,57,23,66,7.8,16,5,0,5,27,9,0,143,14.7,1241,17:00,,,,,
19,Magnus Arvedson,32,C,VAN,41,8,7,15,7,12,1.8,6,2,0,4,7,0,0,54,14.8,594,14:30,,,,,
20,Arron Asham,25,LW,NYI,79,12,12,24,-12,92,1.7,11,1,0,0,10,2,0,108,11.1,1044,13:13,,,,,
21,Serge Aubin,28,LW,ATL,66,10,15,25,0,73,2.1,9,1,0,2,13,1,1,97,10.3,1056,16:00,,,,,
22,Adrian Aucoin,30,D,NYI,81,13,31,44,29,54,10.3,9,4,0,2,18,13,0,213,6.1,2157,26:38,,,,,
23,Donald Audette,34,RW,TOT,51,9,12,21,-13,38,1.7,4,5,0,0,7,5,0,107,8.4,759,14:53,,,,,
24,Donald Audette,34,RW,FLA,28,6,7,13,-9,22,1.1,1,5,0,0,5,2,0,66,9.1,449,16:02,,,,,
25,Donald Audette,34,RW,MTL,23,3,5,8,-4,16,0.6,3,0,0,0,2,3,0,41,7.3,310,13:28,,,,,
26,Sean Avery,23,LW,LAK,76,9,19,28,2,261,2.6,9,0,0,2,19,0,0,125,7.2,889,11:41,,,,,
27,P.J. Axelsson,28,LW,BOS,68,6,14,20,2,42,1.1,6,0,0,1,13,0,1,107,5.6,1109,16:19,,,,,
