,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
0,Spencer Abbott,25,RW,TOR,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,5,5:16,0,1,0,0,
1,Justin Abdelkader,26,LW,DET,70,10,18,28,2,31,2.6,9,1,0,3,16,2,0,147,6.8,1070,15:17,31,172,23,32,41.8
2,Will Acton,26,C,EDM,30,3,2,5,-2,21,0.4,3,0,0,1,2,0,0,18,16.7,244,8:08,14,37,98,97,50.3
3,Luke Adam,23,C,BUF,12,1,0,1,0,4,0.0,1,0,0,0,0,0,0,16,6.3,154,12:50,1,16,10,16,38.5
4,Craig Adams,36,RW,PIT,82,5,6,11,-16,46,-0.6,5,0,0,0,6,0,0,73,6.8,1022,12:28,59,190,61,78,43.9
5,Kenny Agostino,21,LW,CGY,8,1,1,2,-2,0,0.1,1,0,0,0,1,0,0,12,8.3,89,11:06,3,9,0,0,
6,Jason Akeson,23,RW,PHI,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0.0,13,13:22,0,1,0,0,
7,John Albert,25,C,WPG,9,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,5,20.0,46,5:07,3,8,9,12,42.9
8,Andrew Alberts,32,D,VAN,10,0,0,0,1,0,0.2,0,0,0,0,0,0,0,5,0.0,74,7:23,7,6,0,0,
9,Daniel Alfredsson,41,RW,DET,68,18,31,49,2,10,5.8,14,4,0,4,17,14,0,151,11.9,1151,16:56,25,59,5,9,35.7
10,Bryan Allen,33,D,ANA,68,0,10,10,20,75,2.9,0,0,0,0,9,0,1,60,0.0,1193,17:33,118,121,0,0,
11,Conor Allen,24,D,NYR,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,43,14:26,1,1,0,0,
12,Adam Almqvist,22,D,DET,2,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,2,50.0,34,17:13,0,1,0,0,
13,Karl Alzner,25,D,WSH,82,2,16,18,-7,26,3.0,2,0,0,1,13,1,2,95,2.1,1684,20:32,158,73,0,0,
14,Joakim Andersson,24,C,DET,65,8,9,17,-11,12,0.8,8,0,0,1,8,0,1,78,10.3,899,13:50,25,26,345,326,51.4
15,Artem Anisimov,25,C,CBJ,81,22,17,39,-2,20,4.6,17,3,2,5,14,3,0,162,13.6,1344,16:36,54,31,474,485,49.4
16,Darren Archibald,23,RW,VAN,16,1,2,3,1,0,0.3,1,0,0,0,2,0,0,11,9.1,125,7:48,9,30,0,1,0.0
17,Mark Arcobello,25,C,EDM,41,4,14,18,-7,8,1.2,3,1,0,1,12,2,0,70,5.7,618,15:04,23,78,206,198,51.0
18,Bill Arnold,21,C,CGY,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,13:35,0,1,5,4,55.6
19,Arron Asham,35,RW,NYR,6,0,0,0,-5,14,-0.3,0,0,0,0,0,0,0,1,0.0,45,7:29,1,8,0,0,
20,Carter Ashton,22,RW,TOR,32,0,3,3,1,19,0.0,0,0,0,0,3,0,0,23,0.0,201,6:16,7,46,12,11,52.2
21,Cam Atkinson,24,RW,CBJ,79,21,19,40,-4,18,4.6,16,4,1,5,14,5,0,216,9.7,1247,15:47,38,55,0,0,
22,Keith Aucoin,35,C,STL,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,27,13:19,0,0,9,6,60.0
23,Keith Aulie,24,D,TBL,15,0,1,1,-3,9,-0.1,0,0,0,0,1,0,0,6,0.0,147,9:49,15,17,0,0,
24,David Backes,29,C,STL,74,27,30,57,14,119,7.6,17,10,0,5,24,6,0,165,16.4,1447,19:33,56,273,621,580,51.7
25,Mikael Backlund,24,C,CGY,76,18,21,39,4,32,4.4,9,5,4,3,15,6,0,178,10.1,1409,18:32,62,64,628,694,47.5
26,Nicklas Backstrom,26,C,WSH,82,18,61,79,-20,54,7.2,11,6,1,1,23,38,0,196,9.2,1624,19:48,54,89,714,701,50.5
27,Sven Baertschi,21,LW,CGY,26,2,9,11,-4,6,0.7,1,1,0,0,6,3,0,30,6.7,367,14:07,19,22,0,0,
28,Josh Bailey,24,LW,NYI,77,8,30,38,-8,26,2.7,6,2,0,1,22,8,0,98,8.2,1220,15:50,29,44,113,115,49.6
29,Keith Ballard,31,D,MIN,45,2,7,9,-7,37,1.3,2,0,0,0,5,2,0,29,6.9,612,13:37,37,58,0,0,
30,Mark Barberio,23,D,TBL,49,5,5,10,10,28,3.0,4,1,0,0,5,0,0,54,9.3,714,14:35,38,28,0,0,
31,Krys Barch,33,LW,FLA,55,0,4,4,-10,99,-0.6,0,0,0,0,4,0,0,19,0.0,329,5:59,6,64,1,0,100.0
32,Aleksander Barkov,18,C,FLA,54,8,16,24,-3,10,1.9,5,3,0,1,13,3,0,87,9.2,923,17:06,27,16,400,419,48.8
33,Tyson Barrie,22,D,COL,64,13,25,38,17,20,7.6,9,4,0,5,19,6,0,101,12.9,1187,18:33,57,50,0,0,
34,Matt Bartkowski,25,D,BOS,64,0,18,18,22,30,4.3,0,0,0,0,18,0,0,91,0.0,1250,19:32,56,155,0,0,
35,Victor Bartley,25,D,NSH,50,1,5,6,0,23,1.5,1,0,0,0,5,0,0,21,4.8,768,15:22,79,81,0,0,
36,Cody Bass,27,C,CBJ,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,3,2:43,0,0,0,0,
37,Jay Beagle,28,C,WSH,62,4,5,9,-9,28,-0.1,4,0,0,0,5,0,0,60,6.7,697,11:15,32,93,296,277,51.7
38,Francois Beauchemin,33,D,ANA,70,4,13,17,26,39,4.7,3,1,0,1,11,1,1,100,4.0,1617,23:06,171,112,0,0,
39,Nathan Beaulieu,21,D,MTL,17,0,2,2,6,8,1.0,0,0,0,0,2,0,0,15,0.0,225,13:14,20,7,0,0,
40,Taylor Beck,22,RW,NSH,7,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,9,0.0,90,12:50,5,4,0,0,
41,Matt Beleskey,25,LW,ANA,55,9,15,24,8,64,2.7,9,0,0,2,10,4,1,112,8.0,684,12:26,24,132,8,10,44.4
42,Brett Bellemore,25,D,CAR,64,2,6,8,-1,45,2.2,2,0,0,0,6,0,0,54,3.7,1118,17:28,98,169,0,0,
43,Anton Belov,27,D,EDM,57,1,6,7,-12,34,0.9,1,0,0,0,4,2,0,54,1.9,951,16:41,75,103,0,0,
44,Jamie Benn,24,C,DAL,81,34,45,79,21,64,10.9,28,5,1,3,29,14,2,279,12.2,1551,19:09,59,116,402,359,52.8
45,Jordie Benn,26,D,DAL,78,3,17,20,16,30,4.9,2,1,0,0,15,1,1,91,3.3,1494,19:09,121,117,1,0,100.0
46,Beau Bennett,22,RW,PIT,21,3,4,7,-2,0,0.6,3,0,0,1,4,0,0,27,11.1,291,13:51,7,32,2,0,100.0
47,Andre Benoit,30,D,COL,79,7,21,28,2,26,4.7,6,1,0,2,13,7,1,113,6.2,1597,20:13,119,58,0,0,
48,Sean Bergenheim,29,LW,FLA,62,16,13,29,-16,40,2.7,13,3,0,3,12,1,0,190,8.4,1023,16:30,18,111,2,2,50.0
