,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
0,Ramzi Abid,26,LW,NSH,13,1,4,5,-3,13,1,0,0,0,4,0,0,12,8.3,141,10:51,0.2
1,Craig Adams,29,RW,CAR,82,7,7,14,-9,54,6,0,1,1,6,0,1,71,9.9,826,10:04,0.4
2,Kevyn Adams,32,C,TOT,68,3,9,12,-20,25,2,0,1,0,7,1,1,87,3.4,742,10:55,-0.6
3,Kevyn Adams,32,C,CAR,35,2,2,4,-10,17,1,0,1,0,2,0,0,36,5.6,303,8:39,-0.3
4,Kevyn Adams,32,C,PHX,33,1,7,8,-10,8,1,0,0,0,5,1,1,51,2.0,440,13:20,-0.3
5,Dmitry Afanasenkov,26,LW,TOT,74,11,10,21,-25,20,11,0,0,0,10,0,0,96,11.5,779,10:31,1.0
6,Dmitry Afanasenkov,26,LW,PHI,41,8,7,15,-19,12,8,0,0,0,7,0,0,65,12.3,481,11:44,0.8
7,Dmitry Afanasenkov,26,LW,TBL,33,3,3,6,-6,8,3,0,0,0,3,0,0,31,9.7,298,9:02,0.2
8,Maxim Afinogenov,27,RW,BUF,56,23,38,61,19,66,16,7,0,3,25,13,0,151,15.2,955,17:03,7.1
9,Andrew Alberts,25,D,BOS,76,0,10,10,-15,124,0,0,0,0,9,1,0,41,0.0,1495,19:40,1.5
10,Nikita Alexeev,25,RW,TOT,78,12,11,23,7,12,10,2,0,2,9,2,0,117,10.3,1075,13:47,2.0
11,Nikita Alexeev,25,RW,TBL,63,10,11,21,10,12,8,2,0,2,9,2,0,102,9.8,902,14:19,2.0
12,Nikita Alexeev,25,RW,CHI,15,2,0,2,-3,0,2,0,0,0,0,0,0,15,13.3,173,11:33,0.0
13,Daniel Alfredsson,34,RW,OTT,77,29,58,87,42,42,20,7,2,7,38,18,2,240,12.1,1661,21:35,10.0
14,Bobby Allen,28,D,BOS,31,0,3,3,-1,10,0,0,0,0,2,0,1,14,0.0,404,13:02,0.7
15,Bryan Allen,26,D,FLA,82,4,21,25,7,112,4,0,0,0,18,2,1,99,4.0,1771,21:36,4.7
16,Tony Amonte,36,RW,CGY,81,10,20,30,-4,40,8,1,1,1,17,2,1,139,7.2,1146,14:09,1.7
17,Nik Antropov,26,C,TOR,54,18,15,33,8,44,14,4,0,4,14,1,0,125,14.4,896,16:36,3.7
18,Denis Arkhipov,27,C,CHI,79,10,17,27,-13,54,7,2,1,1,9,4,4,112,8.9,1241,15:43,1.2
19,Colby Armstrong,24,RW,PIT,80,12,22,34,2,67,10,1,1,3,17,3,2,145,8.3,1346,16:50,2.2
20,Derek Armstrong,33,C,LAK,67,11,33,44,13,62,8,3,0,0,27,6,0,109,10.1,1009,15:04,4.3
21,Tyler Arnason,27,C,COL,82,16,33,49,-8,26,15,1,0,3,22,11,0,211,7.6,1176,14:20,4.1
22,Jason Arnott,32,C,NSH,68,27,27,54,15,48,15,12,0,6,19,8,0,190,14.2,1223,17:59,6.5
23,Arron Asham,28,RW,NYI,80,11,12,23,3,63,11,0,0,2,10,2,0,85,12.9,746,9:20,2.1
24,Adrian Aucoin,33,D,CHI,59,4,12,16,-22,50,2,2,0,3,6,6,0,96,4.2,1229,20:50,1.7
25,Keith Aucoin,28,RW,CAR,8,0,1,1,1,0,0,0,0,0,0,1,0,6,0.0,50,6:17,0.1
26,Sean Avery,26,LW,TOT,84,18,30,48,1,174,15,2,1,2,16,13,1,249,7.2,1444,17:11,4.2
27,Sean Avery,26,LW,LAK,55,10,18,28,-10,116,8,1,1,2,10,8,0,160,6.3,927,16:52,1.8
28,Sean Avery,26,LW,NYR,29,8,12,20,11,58,7,1,0,0,6,5,1,89,9.0,517,17:49,2.4
29,P.J. Axelsson,31,LW,BOS,55,11,16,27,-10,52,6,3,2,0,9,7,0,81,13.6,1076,19:34,1.7
30,Anton Babchuk,22,D,CAR,52,2,12,14,-6,30,2,0,0,2,8,3,1,63,3.2,906,17:26,2.0
31,David Backes,22,C,STL,49,10,13,23,6,37,8,2,0,2,12,1,0,89,11.2,657,13:25,2.4
32,Christian Backman,26,D,STL,61,7,11,18,13,36,6,1,0,0,8,3,0,80,8.8,1352,22:10,4.7
33,Jaroslav Balastik,27,LW,CBJ,8,1,1,2,-3,4,0,1,0,0,1,0,0,6,16.7,65,8:10,0.1
34,Keith Ballard,24,D,PHX,69,5,22,27,-7,59,3,2,0,0,12,9,1,79,6.3,1518,22:00,4.2
35,Krys Barch,26,RW,DAL,26,3,2,5,2,107,3,0,0,2,2,0,0,12,25.0,147,5:38,0.7
36,Cam Barker,20,D,CHI,35,1,7,8,-12,44,0,1,0,0,2,5,0,38,2.6,676,19:19,0.7
37,Matthew Barnaby,33,RW,DAL,39,1,6,7,5,127,1,0,0,0,6,0,0,22,4.5,317,8:07,0.6
38,Stu Barnes,36,C,DAL,82,13,12,25,-2,40,12,1,0,2,11,0,1,118,11.0,1320,16:06,2.0
39,Shawn Bates,31,C,NYI,48,4,6,10,13,34,3,0,1,0,6,0,0,50,8.0,601,12:32,0.7
40,Bates Battaglia,31,LW,TOR,82,12,19,31,9,45,12,0,0,0,19,0,0,94,12.8,1021,12:27,2.6
41,Nolan Baumgartner,30,D,TOT,13,0,3,3,0,21,0,0,0,0,2,1,0,8,0.0,176,13:30,0.6
42,Nolan Baumgartner,30,D,DAL,7,0,2,2,0,0,0,0,0,0,1,1,0,4,0.0,86,12:14,0.4
43,Nolan Baumgartner,30,D,PHI,6,0,1,1,0,21,0,0,0,0,1,0,0,4,0.0,90,15:00,0.2
44,Ryan Bayda,26,LW,CAR,9,1,1,2,-1,2,1,0,0,0,1,0,0,10,10.0,78,8:41,0.1
45,Francois Beauchemin,26,D,ANA,71,7,21,28,7,49,5,2,0,0,10,11,0,128,5.5,1809,25:28,6.3
46,Kris Beech,25,C,WSH,64,8,18,26,-11,46,5,3,0,0,10,8,0,77,10.4,798,12:28,1.6
