,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
830,Justin Schultz,24,D,EDM,81,6,25,31,-17,12,6,0,0,1,13,12,0,122,4.9,1832,22:37,114,41,1,0,100.0,4.7
831,Nick Schultz,32,D,PHI,80,2,13,15,2,47,2,0,0,1,12,1,0,69,2.9,1524,19:03,166,113,0,0,,3.3
832,Jaden Schwartz,22,LW,STL,75,28,35,63,13,16,20,8,0,4,25,8,2,184,15.2,1368,18:15,46,53,69,77,47.3,8.4
833,John Scott,32,LW,SJS,38,3,1,4,0,87,3,0,0,0,1,0,0,19,15.8,283,7:27,14,94,0,0,,0.3
834,Rob Scuderi,36,D,PIT,82,1,9,10,9,17,1,0,0,0,8,0,1,52,1.9,1570,19:09,110,41,0,0,,3.6
835,Brent Seabrook,29,D,CHI,82,8,23,31,-3,27,4,4,0,2,11,11,1,181,4.4,1819,22:11,141,135,0,0,,6.0
836,Daniel Sedin,34,LW,VAN,82,20,56,76,5,18,16,4,0,5,35,21,0,226,8.8,1505,18:21,16,21,2,3,40.0,8.5
837,Henrik Sedin,34,C,VAN,82,18,55,73,11,22,13,5,0,0,35,20,0,101,17.8,1526,18:37,24,23,708,848,45.5,8.1
838,Tyler Seguin,23,C,DAL,71,37,40,77,-1,20,24,13,0,5,24,16,0,280,13.2,1388,19:33,26,63,275,236,53.8,10.2
839,Dennis Seidenberg,33,D,BOS,82,3,11,14,-1,34,3,0,0,0,11,0,0,103,2.9,1812,22:06,146,212,0,0,,3.5
840,Jiri Sekac,22,LW,TOT,69,9,14,23,0,22,7,2,0,0,13,1,0,85,10.6,936,13:34,29,75,0,2,0.0,2.0
841,Jiri Sekac,22,LW,MTL,50,7,9,16,-2,18,5,2,0,0,8,1,0,56,12.5,690,13:49,26,49,0,1,0.0,1.4
842,Jiri Sekac,22,LW,ANA,19,2,5,7,2,4,2,0,0,0,5,0,0,29,6.9,246,12:57,3,26,0,1,0.0,0.7
843,Andrej Sekera,28,D,TOT,73,3,20,23,-3,14,2,1,0,0,14,5,1,100,3.0,1605,21:59,118,59,0,0,,5.3
844,Andrej Sekera,28,D,CAR,57,2,17,19,-7,8,1,1,0,0,12,4,1,77,2.6,1298,22:46,100,46,0,0,,4.1
845,Andrej Sekera,28,D,LAK,16,1,3,4,4,6,1,0,0,0,2,1,0,23,4.3,307,19:13,18,13,0,0,,1.2
846,Alexander Semin,30,RW,CAR,57,6,13,19,-10,32,6,0,0,0,9,4,0,93,6.5,908,15:55,17,30,3,6,33.3,1.2
847,Tim Sestito,30,LW,NJD,15,0,2,2,-1,33,0,0,0,0,2,0,0,10,0.0,148,9:53,3,20,43,59,42.2,0.0
848,Tom Sestito,27,LW,VAN,3,0,1,1,1,7,0,0,0,0,1,0,0,1,0.0,19,6:14,0,10,0,0,,0.1
849,Devin Setoguchi,28,RW,CGY,12,0,0,0,-7,4,0,0,0,0,0,0,0,12,0.0,146,12:09,5,12,1,1,50.0,-0.6
850,Damon Severson,20,D,NJD,51,5,12,17,-13,22,5,0,0,0,5,7,0,93,5.4,1120,21:58,37,20,0,1,0.0,2.9
851,Michael Sgarbossa,22,C,COL,3,0,1,1,0,10,0,0,0,0,1,0,0,2,0.0,21,7:06,1,0,9,11,45.0,0.1
852,Patrick Sharp,33,LW,CHI,68,16,27,43,-8,33,8,8,0,2,21,6,0,230,7.0,1143,16:49,15,74,53,55,49.1,4.5
853,Kevin Shattenkirk,26,D,STL,56,8,36,44,19,52,4,4,0,1,15,21,0,135,5.9,1263,22:34,86,42,0,0,,8.5
854,Andrew Shaw,23,C,CHI,79,15,11,26,-8,67,10,5,0,2,10,1,0,146,10.3,1181,14:57,33,127,357,355,50.1,2.4
855,Riley Sheahan,23,C,DET,79,13,23,36,-3,16,8,5,0,0,17,6,0,123,10.6,1236,15:39,20,21,484,479,50.3,3.3
856,James Sheppard,26,C,TOT,71,7,11,18,-4,37,7,0,0,1,10,1,0,79,8.9,941,13:15,40,112,246,271,47.6,1.0
857,James Sheppard,26,C,SJS,57,5,11,16,-3,28,5,0,0,0,10,1,0,68,7.4,782,13:43,33,84,235,261,47.4,0.9
858,James Sheppard,26,C,NYR,14,2,0,2,-1,9,2,0,0,1,0,0,0,11,18.2,159,11:22,7,28,11,10,52.4,0.1
859,Brendan Shinnimin,24,C,ARI,12,0,1,1,-1,8,0,0,0,0,1,0,0,10,0.0,132,11:02,4,12,42,59,41.6,-0.1
860,Drew Shore,24,C,CGY,11,1,2,3,-5,0,1,0,0,0,2,0,0,13,7.7,117,10:40,4,12,33,32,50.8,0.0
861,Nick Shore,22,C,LAK,34,1,6,7,0,10,1,0,0,0,5,1,0,33,3.0,377,11:05,14,51,127,109,53.8,0.3
862,Justin Shugg,23,RW,CAR,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,17,5:42,0,3,0,0,,0.0
863,Duncan Siemens,21,D,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,14:00,0,2,0,0,,0.0
864,Jakob Silfverberg,24,RW,ANA,81,13,26,39,15,24,10,2,1,2,22,2,2,189,6.9,1269,15:40,37,42,23,27,46.0,4.2
865,Zach Sill,26,C,TOT,63,1,3,4,-5,84,1,0,0,0,3,0,0,43,2.3,528,8:23,27,173,46,47,49.5,-0.5
866,Zach Sill,26,C,PIT,42,1,2,3,-3,60,1,0,0,0,2,0,0,26,3.8,348,8:18,14,114,0,1,0.0,-0.2
867,Zach Sill,26,C,TOR,21,0,1,1,-2,24,0,0,0,0,1,0,0,17,0.0,180,8:34,13,59,46,46,50.0,-0.3
868,Wayne Simmonds,26,RW,PHI,75,28,22,50,-5,66,14,14,0,6,12,10,0,188,14.9,1261,16:48,36,168,4,1,80.0,6.3
869,Mike Sislo,27,RW,NJD,10,0,1,1,-2,2,0,0,0,0,1,0,0,13,0.0,122,12:13,2,12,0,0,,-0.2
870,Jack Skille,27,RW,CBJ,45,6,2,8,-18,16,6,0,0,0,2,0,0,95,6.3,564,12:31,15,96,3,5,37.5,-0.2
871,Jeff Skinner,22,LW,CAR,77,18,13,31,-24,18,14,4,0,2,10,3,0,235,7.7,1236,16:03,12,47,21,25,45.7,2.9
872,Jim Slater,32,C,WPG,82,5,8,13,-4,58,5,0,0,1,7,0,1,51,9.8,755,9:13,52,136,451,305,59.7,0.6
873,Ladislav Smid,28,D,CGY,31,0,1,1,-12,13,0,0,0,0,1,0,0,21,0.0,433,13:58,54,51,0,0,,-0.6
874,Ben Smith,26,RW,TOT,80,7,7,14,2,2,7,0,0,1,7,0,0,92,7.6,1044,13:03,75,72,310,284,52.2,0.7
875,Ben Smith,26,RW,CHI,61,5,4,9,-1,2,5,0,0,0,4,0,0,77,6.5,829,13:35,57,49,231,221,51.1,0.2
876,Ben Smith,26,RW,SJS,19,2,3,5,3,0,2,0,0,1,3,0,0,15,13.3,215,11:20,18,23,79,63,55.6,0.6
877,Brendan Smith,25,D,DET,76,4,9,13,-2,68,4,0,0,1,7,2,0,88,4.5,1360,17:53,68,60,0,0,,2.9
878,Colin Smith,21,C,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6,6:06,0,1,4,6,40.0,0.0
879,Craig Smith,25,C,NSH,82,23,21,44,11,44,17,6,0,4,18,3,0,251,9.2,1291,15:44,17,77,13,18,41.9,5.8
880,Reilly Smith,23,RW,BOS,81,13,27,40,7,20,12,1,0,0,17,10,0,143,9.1,1247,15:24,39,74,2,5,28.6,4.1
881,Trevor Smith,29,C,TOR,54,2,3,5,-9,12,2,0,0,0,3,0,0,46,4.3,597,11:04,25,75,293,268,52.2,-0.6
882,Zack Smith,26,C,OTT,37,2,1,3,-8,18,2,0,0,0,1,0,0,38,5.3,445,12:02,13,64,103,128,44.6,-0.6
883,Devante Smith-Pelly,22,RW,TOT,74,6,14,20,-1,24,5,0,1,1,12,1,1,104,5.8,1057,14:17,49,205,23,60,27.7,1.0
884,Devante Smith-Pelly,22,RW,ANA,54,5,12,17,1,12,4,0,1,1,10,1,1,76,6.6,791,14:39,35,147,23,59,28.0,1.1
885,Devante Smith-Pelly,22,RW,MTL,20,1,2,3,-2,12,1,0,0,0,2,0,0,28,3.6,266,13:18,14,58,0,1,0.0,-0.1
886,Carl Soderberg,29,C,BOS,82,13,31,44,10,26,8,5,0,3,28,3,0,163,8.0,1378,16:49,36,76,369,389,48.7,4.5
887,Nick Spaling,26,C,PIT,82,9,18,27,-2,26,8,1,0,0,18,0,0,90,10.0,1250,15:14,45,134,84,90,48.3,1.9
888,Jason Spezza,31,C,DAL,82,17,45,62,-7,28,13,4,0,1,23,22,0,204,8.3,1412,17:13,26,16,682,580,54.0,5.9
889,Ryan Spooner,23,C,BOS,29,8,10,18,2,2,5,3,0,1,8,2,0,73,11.0,422,14:32,5,17,100,120,45.5,2.3
890,Jared Spurgeon,25,D,MIN,66,9,16,25,3,6,6,3,0,2,13,3,0,128,7.0,1493,22:37,124,48,0,0,,5.6
891,Frédéric St. Denis,29,D,CBJ,4,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,53,13:18,2,2,0,0,,0.1
892,Martin St. Louis,39,RW,NYR,74,21,31,52,12,20,16,5,0,1,23,8,0,144,14.6,1300,17:34,37,13,51,59,46.4,6.5
893,Eric Staal,30,C,CAR,77,23,31,54,-13,41,16,7,0,4,21,10,0,244,9.4,1451,18:51,27,65,343,326,51.3,6.2
894,Jordan Staal,26,C,CAR,46,6,18,24,-6,14,5,1,0,1,12,6,0,92,6.5,853,18:33,15,85,499,386,56.4,2.0
895,Marc Staal,28,D,NYR,80,5,15,20,18,42,5,0,0,0,13,0,2,97,5.2,1691,21:08,123,99,1,1,50.0,5.0
896,Drew Stafford,29,RW,TOT,76,18,25,43,-12,47,14,4,0,1,19,5,1,147,12.2,1254,16:30,15,81,87,86,50.3,4.4
897,Drew Stafford,29,RW,BUF,50,9,15,24,-18,39,7,2,0,1,11,3,1,91,9.9,799,15:59,11,58,80,78,50.6,1.7
898,Drew Stafford,29,RW,WPG,26,9,10,19,6,8,7,2,0,0,8,2,0,56,16.1,455,17:30,4,23,7,8,46.7,2.7
899,Matt Stajan,31,C,CGY,59,7,10,17,7,28,7,0,0,0,9,0,1,46,15.2,708,12:00,21,72,306,307,49.9,1.7
900,Viktor Stalberg,29,LW,NSH,25,2,8,10,0,18,2,0,0,1,8,0,0,27,7.4,297,11:53,10,54,1,0,100.0,0.8
901,Steven Stamkos,24,C,TBL,82,43,29,72,2,49,30,13,0,6,17,12,0,268,16.0,1588,19:22,33,87,438,466,48.5,10.1
902,Ryan Stanton,25,D,VAN,54,3,8,11,9,35,3,0,0,0,8,0,0,59,5.1,864,16:00,113,93,0,0,,3.0
903,Paul Stastny,29,C,STL,74,16,30,46,5,40,9,7,0,7,22,8,0,143,11.2,1304,17:38,30,22,671,479,58.3,4.9
904,Alex Steen,30,LW,STL,74,24,40,64,8,33,16,8,0,5,24,16,0,223,10.8,1479,19:59,37,32,222,210,51.4,7.7
905,Lee Stempniak,31,RW,TOT,71,15,13,28,8,20,15,0,0,3,12,1,0,115,13.0,903,12:43,23,77,13,19,40.6,3.6
