,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
387,Derek Joslin,24,CAR,D,44,367,449,45.0,-2.4,261,331,44.1,-2.7,5.6,89.5,95.1,59.7,40.3,10:35,9:29,6,4,78,46.2
388,Andrew Joudrey,27,CBJ,C,1,4,8,33.3,,4,5,44.4,,0.0,100.0,100.0,0.0,100.0,9:16,9:16,0,0,1,100.0
389,Ed Jovanovski,35,FLA,D,66,755,826,47.8,-2.8,559,614,47.7,-3.8,6.6,91.6,98.3,53.2,46.8,16:42,13:27,15,38,124,46.8
390,Milan Jurcina,28,NYI,D,65,980,1055,48.2,-0.8,727,752,49.2,-1.0,5.5,88.1,93.6,52.1,47.9,18:47,16:14,26,25,265,47.9
391,Tomas Kaberle,33,TOT,D,72,942,997,48.6,-0.7,680,753,47.5,-1.1,7.8,90.5,98.3,53.7,46.3,17:43,13:43,18,38,188,46.3
392,Nazem Kadri,21,TOR,C,21,252,241,51.1,6.2,183,174,51.3,8.7,9.0,94.0,103.0,49.3,50.7,14:10,12:32,8,9,58,48.3
393,Patrick Kaleta,25,BUF,RW,63,534,585,47.7,-4.2,399,433,48.0,-3.6,5.9,92.5,98.5,42.1,57.9,13:09,11:11,19,17,129,52.7
394,Steven Kampfer,23,TOT,D,23,286,330,46.4,-1.8,205,244,45.7,-2.6,9.4,90.4,99.9,52.7,47.3,14:53,13:22,3,6,59,33.9
395,Evander Kane,20,WPG,C,74,1127,1017,52.6,3.0,873,763,53.4,3.5,9.9,90.7,100.6,58.5,41.5,17:31,15:13,35,18,460,62.4
396,Patrick Kane,23,CHI,RW,82,1390,1140,54.9,2.1,1033,885,53.9,0.6,9.6,90.3,99.9,66.4,33.6,20:12,16:34,77,32,447,56.6
397,Erik Karlsson,21,OTT,D,81,1870,1521,55.1,2.8,1373,1169,54.0,3.7,9.6,91.3,100.9,57.0,43.0,25:19,20:51,67,84,499,52.3
398,Matt Kassian,25,MIN,LW,24,95,131,42.0,-4.0,76,95,44.4,-1.8,5.4,92.9,98.2,54.5,45.5,5:33,5:28,1,2,19,68.4
399,Zack Kassian,21,TOT,RW,44,417,398,51.2,0.1,302,308,49.5,-1.2,6.8,93.0,99.9,52.8,47.2,11:18,10:46,10,8,99,54.5
400,Bracken Kearns,30,FLA,C,5,19,34,35.8,-11.6,10,22,31.3,-17.1,0.0,100.0,100.0,33.3,66.7,7:14,7:14,1,0,2,0.0
