,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,David Aebischer,29,PHX,1,1,0,1,0,3,33,30,.909,3.00,0,0.2,60,0,.000,0,,,0,0,0,0
1,Craig Anderson,26,FLA,17,13,8,6,1,35,535,500,.935,2.25,2,4.9,935,9,.692,1,72,13.60,0,1,1,2
2,Jean-Sebastien Aubin,30,LAK,19,12,5,6,1,44,385,341,.886,3.19,0,1.3,828,5,.417,4,126,-9.03,0,0,0,0
3,Alex Auld,27,TOT,32,28,12,13,5,77,827,750,.907,2.68,3,4.9,1722,12,.429,6,102,-1.87,0,0,0,0
4,Alex Auld,27,BOS,23,19,9,7,5,47,578,531,.919,2.32,2,4.2,1213,10,.526,2,90,5.51,0,0,0,0
5,Alex Auld,27,PHX,9,9,3,6,0,30,249,219,.880,3.54,1,0.7,509,2,.222,4,,,0,0,0,0
6,Niklas Backstrom,29,MIN,58,56,33,13,8,131,1629,1498,.920,2.31,4,12.1,3409,33,.589,5,89,16.98,0,0,0,2
7,Chris Beckford-Tseu,23,STL,1,0,0,0,0,1,9,8,.889,2.25,0,0.0,27,0,,0,,,0,0,0,0
8,Jonathan Bernier,19,LAK,4,4,1,3,0,16,118,102,.864,4.03,0,0.1,238,1,.250,1,,,0,0,0,0
9,Martin Biron,30,PHI,62,59,30,20,9,153,1865,1712,.918,2.59,5,13.4,3539,33,.559,8,90,16.42,0,1,1,8
10,Brian Boucher,31,SJS,5,3,3,1,1,7,103,96,.932,1.76,1,0.9,238,3,1.000,0,,,0,0,0,0
11,Martin Brodeur,35,NJD,77,77,44,27,6,168,2089,1921,.920,2.17,4,15.5,4635,50,.649,6,89,21.77,0,4,4,6
12,Ilya Bryzgalov,27,TOT,64,62,28,25,6,147,1829,1682,.920,2.44,3,13.5,3614,37,.597,5,88,19.15,0,0,0,2
