,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
13,Ilya Bryzgalov,27,PHX,55,55,26,22,5,128,1621,1493,.921,2.42,3,12.3,3167,33,.600,4,87,19.26,0,0,0,2
14,Ilya Bryzgalov,27,ANA,9,7,2,3,1,19,208,189,.909,2.55,0,1.3,447,4,.571,1,,,0,0,0,0
15,Peter Budaj,25,COL,35,30,16,10,4,82,849,767,.903,2.57,0,4.7,1912,12,.400,6,106,-4.87,0,1,1,2
16,Scott Clemmensen,30,TOR,3,2,1,1,0,10,62,52,.839,3.89,0,-0.1,154,0,.000,1,,,0,0,0,0
17,Dan Cloutier,31,LAK,9,9,2,4,1,28,247,219,.887,3.43,0,0.9,489,4,.444,3,,,0,0,0,2
18,Ty Conklin,31,PIT,33,30,18,8,5,78,1013,935,.923,2.51,2,7.9,1866,17,.567,5,85,14.02,0,1,1,4
19,Corey Crawford,23,CHI,5,3,1,2,0,8,112,104,.929,2.14,1,0.9,224,2,.667,0,,,0,0,0,0
20,Marc Denis,30,TBL,10,4,1,5,0,28,199,171,.859,4.05,0,0.1,415,1,.250,0,,,0,0,0,2
21,Rick DiPietro,26,NYI,63,63,26,28,7,174,1779,1605,.902,2.82,3,9.6,3707,25,.397,11,108,-12.39,0,6,6,18
22,Wade Dubielewicz,29,NYI,20,17,9,9,1,51,627,576,.919,2.70,0,4.6,1132,11,.647,1,90,5.96,0,0,0,0
23,Brian Elliott,22,OTT,1,1,1,0,0,1,29,28,.966,1.01,0,0.4,60,1,1.000,0,,,0,0,0,0
24,Dan Ellis,27,NSH,44,37,23,10,3,87,1147,1060,.924,2.34,6,9.1,2229,23,.622,8,83,17.20,0,0,0,0
25,Ray Emery,25,OTT,31,26,12,13,4,88,800,712,.890,3.13,0,3.2,1689,11,.423,5,121,-15.33,0,0,0,6
26,Erik Ersberg,25,LAK,14,13,6,5,3,33,452,419,.927,2.48,2,3.7,799,8,.615,2,80,8.06,0,0,0,0
27,Manny Fernandez,33,BOS,4,4,2,2,0,16,95,79,.832,3.93,1,-0.3,244,1,.250,3,,,0,0,0,0
28,Marc-Andre Fleury,23,PIT,35,33,19,10,2,72,909,837,.921,2.33,4,6.9,1857,22,.667,7,87,10.58,0,1,1,0
29,Mathieu Garon,30,EDM,47,44,26,18,1,118,1359,1241,.913,2.66,4,9.0,2658,25,.568,9,96,5.46,0,0,0,8
30,Martin Gerber,33,OTT,57,55,30,18,4,145,1619,1474,.910,2.72,2,10.3,3197,27,.491,11,99,2.07,0,2,2,6
31,Jean-Sebastien Giguere,30,ANA,58,57,35,17,6,117,1508,1391,.922,2.12,4,11.7,3310,38,.667,8,85,19.99,0,0,0,4
32,John Grahame,32,CAR,17,12,5,7,1,53,424,371,.875,3.75,0,0.9,848,3,.250,4,138,-14.48,0,1,1,4
33,Thomas Greiss,22,SJS,3,2,0,1,1,7,50,43,.860,3.26,0,0.0,129,0,.000,0,,,0,0,0,0
34,Jaroslav Halak,22,MTL,6,4,2,1,1,10,151,141,.934,2.11,1,1.4,285,2,.500,0,,,0,0,0,0
35,Josh Harding,23,MIN,29,25,11,15,2,77,838,761,.908,2.94,1,5.1,1571,12,.480,4,101,-0.87,0,1,1,0
36,Dominik Hasek,43,DET,41,40,27,10,3,84,855,771,.902,2.14,5,4.5,2350,19,.475,6,108,-6.33,0,1,1,12
37,Johan Hedberg,34,ATL,36,32,14,15,3,111,1026,915,.892,3.46,1,4.3,1927,12,.375,8,119,-17.80,0,1,1,16
38,Jonas Hiller,25,ANA,23,18,10,7,1,42,578,536,.927,2.06,0,4.8,1223,12,.667,1,80,10.51,0,1,1,0
39,Johan Holmqvist,29,TOT,47,47,21,16,6,129,1164,1035,.889,3.04,2,4.5,2549,19,.404,17,122,-23.26,0,1,1,0
40,Johan Holmqvist,29,TBL,45,45,20,16,6,124,1129,1005,.890,3.01,2,4.5,2469,18,.400,16,121,-21.44,0,1,1,0
41,Johan Holmqvist,29,DAL,2,2,1,0,0,5,35,30,.857,3.75,0,0.0,80,1,.500,1,,,0,0,0,0
42,Jimmy Howard,23,DET,4,2,0,2,0,7,95,88,.926,2.13,0,0.8,197,1,.500,0,,,0,0,0,0
43,Cristobal Huet,32,TOT,52,51,32,14,6,118,1479,1361,.920,2.32,4,11.1,3049,31,.608,6,88,16.36,0,2,2,0
44,Cristobal Huet,32,MTL,39,38,21,12,6,97,1150,1053,.916,2.56,2,8.0,2278,22,.579,5,93,7.47,0,1,1,0
45,Cristobal Huet,32,WSH,13,13,11,2,0,21,329,308,.936,1.63,2,3.1,771,9,.692,1,70,8.89,0,1,1,0
46,Brent Johnson,30,WSH,19,17,7,8,2,46,500,454,.908,2.67,0,3.0,1032,8,.471,3,101,-0.58,0,0,0,0
47,Curtis Joseph,40,CGY,9,5,3,2,0,17,181,164,.906,2.55,0,1.1,400,3,.600,2,,,0,0,0,2
48,Matt Keetley,21,CGY,1,0,0,0,0,0,2,2,1.000,0.00,0,0.0,9,0,,0,,,0,0,0,0
49,Nikolai Khabibulin,35,CHI,50,48,23,20,6,127,1389,1262,.909,2.63,2,8.5,2892,24,.500,8,101,-0.82,0,2,2,4
50,Miikka Kiprusoff,31,CGY,76,76,39,26,10,197,2096,1899,.906,2.69,2,12.2,4398,38,.500,16,103,-6.59,0,2,2,8
51,Olaf Kolzig,37,WSH,54,52,25,21,6,153,1423,1270,.892,2.91,1,6.0,3154,23,.442,11,118,-23.73,0,2,2,8
52,Jason LaBarbera,28,LAK,45,42,17,23,2,121,1341,1220,.910,3.00,1,8.4,2421,20,.476,9,99,0.82,0,0,0,2
53,Dan LaCosta,21,CBJ,1,0,0,0,0,0,5,5,1.000,0.00,0,0.1,13,0,,0,,,0,0,0,0
54,Patrick Lalime,33,CHI,32,30,16,12,2,86,835,749,.897,2.82,1,4.0,1828,14,.467,5,113,-10.15,0,0,0,8
55,Pascal Leclaire,25,CBJ,54,52,24,17,6,112,1379,1267,.919,2.25,9,10.1,2986,30,.577,6,89,13.27,0,2,2,2
56,Manny Legace,34,STL,66,65,27,25,8,147,1648,1501,.911,2.41,5,10.5,3666,39,.600,12,98,2.71,0,2,2,4
57,Kari Lehtonen,24,ATL,48,45,17,22,5,131,1560,1429,.916,2.90,4,10.9,2707,27,.600,6,92,10.71,0,2,2,4
58,Michael Leighton,26,CAR,3,3,1,1,0,7,68,61,.897,2.66,0,0.3,158,1,.333,0,,,0,0,0,0
59,Henrik Lundqvist,25,NYR,72,72,37,24,10,160,1823,1663,.912,2.23,10,11.9,4305,41,.569,11,97,5.61,0,0,0,2
60,Roberto Luongo,28,VAN,73,73,35,29,9,168,2029,1861,.917,2.38,6,14.4,4233,42,.575,12,91,16.32,0,3,3,4
61,Joey MacDonald,27,NYI,2,2,0,1,1,6,73,67,.918,2.99,0,0.5,120,1,.500,1,,,0,0,0,0
62,Drew MacIntyre,24,VAN,2,0,0,1,0,3,22,19,.864,2.95,0,0.0,61,0,,0,,,0,0,0,0
63,Chris Mason,31,NSH,51,45,18,22,6,130,1278,1148,.898,2.90,4,6.3,2692,22,.489,15,112,-13.90,0,1,1,0
64,Curtis McElhinney,24,CGY,5,1,0,2,0,5,51,46,.902,2.00,0,0.3,150,0,.000,0,,,0,0,0,0
65,Ryan Miller,27,BUF,76,74,36,27,10,197,2104,1907,.906,2.64,3,12.3,4474,37,.500,12,103,-5.87,0,1,1,6
66,Evgeni Nabokov,32,SJS,77,76,46,21,8,163,1802,1639,.910,2.14,6,11.2,4561,47,.618,11,100,0.70,0,2,2,12
67,Antero Niittymaki,27,PHI,28,23,12,9,2,69,739,670,.907,2.91,1,4.4,1424,13,.565,5,103,-1.87,0,0,0,0
68,Fredrik Norrena,34,CBJ,37,30,10,19,6,89,856,767,.896,2.73,2,4.0,1960,12,.400,7,114,-11.24,0,1,1,0
69,Chris Osgood,35,DET,43,40,27,9,4,84,976,892,.914,2.09,4,6.6,2409,26,.650,8,95,4.66,0,3,3,0
70,Dimitri Patzold,24,SJS,3,0,0,0,0,4,20,16,.800,5.51,0,-0.1,44,0,,0,,,0,0,0,0
71,Ondrej Pavelec,20,ATL,7,5,3,3,0,18,190,172,.905,3.11,0,1.1,347,2,.400,0,,,0,0,0,2
72,Carey Price,20,MTL,41,40,24,12,3,103,1282,1179,.920,2.56,3,9.5,2413,24,.600,4,88,13.46,0,2,2,0
73,Jonathan Quick,22,LAK,3,2,1,2,0,9,62,53,.855,3.84,0,0.0,141,0,.000,1,,,0,0,0,0
74,Karri Ramo,21,TBL,22,20,7,11,3,64,632,568,.899,3.03,0,3.1,1269,9,.450,4,111,-6.59,0,1,1,4
75,Tuukka Rask,20,BOS,4,3,2,1,1,10,88,78,.886,3.25,0,0.3,184,1,.333,0,,,0,0,0,0
76,Andrew Raycroft,27,TOR,19,16,2,9,5,63,509,446,.876,3.92,1,1.2,965,4,.250,5,136,-16.76,0,0,0,0
77,Pekka Rinne,25,NSH,1,0,0,0,0,0,8,8,1.000,0.00,0,0.1,29,0,,0,,,0,0,0,0
78,Dwayne Roloson,38,EDM,43,38,15,17,5,119,1204,1085,.901,3.05,0,6.3,2340,17,.447,7,109,-9.63,0,1,1,2
79,Dany Sabourin,27,PIT,24,19,10,9,1,57,596,539,.904,2.75,2,3.4,1242,8,.421,5,105,-2.86,0,0,0,2
80,Curtis Sanford,28,VAN,16,9,4,3,1,32,313,281,.898,2.83,0,1.5,679,5,.556,2,,,0,1,1,2
81,Marek Schwarz,21,STL,2,0,0,1,0,6,17,11,.647,7.25,0,-0.4,50,0,,0,,,0,0,0,0
82,Mike Smith,25,TOT,34,32,15,19,0,84,848,764,.901,2.59,3,4.4,1946,14,.438,8,109,-6.97,0,1,1,12
83,Mike Smith,25,DAL,21,19,12,9,0,48,510,462,.906,2.46,2,3.0,1172,9,.474,4,104,-1.67,0,0,0,6
84,Mike Smith,25,TBL,13,13,3,10,0,36,338,302,.893,2.79,1,1.5,774,5,.385,4,117,-5.30,0,1,1,6
85,Tobias Stephan,24,DAL,1,1,0,0,1,2,40,38,.950,1.98,0,0.4,61,1,1.000,0,,,0,0,0,0
86,Daniel Taylor,21,LAK,1,0,0,0,0,2,10,8,.800,6.00,0,-0.1,20,0,,0,,,0,0,0,0
87,Mikael Tellqvist,28,PHX,22,17,9,8,2,56,607,551,.908,2.74,2,3.7,1224,10,.588,2,102,-0.86,0,1,1,2
88,Jose Theodore,31,COL,53,52,28,21,3,123,1367,1244,.910,2.44,3,8.6,3028,31,.596,9,99,1.18,0,2,2,2
89,Jocelyn Thibault,33,BUF,12,7,3,4,2,28,214,186,.869,3.31,2,0.3,507,3,.429,4,,,0,0,0,0
90,Tim Thomas,33,BOS,57,55,28,19,6,136,1731,1595,.921,2.44,3,13.2,3342,38,.691,5,86,21.25,0,0,0,2
91,Hannu Toivonen,23,STL,23,17,6,10,5,69,566,497,.878,3.44,0,1.4,1202,6,.353,4,134,-17.58,0,0,0,2
92,Vesa Toskala,30,TOR,66,64,33,25,6,175,1824,1649,.904,2.74,3,10.2,3837,36,.563,13,106,-9.30,0,5,5,4
93,Marty Turco,32,DAL,62,60,32,21,6,140,1543,1403,.909,2.31,3,9.6,3629,30,.500,9,100,0.17,0,3,3,16
94,Steve Valiquette,30,NYR,13,10,5,3,3,25,296,271,.916,2.19,2,2.1,686,5,.500,2,,,0,0,0,2
95,Tomas Vokoun,31,FLA,69,69,30,29,8,180,2213,2033,.919,2.68,4,16.1,4031,41,.594,7,90,21.04,0,6,6,4
96,Cam Ward,23,CAR,69,67,37,25,5,180,1870,1690,.904,2.75,4,10.4,3930,35,.522,14,106,-10.12,0,1,1,4
97,Kevin Weekes,32,NJD,9,5,2,2,1,17,160,143,.894,2.97,0,0.7,343,2,.400,1,,,0,0,0,2
98,Tyler Weiman,23,COL,1,0,0,0,0,0,10,10,1.000,0.00,0,0.2,16,0,,0,,,0,0,0,0
