,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,Jean-Sebastien Aubin,22,PIT,51,,23,21,3,120,1392,1272,.914,2.58,2,9.9,2789,,,,90,13.09,0,1,1,2
1,Tom Barrasso,34,TOT,25,,8,11,2,68,568,500,.880,3.17,1,2.0,1288,,,,125,-13.69,0,0,0,6
2,Tom Barrasso,34,PIT,18,,5,7,2,46,386,340,.881,3.17,1,1.4,870,,,,125,-9.10,0,0,0,6
3,Tom Barrasso,34,OTT,7,,3,4,0,22,182,160,.879,3.16,0,0.6,418,,,,,,0,0,0,0
4,Ed Belfour,34,DAL,62,,32,21,7,127,1571,1444,.919,2.10,4,12.1,3620,,,,85,23.20,0,3,3,10
5,Zac Bierk,23,TBL,12,,4,4,1,31,308,277,.899,3.66,0,1.7,509,,,,,,0,1,1,0
6,Craig Billington,33,WSH,13,,3,6,1,28,310,282,.910,2.75,2,2.1,611,,,,,,0,0,0,0
7,Martin Biron,22,BUF,41,,19,18,2,90,988,898,.909,2.42,5,6.5,2229,,,,95,4.46,0,0,0,6
8,Brian Boucher,23,PHI,35,,20,10,3,65,790,725,.918,1.91,4,6.0,2038,,,,86,10.53,0,1,1,4
9,Fred Brathwaite,27,CGY,61,,25,25,7,158,1664,1506,.905,2.75,5,10.3,3448,,,,99,1.09,0,0,0,4
10,Martin Brodeur,27,NJD,72,,43,20,8,161,1797,1636,.910,2.24,6,12.1,4312,,,,94,10.81,1,4,5,16
11,Sean Burke,33,TOT,42,,19,19,3,106,1230,1124,.914,2.55,3,8.8,2492,,,,90,11.60,0,0,0,12
12,Sean Burke,33,PHX,35,,17,14,3,88,1022,934,.914,2.55,3,7.3,2074,,,,90,9.71,0,0,0,10
13,Sean Burke,33,FLA,7,,2,5,0,18,208,190,.913,2.58,0,1.5,418,,,,,,0,0,0,2
14,Dan Cloutier,23,TBL,52,,9,30,3,145,1258,1113,.885,3.44,0,5.0,2492,,,,121,-24.72,0,0,0,29
15,Marcel Cousineau,26,LAK,5,,1,1,0,6,64,58,.906,2.11,0,0.4,171,,,,,,0,0,0,0
16,Byron Dafoe,28,BOS,41,,13,16,10,114,1030,916,.889,2.97,3,4.6,2307,,,,116,-15.52,0,0,0,0
17,Marc Denis,22,COL,23,,9,8,3,51,618,567,.917,2.54,3,4.6,1203,,,,86,8.09,0,2,2,6
18,Mike Dunham,27,NSH,52,,19,27,6,146,1584,1438,.908,2.85,0,10.2,3077,,,,96,5.44,0,0,0,6
19,Robert Esche,22,PHX,8,,2,5,0,23,215,192,.893,3.38,0,1.0,408,,,,,,0,0,0,4
20,Bob Essensa,35,PHX,30,,13,10,3,73,719,646,.898,2.78,1,3.9,1573,,,,106,-4.26,0,0,0,0
21,Scott Fankhouser,24,ATL,16,,2,11,2,49,451,402,.891,3.20,0,2.1,920,,,,114,-5.88,0,0,0,4
22,Manny Fernandez,25,DAL,24,,11,8,3,48,603,555,.920,2.13,1,4.7,1353,,,,83,9.65,0,2,2,2
23,Eric Fichaud,24,CAR,9,,3,5,1,24,206,182,.883,2.94,1,0.8,490,,,,,,0,0,0,2
24,Stephane Fiset,29,LAK,47,,20,15,7,119,1208,1089,.901,2.73,1,7.0,2592,,,,103,-3.51,0,2,2,4
25,Mark Fitzpatrick,31,CAR,3,,0,2,0,8,68,60,.882,4.48,0,0.3,107,,,,,,0,0,0,0
