,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
26,Wade Flaherty,32,NYI,4,,0,1,1,7,81,74,.914,2.31,0,0.6,182,,,,,,0,0,0,0
27,Mike Fountain,28,OTT,1,,0,0,0,1,6,5,.833,3.87,0,0.0,16,,,,,,0,0,0,0
28,Grant Fuhr,37,CGY,23,,5,13,2,77,536,459,.856,3.83,0,0.5,1205,,,,150,-25.75,0,0,0,2
29,Jean-Sebastien Giguere,22,CGY,7,,1,3,1,15,175,160,.914,2.72,0,1.3,330,,,,,,0,0,0,2
30,John Grahame,24,BOS,24,,7,10,5,55,609,554,.910,2.46,2,4.1,1344,,,,94,3.23,0,1,1,8
31,Jeff Hackett,31,MTL,56,,23,25,7,132,1543,1411,.914,2.40,3,11.1,3301,,,,89,15.52,0,0,0,4
32,Dominik Hasek,35,BUF,35,,15,11,6,76,937,861,.919,2.21,3,7.2,2066,,,,85,13.58,0,1,1,12
33,Glenn Healy,37,TOR,20,,9,10,0,59,527,468,.888,3.04,2,2.3,1164,,,,117,-8.61,0,1,1,2
34,Guy Hebert,33,MDA,68,,28,31,9,166,1805,1639,.908,2.51,4,11.7,3976,,,,96,6.57,0,2,2,2
35,Milan Hnilicka,26,NYR,2,,0,1,0,5,44,39,.886,3.48,0,0.2,86,,,,,,0,0,0,0
36,Kevin Hodson,27,TBL,24,,2,7,4,47,327,280,.856,3.67,0,0.3,769,,,,,,0,0,0,2
37,Jani Hurme,25,OTT,1,,1,0,0,2,19,17,.895,2.00,0,0.1,60,,,,,,0,0,0,0
38,Arturs Irbe,32,CAR,75,,34,28,9,175,1858,1683,.906,2.42,5,11.6,4345,,,,99,2.64,0,1,1,14
39,Curtis Joseph,32,TOR,63,,36,20,7,158,1854,1696,.915,2.49,4,13.4,3801,,,,89,19.26,0,1,1,14
40,Trevor Kidd,27,FLA,28,,14,11,2,69,809,740,.915,2.63,1,5.8,1574,,,,89,8.35,0,0,0,0
41,Dieter Kochan,25,TBL,5,,1,4,0,17,111,94,.847,4.28,0,0.0,238,,,,,,0,0,0,0
42,Olaf Kolzig,29,WSH,73,,41,20,11,163,1957,1794,.917,2.24,5,14.6,4371,,,,87,24.11,0,2,2,6
43,Jean-Francois Labbe,27,NYR,1,,0,1,0,3,22,19,.864,3.00,0,0.0,60,,,,,,0,0,0,0
44,Patrick Lalime,25,OTT,38,,19,14,3,79,834,755,.905,2.33,3,5.2,2038,,,,99,0.74,0,0,0,4
45,Marc Lamothe,25,CHI,2,,1,1,0,10,50,40,.800,5.16,0,-0.3,116,,,,,,0,0,0,0
46,Scott Langkow,24,ATL,15,,3,11,0,55,395,340,.861,4.31,0,0.5,765,,,,146,-17.23,0,0,0,0
47,Manny Legace,26,DET,4,,4,0,0,11,117,106,.906,2.75,0,0.7,240,,,,,,0,0,0,0
48,Roberto Luongo,20,NYI,24,,7,14,1,70,730,660,.904,3.25,1,4.4,1292,,,,100,-0.21,0,0,0,0
49,Norm Maracle,25,ATL,32,,4,19,2,94,852,758,.890,3.49,1,3.8,1618,,,,115,-12.54,0,0,0,0
50,Kirk McLean,33,NYR,22,,7,8,4,58,558,500,.896,2.94,0,2.9,1206,,,,109,-4.65,0,1,1,2
51,Jamie McLennan,28,STL,19,,9,5,2,33,341,308,.903,1.96,2,2.0,1009,,,,101,-0.40,0,0,0,2
52,Alfie Michaud,23,VAN,2,,0,1,0,5,27,22,.815,4.32,0,-0.1,69,,,,,,0,0,0,0
53,Mike Minard,23,EDM,1,,1,0,0,3,36,33,.917,3.00,0,0.3,60,,,,,,0,0,0,0
54,Evgeni Nabokov,24,SJS,11,,2,2,1,15,166,151,.910,2.17,1,1.1,414,,,,,,0,0,0,0
55,Chris Osgood,27,DET,53,,30,14,8,126,1349,1223,.907,2.40,6,8.5,3148,,,,98,2.98,0,1,1,18
56,Rich Parent,27,TBL,14,,2,7,1,43,353,310,.878,3.70,0,1.1,698,,,,127,-9.25,0,0,0,2
57,Steve Passmore,27,CHI,24,,7,12,3,63,654,591,.904,2.72,1,3.9,1388,,,,101,-0.47,0,0,0,9
58,Felix Potvin,28,TOT,56,,17,27,10,153,1538,1385,.901,2.78,1,8.7,3239,,,,104,-5.95,0,2,2,4
59,Felix Potvin,28,VAN,34,,12,13,7,85,906,821,.906,2.51,0,5.7,1966,,,,98,1.62,0,2,2,2
60,Felix Potvin,28,NYI,22,,5,14,3,68,632,564,.892,3.21,1,3.0,1273,,,,113,-7.58,0,0,0,2
61,Daren Puppa,34,TBL,5,,1,2,0,19,129,110,.853,4.58,0,0.1,249,,,,,,0,0,0,2
62,Bill Ranford,33,EDM,16,,4,6,3,47,407,360,.885,3.59,0,1.6,785,,,,121,-8.09,0,0,0,2
63,Damian Rhodes,30,ATL,28,,5,19,3,101,803,702,.874,3.88,1,2.2,1561,,,,132,-24.23,0,0,0,2
64,Mike Richter,33,NYR,61,,22,31,8,173,1815,1642,.905,2.87,0,11.1,3622,,,,100,0.53,0,0,0,4
65,Dwayne Roloson,30,BUF,14,,1,7,3,32,277,245,.884,2.84,0,1.1,677,,,,,,0,0,0,0
66,Dominic Roussel,29,MDA,20,,6,5,3,52,445,393,.883,3.16,1,1.7,988,,,,122,-9.45,0,0,0,6
67,Patrick Roy,34,COL,63,,32,21,8,141,1640,1499,.914,2.28,2,11.7,3704,,,,90,15.80,0,3,3,10
68,Tommy Salo,28,EDM,70,,27,28,13,162,1875,1713,.914,2.33,2,13.3,4164,,,,90,17.27,0,1,1,8
69,Corey Schwab,29,VAN,6,,2,1,1,16,115,99,.861,3.57,0,0.2,269,,,,,,0,0,0,2
70,Steve Shields,27,SJS,67,,27,30,8,162,1826,1664,.911,2.56,4,12.5,3797,,,,93,12.58,0,1,1,29
71,Mikhail Shtalenkov,34,TOT,30,,15,10,4,70,739,669,.905,2.35,2,4.6,1786,,,,99,0.65,0,3,3,4
72,Mikhail Shtalenkov,34,PHX,15,,7,6,2,36,370,334,.903,2.39,2,2.2,904,,,,102,-0.62,0,3,3,2
73,Mikhail Shtalenkov,34,FLA,15,,8,4,2,34,369,335,.908,2.31,0,2.4,882,,,,96,1.28,0,0,0,2
74,Richard Shulmistra,28,FLA,1,,1,0,0,1,21,20,.952,1.00,0,0.2,60,,,,,,0,0,0,0
75,Peter Skudra,26,PIT,20,,5,7,3,48,374,326,.872,3.19,1,0.9,922,,,,134,-12.24,0,0,0,0
76,Garth Snow,30,VAN,32,,10,15,3,76,775,699,.902,2.68,0,4.5,1712,,,,103,-1.90,0,2,2,8
77,Jamie Storr,24,LAK,42,,18,15,5,93,1008,915,.908,2.55,1,6.5,2206,,,,96,3.37,0,1,1,4
78,Rick Tabaracci,31,TOT,3,,1,1,0,6,50,44,.880,3.01,0,0.2,119,,,,,,0,0,0,0
79,Rick Tabaracci,31,COL,2,,1,0,0,2,18,16,.889,1.99,0,0.1,60,,,,,,0,0,0,0
80,Rick Tabaracci,31,ATL,1,,0,1,0,4,32,28,.875,4.07,0,0.1,59,,,,,,0,0,0,0
81,Robbie Tallas,26,BOS,27,,4,13,4,72,628,556,.885,3.17,0,2.5,1363,,,,120,-11.96,0,0,0,6
82,Chris Terreri,35,NJD,12,,2,9,0,37,299,262,.876,3.42,0,0.9,649,,,,,,0,0,0,2
83,Jose Theodore,23,MTL,30,,12,13,2,58,717,659,.919,2.10,5,5.5,1655,,,,85,10.55,0,0,0,0
84,Jocelyn Thibault,25,CHI,60,,25,26,7,158,1679,1521,.906,2.76,3,10.5,3438,,,,98,2.53,0,0,0,2
85,Ron Tugnutt,32,TOT,51,,22,14,8,118,1217,1099,.903,2.52,4,7.2,2809,,,,101,-1.64,0,0,0,0
86,Ron Tugnutt,32,OTT,44,,18,12,8,103,1020,917,.899,2.54,4,5.6,2435,,,,106,-5.48,0,0,0,0
87,Ron Tugnutt,32,PIT,7,,4,2,0,15,197,182,.924,2.40,0,1.6,374,,,,,,0,0,0,0
88,Roman Turek,29,STL,67,,42,15,9,129,1470,1341,.912,1.95,7,10.2,3960,,,,92,11.54,0,1,1,4
89,Steve Valiquette,22,NYI,6,,2,0,0,6,117,111,.949,1.87,0,1.3,193,,,,,,0,0,0,0
90,John Vanbiesbrouck,36,PHI,50,,25,15,9,108,1143,1035,.906,2.20,3,7.1,2950,,,,99,1.28,0,1,1,6
91,Mike Vernon,36,TOT,49,,24,18,3,115,1380,1265,.917,2.53,1,10.3,2791,,,,87,16.94,0,3,3,2
92,Mike Vernon,36,FLA,34,,18,13,2,83,1020,937,.919,2.54,1,7.8,2019,,,,85,14.52,0,3,3,2
93,Mike Vernon,36,SJS,15,,6,5,1,32,360,328,.911,2.49,0,2.5,772,,,,93,2.42,0,0,0,0
94,Tomas Vokoun,23,NSH,33,,9,20,1,87,908,821,.904,2.78,1,5.5,1879,,,,100,-0.19,0,1,1,8
95,Kevin Weekes,24,TOT,56,,16,27,8,162,1634,1472,.901,3.29,2,9.3,3013,,,,104,-5.78,0,1,1,0
96,Kevin Weekes,24,NYI,36,,10,20,4,115,1173,1058,.902,3.51,1,6.8,2026,,,,103,-2.85,0,1,1,0
97,Kevin Weekes,24,VAN,20,,6,7,4,47,461,414,.898,2.85,1,2.5,987,,,,107,-2.92,0,0,0,0
98,Ken Wregget,35,DET,29,,14,10,2,70,700,630,.900,2.66,0,3.9,1579,,,,105,-3.07,0,1,1,0
