,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
47,Cristobal Huet,31,MTL,42,,19,16,3,107,1280,1173,.916,2.81,2,9.4,2286,,,,88,14.29,0,1,1,0
48,Brent Johnson,29,WSH,30,,6,15,7,99,894,795,.889,3.62,0,3.9,1644,,,,117,-14.29,0,1,1,4
49,Curtis Joseph,39,PHX,55,,18,31,2,159,1481,1322,.893,3.19,4,7.0,2993,,,,113,-18.66,0,0,0,10
50,Nikolai Khabibulin,34,CHI,60,,25,26,5,163,1668,1505,.902,2.86,1,9.6,3425,,,,103,-4.94,0,0,0,8
51,Miikka Kiprusoff,30,CGY,74,,40,24,9,181,2190,2009,.917,2.46,7,16.3,4419,,,,87,26.52,0,0,0,2
52,Olaf Kolzig,36,WSH,54,,22,24,6,159,1771,1612,.910,3.00,1,11.8,3184,,,,95,8.82,0,3,3,10
53,Patrick Lalime,32,CHI,12,,4,6,1,33,317,284,.896,3.07,1,1.6,645,,,,,,0,0,0,0
54,Pascal Leclaire,24,CBJ,24,,6,15,2,65,629,564,.897,2.97,1,3.2,1315,,,,109,-5.40,0,0,0,2
55,Manny Legace,33,STL,45,,23,15,5,109,1177,1068,.907,2.59,5,7.5,2522,,,,98,2.53,0,0,0,2
56,Kari Lehtonen,23,ATL,68,,34,24,9,183,2075,1892,.912,2.79,4,14.2,3934,,,,93,13.62,0,1,1,6
57,Michael Leighton,25,TOT,5,,2,2,0,14,112,98,.875,3.92,0,0.3,215,,,,,,0,0,0,0
58,Michael Leighton,25,PHI,4,,2,2,0,12,102,90,.882,3.70,0,0.4,195,,,,,,0,0,0,0
59,Michael Leighton,25,NSH,1,,0,0,0,2,10,8,.800,6.07,0,-0.1,20,,,,,,0,0,0,0
60,David LeNeveu,23,PHX,6,,2,1,0,15,142,127,.894,3.86,0,0.7,233,,,,,,0,0,0,0
61,Henrik Lundqvist,24,NYR,70,,37,22,8,160,1927,1767,.917,2.34,5,14.3,4109,,,,88,22.60,0,0,0,0
62,Roberto Luongo,27,VAN,76,,47,22,6,171,2169,1998,.921,2.28,5,17.1,4490,,,,83,34.53,0,2,2,10
63,Joey MacDonald,26,TOT,15,,3,7,2,43,406,363,.894,3.12,0,2.0,826,,,,112,-4.53,0,0,0,0
64,Joey MacDonald,26,DET,8,,1,5,1,27,211,184,.872,3.46,0,0.5,468,,,,,,0,0,0,0
65,Joey MacDonald,26,BOS,7,,2,2,1,16,195,179,.918,2.68,0,1.5,358,,,,,,0,0,0,0
66,Jussi Markkanen,31,EDM,22,,5,9,1,52,457,405,.886,3.14,0,1.8,992,,,,120,-8.70,0,0,0,0
67,Chris Mason,30,NSH,40,,24,11,4,93,1244,1151,.925,2.38,5,10.4,2342,,,,79,24.88,0,1,1,4
68,Jamie McLennan,35,CGY,9,,3,5,1,32,304,272,.895,3.60,0,1.5,533,,,,,,0,0,0,16
69,Ryan Miller,26,BUF,63,,40,16,6,168,1886,1718,.911,2.73,2,12.7,3692,,,,94,10.71,0,2,2,2
70,Mike Morrison,27,PHX,4,,0,3,0,13,62,49,.790,6.13,0,-0.4,127,,,,,,0,0,0,0
71,Evgeni Nabokov,31,SJS,50,,25,16,4,106,1227,1121,.914,2.29,7,8.6,2778,,,,91,10.27,0,0,0,6
72,Antero Niittymaki,26,PHI,52,,9,29,9,166,1567,1401,.894,3.38,0,7.6,2943,,,,112,-17.51,0,0,0,2
73,Fredrik Norrena,33,CBJ,55,,24,23,3,137,1420,1283,.904,2.79,3,8.4,2952,,,,102,-2.44,0,0,0,6
74,Chris Osgood,34,DET,21,,11,3,6,46,496,450,.907,2.38,0,3.1,1161,,,,98,1.00,0,1,1,6
75,Tomas Popperle,22,CBJ,2,,0,0,0,1,14,13,.929,1.35,0,0.1,45,,,,,,0,0,0,0
76,Karri Ramo,20,TBL,2,,0,0,0,4,23,19,.826,3.45,0,-0.1,70,,,,,,0,0,0,0
77,Andrew Raycroft,26,TOR,72,,37,25,9,205,1931,1726,.894,2.99,2,9.4,4108,,,,112,-22.02,0,1,1,8
78,Dwayne Roloson,37,EDM,68,,27,34,6,180,1969,1789,.909,2.75,4,12.8,3932,,,,96,6.58,0,3,3,12
79,Dany Sabourin,26,VAN,9,,2,4,1,21,224,203,.906,2.63,0,1.4,480,,,,,,0,0,0,0
80,Curtis Sanford,27,STL,31,,8,12,5,79,707,628,.888,3.19,0,3.0,1492,,,,118,-12.01,0,0,0,0
81,Philippe Sauve,26,BOS,2,,0,0,0,4,23,19,.826,5.80,0,-0.1,41,,,,,,0,0,0,0
82,Marek Schwarz,20,STL,2,,0,1,0,3,25,22,.880,3.00,0,0.1,60,,,,,,0,0,0,0
83,Mike Smith,24,DAL,23,,12,5,2,45,511,466,.912,2.23,3,3.5,1213,,,,93,3.42,0,0,0,2
84,Mikael Tellqvist,27,TOT,31,,11,12,3,92,799,707,.885,3.34,2,3.1,1650,,,,122,-16.29,0,1,1,0
85,Mikael Tellqvist,27,PHX,30,,11,11,3,90,780,690,.885,3.39,2,3.0,1591,,,,122,-16.09,0,1,1,0
86,Mikael Tellqvist,27,TOR,1,,0,1,0,2,19,17,.895,2.03,0,0.1,59,,,,,,0,0,0,0
87,Jose Theodore,30,COL,33,,13,15,1,95,870,775,.891,3.26,0,3.9,1748,,,,115,-12.56,0,1,1,6
88,Jocelyn Thibault,32,PIT,22,,7,8,2,52,572,520,.909,2.83,1,3.7,1101,,,,96,2.20,0,0,0,0
89,Tim Thomas,32,BOS,66,,30,29,4,189,1985,1796,.905,3.13,3,12.0,3619,,,,100,-0.90,0,0,0,6
90,Hannu Toivonen,22,BOS,18,,3,9,1,63,502,439,.875,4.23,0,1.4,894,,,,132,-15.43,0,0,0,2
91,Vesa Toskala,29,SJS,38,,26,10,1,84,915,831,.908,2.35,4,5.9,2142,,,,97,2.70,0,3,3,0
92,Marty Turco,31,DAL,67,,38,20,5,140,1564,1424,.910,2.23,6,10.5,3764,,,,94,8.20,0,4,4,18
93,Steve Valiquette,29,NYR,3,,1,2,0,6,45,39,.867,3.14,0,0.1,115,,,,,,0,0,0,0
94,Tomas Vokoun,30,NSH,44,,27,12,4,104,1299,1195,.920,2.40,5,10.1,2601,,,,84,19.09,0,2,2,4
95,Michael Wall,21,ANA,4,,2,2,0,10,81,71,.877,2.97,0,0.2,202,,,,,,0,1,1,0
96,Cam Ward,22,CAR,60,,30,21,6,167,1625,1458,.897,2.93,2,8.5,3422,,,,108,-13.02,0,1,1,6
97,Kevin Weekes,31,NYR,14,,4,6,2,43,355,312,.879,3.39,0,1.1,761,,,,128,-9.36,0,0,0,0
