,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,David Aebischer,28,MTL,32,,13,12,3,93,929,836,.900,3.17,0,5.1,1760,,,,106,-4.97,0,0,0,2
1,Craig Anderson,25,FLA,5,,1,1,1,8,116,108,.931,2.21,0,1.0,217,,,,,,0,0,0,0
2,Jean-Sebastien Aubin,29,TOR,20,,3,5,2,46,371,325,.876,3.43,0,1.1,804,,,,131,-10.84,0,0,0,0
3,Alex Auld,26,FLA,27,,7,13,5,82,729,647,.888,3.35,1,3.0,1471,,,,119,-12.92,0,1,1,2
4,Jason Bacashihua,24,STL,19,,3,7,3,47,450,403,.896,3.16,0,2.3,894,,,,110,-4.36,0,0,0,2
5,Niklas Backstrom,28,MIN,41,,23,8,6,73,1028,955,.929,1.97,5,9.0,2227,,,,75,24.41,0,1,1,2
6,Ed Belfour,41,FLA,58,,27,17,10,152,1550,1398,.902,2.77,1,8.9,3289,,,,103,-5.12,0,2,2,10
7,Martin Biron,29,TOT,35,,18,12,3,101,1042,941,.903,3.03,0,6.1,2001,,,,102,-2.26,0,0,0,25
8,Martin Biron,29,BUF,19,,12,4,1,54,533,479,.899,3.04,0,2.9,1066,,,,107,-3.49,0,0,0,25
9,Martin Biron,29,PHI,16,,6,8,2,47,509,462,.908,3.01,0,3.2,935,,,,97,1.23,0,0,0,0
10,Brian Boucher,30,TOT,18,,2,11,3,54,456,402,.882,3.34,1,1.6,969,,,,125,-10.79,0,0,0,0
11,Brian Boucher,30,CHI,15,,1,10,3,45,389,344,.884,3.27,1,1.5,827,,,,122,-8.14,0,0,0,0
12,Brian Boucher,30,CBJ,3,,1,1,0,9,67,58,.866,3.79,0,0.1,142,,,,,,0,0,0,0
13,Martin Brodeur,34,NJD,78,,48,23,7,171,2182,2011,.922,2.18,12,17.3,4697,,,,83,35.76,0,1,1,12
14,Barry Brust,23,LAK,11,,2,4,1,30,245,215,.878,3.70,0,0.7,486,,,,,,0,0,0,0
15,Ilya Bryzgalov,26,ANA,27,,10,8,6,62,668,606,.907,2.47,1,4.2,1509,,,,98,1.30,0,0,0,0
16,Peter Budaj,24,COL,57,,31,16,6,143,1499,1356,.905,2.68,3,9.1,3199,,,,101,-0.96,0,2,2,0
17,Sean Burke,40,LAK,23,,6,10,5,68,687,619,.901,3.12,1,3.9,1310,,,,104,-2.90,0,1,1,4
18,Sebastien Caron,26,TOT,2,,1,0,0,2,31,29,.935,1.36,0,0.3,88,,,,,,0,0,0,0
19,Sebastien Caron,26,CHI,1,,1,0,0,1,25,24,.960,1.00,0,0.3,60,,,,,,0,0,0,0
20,Sebastien Caron,26,ANA,1,,0,0,0,1,6,5,.833,2.12,0,0.0,28,,,,,,0,0,0,0
21,Frederic Cassivi,31,WSH,4,,0,1,1,6,58,52,.897,2.60,0,0.3,139,,,,,,0,0,0,0
22,Scott Clemmensen,29,NJD,6,,1,1,2,16,144,128,.889,3.14,0,0.6,305,,,,,,0,0,0,0
23,Dan Cloutier,30,LAK,24,,6,14,2,85,608,523,.860,3.98,0,0.7,1281,,,,148,-27.39,0,1,1,21
24,Ty Conklin,30,TOT,16,,3,5,2,40,330,290,.879,3.34,0,1.1,718,,,,128,-8.73,0,0,0,2
25,Ty Conklin,30,CBJ,11,,2,3,2,27,210,183,.871,3.30,0,0.5,491,,,,,,0,0,0,0
26,Ty Conklin,30,BUF,5,,1,2,0,13,120,107,.892,3.43,0,0.6,227,,,,,,0,0,0,2
27,Marc Denis,29,TBL,44,,17,18,2,125,1068,943,.883,3.19,1,3.9,2353,,,,124,-23.80,0,0,0,2
28,Rick DiPietro,25,NYI,62,,32,19,9,156,1917,1761,.919,2.58,5,14.6,3627,,,,86,25.65,0,2,2,24
29,Wade Dubielewicz,28,NYI,8,,4,1,0,13,198,185,.934,2.06,0,1.8,379,,,,,,0,0,0,0
30,Mike Dunham,34,NYI,19,,4,10,3,61,552,491,.889,3.74,0,2.4,979,,,,117,-8.69,0,1,1,0
31,Ray Emery,24,OTT,58,,33,16,6,138,1691,1553,.918,2.47,5,12.8,3351,,,,86,22.24,0,1,1,30
32,Robert Esche,29,PHI,18,,5,9,1,62,483,421,.872,4.32,1,1.2,860,,,,135,-16.23,0,2,2,2
33,Manny Fernandez,32,MIN,44,,22,16,1,103,1158,1055,.911,2.55,2,7.8,2422,,,,94,6.73,0,0,0,12
34,Brian Finley,25,BOS,2,,0,1,0,3,33,30,.909,3.04,0,0.2,59,,,,,,0,0,0,0
35,Marc-Andre Fleury,22,PIT,67,,40,16,9,184,1954,1770,.906,2.83,5,12.1,3905,,,,99,1.16,0,3,3,4
36,Yutaka Fukufuji,24,LAK,4,,0,3,0,7,43,36,.837,4.37,0,-0.1,96,,,,,,0,0,0,0
37,Mathieu Garon,29,LAK,32,,13,10,6,79,849,770,.907,2.66,2,5.3,1779,,,,98,1.45,0,1,1,6
38,Martin Gerber,32,OTT,29,,15,9,3,74,784,710,.906,2.78,1,4.8,1599,,,,100,0.29,0,0,0,0
39,Jean-Sebastien Giguere,29,ANA,56,,36,10,8,122,1490,1368,.918,2.26,4,11.2,3245,,,,86,19.19,0,2,2,0
40,John Grahame,31,CAR,28,,10,13,2,72,702,630,.897,2.85,0,3.7,1515,,,,108,-5.48,0,3,3,2
41,Jaroslav Halak,21,MTL,16,,10,6,0,44,469,425,.906,2.89,2,2.9,912,,,,99,0.44,0,1,1,2
42,Josh Harding,22,MIN,7,,3,2,1,7,174,167,.960,1.16,1,2.1,361,,,,,,0,0,0,0
43,Dominik Hasek,42,DET,56,,38,11,6,114,1309,1195,.913,2.05,8,9.1,3341,,,,92,10.04,0,2,2,20
44,Johan Hedberg,33,ATL,21,,9,4,2,51,500,449,.898,2.89,0,2.7,1057,,,,108,-3.62,0,1,1,6
45,Johan Holmqvist,28,TBL,48,,27,15,3,121,1134,1013,.893,2.85,1,5.4,2548,,,,113,-13.54,0,3,3,4
46,Martin Houle,21,PHI,1,,0,0,0,1,3,2,.667,27.27,0,-0.1,2,,,,,,0,0,0,0
