,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,David Aebischer,22,COL,26,,12,7,3,52,538,486,.903,2.24,3,3.3,1393,,,,100,0.04,0,1,1,0
1,Jean-Sebastien Aubin,23,PIT,36,,20,14,1,107,973,866,.890,3.33,0,4.6,2050,,,,114,-12.87,0,1,1,4
2,Ed Belfour,35,DAL,63,,35,20,7,144,1508,1364,.905,2.34,8,9.5,3687,,,,99,1.88,0,1,1,4
3,Zac Bierk,24,MIN,1,,0,1,0,6,27,21,.778,6.00,0,-0.2,60,,,,,,0,0,0,2
4,Craig Billington,34,WSH,12,,3,5,2,27,317,290,.915,2.45,0,2.3,660,,,,,,0,1,1,0
5,Martin Biron,23,BUF,18,,7,7,1,39,427,388,.909,2.55,2,2.9,918,,,,94,2.31,0,0,0,0
6,Brian Boucher,24,PHI,27,,8,12,5,80,644,564,.876,3.27,1,2.0,1470,,,,128,-17.70,0,0,0,2
7,Fred Brathwaite,28,CGY,49,,15,17,10,106,1181,1075,.910,2.32,5,8.1,2742,,,,93,8.25,0,1,1,2
8,Martin Brodeur,28,NJD,72,,42,17,11,166,1762,1596,.906,2.32,9,11.3,4297,,,,97,4.45,0,1,1,14
9,Sean Burke,34,PHX,62,,25,22,13,138,1766,1628,.922,2.27,4,14.4,3644,,,,81,32.84,0,1,1,16
10,Roman Cechmanek,29,PHI,59,,35,15,6,115,1464,1349,.921,2.01,10,11.9,3431,,,,81,26.62,0,1,1,4
11,Dan Cloutier,24,TOT,40,,7,19,8,96,889,793,.892,3.00,1,4.4,1919,,,,112,-10.00,0,0,0,4
12,Dan Cloutier,24,TBL,24,,3,13,3,59,541,482,.891,3.52,1,2.6,1005,,,,113,-6.66,0,0,0,4
13,Dan Cloutier,24,VAN,16,,4,6,5,37,348,311,.894,2.43,0,1.8,914,,,,110,-3.34,0,0,0,0
14,Byron Dafoe,29,BOS,45,,22,14,7,101,1076,975,.906,2.39,2,6.9,2536,,,,97,3.09,0,2,2,6
15,Marc Denis,23,CBJ,32,,6,20,4,99,940,841,.895,3.25,0,4.9,1830,,,,109,-8.07,0,0,0,2
16,Rick DiPietro,19,NYI,20,,3,15,1,63,515,452,.878,3.49,0,1.7,1083,,,,126,-13.18,0,2,2,6
17,Mike Dunham,28,NSH,48,,21,21,4,107,1381,1274,.923,2.33,4,11.4,2810,,,,80,26.59,0,0,0,2
18,Robert Esche,23,PHX,25,,10,8,4,68,657,589,.896,3.02,2,3.5,1350,,,,107,-4.44,0,3,3,2
19,Bob Essensa,36,VAN,39,,18,12,3,92,854,762,.892,2.68,1,4.2,2059,,,,111,-9.39,0,0,0,4
20,Scott Fankhouser,25,ATL,7,,2,1,0,16,160,144,.900,3.44,0,0.9,260,,,,,,0,0,0,2
21,Manny Fernandez,26,MIN,42,,19,17,4,92,1147,1055,.920,2.24,4,9.1,2461,,,,83,18.96,0,0,0,6
22,Eric Fichaud,25,MTL,2,,0,2,0,4,32,28,.875,3.89,0,0.1,62,,,,,,0,0,0,0
23,Stephane Fiset,30,LAK,7,,3,0,1,19,129,110,.853,3.58,0,0.1,318,,,,,,0,0,0,2
24,Wade Flaherty,33,TOT,22,,6,12,0,64,525,461,.878,3.38,1,1.8,1135,,,,126,-13.21,0,0,0,2
25,Wade Flaherty,33,NYI,20,,6,10,0,56,470,414,.881,3.30,1,1.7,1017,,,,123,-10.53,0,0,0,2
26,Wade Flaherty,33,TBL,2,,0,2,0,8,55,47,.855,4.07,0,0.0,118,,,,,,0,0,0,0
27,Mike Fountain,29,OTT,1,,0,1,0,3,25,22,.880,3.07,0,0.1,59,,,,,,0,0,0,0
28,Joaquin Gage,27,EDM,5,,2,2,0,15,125,110,.880,3.46,0,0.5,260,,,,,,0,0,0,0
29,Mathieu Garon,23,MTL,11,,4,5,1,24,233,209,.897,2.44,2,1.3,589,,,,,,0,0,0,0
30,Jean-Sebastien Giguere,23,MDA,34,,11,17,5,87,976,889,.911,2.57,4,6.8,2031,,,,92,7.42,0,2,2,8
31,John Grahame,25,BOS,10,,3,4,0,28,211,183,.867,3.57,0,0.5,471,,,,,,0,0,0,2
32,Derek Gustafson,21,MIN,4,,1,3,0,10,97,87,.897,2.51,0,0.5,239,,,,,,0,0,0,0
33,Jeff Hackett,32,MTL,19,,4,10,2,54,477,423,.887,3.25,0,2.1,998,,,,117,-7.86,0,1,1,0
34,Dominik Hasek,36,BUF,67,,37,24,4,137,1726,1589,.921,2.11,11,13.9,3904,,,,82,29.97,0,3,3,22
35,Glenn Healy,38,TOR,15,,4,7,3,38,331,293,.885,2.62,0,1.4,871,,,,119,-5.98,0,0,0,0
36,Guy Hebert,34,TOT,54,,17,30,5,157,1521,1364,.897,3.19,2,8.3,2950,,,,107,-9.86,0,0,0,0
37,Guy Hebert,34,MDA,41,,12,23,4,115,1112,997,.897,3.11,2,6.0,2215,,,,107,-7.43,0,0,0,0
38,Guy Hebert,34,NYR,13,,5,7,1,42,409,367,.897,3.43,0,2.2,735,,,,106,-2.43,0,0,0,0
39,Johan Hedberg,27,PIT,9,,7,1,1,24,253,229,.905,2.64,0,1.6,545,,,,,,0,0,0,0
40,Corey Hirsch,28,WSH,1,,1,0,0,0,8,8,1.000,0.00,0,0.1,20,,,,,,0,0,0,0
41,Milan Hnilicka,27,ATL,36,,12,19,2,105,951,846,.890,3.41,2,4.4,1879,,,,114,-13.00,0,0,0,4
42,Johan Holmqvist,22,NYR,2,,0,2,0,10,71,61,.859,5.05,0,0.1,119,,,,,,0,0,0,2
43,Jani Hurme,26,OTT,22,,12,5,4,54,563,509,.904,2.50,2,3.5,1296,,,,99,0.46,0,0,0,0
44,Arturs Irbe,33,CAR,77,,37,29,9,180,1947,1767,.908,2.45,6,12.9,4406,,,,96,8.35,0,2,2,6
45,Brent Johnson,23,STL,31,,19,9,2,63,676,613,.907,2.17,4,4.4,1744,,,,96,2.39,0,0,0,2
