,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,Craig Anderson,30,OTT,63,60,33,22,6,165,1917,1752,.914,2.83,3,11.7,3492,34,.567,9,100,0.75,0,4,4,4
1,Alex Auld,31,OTT,14,8,2,4,2,36,310,274,.884,3.35,0,0.8,645,2,.250,2,,,0,0,0,0
2,Richard Bachman,24,DAL,18,15,8,5,1,43,477,434,.910,2.77,1,2.7,933,9,.600,2,104,-1.76,0,1,1,0
3,Niklas Backstrom,33,MIN,46,45,19,18,7,105,1299,1194,.919,2.43,4,8.8,2590,24,.533,8,93,7.31,0,2,2,2
4,Jonathan Bernier,23,LAK,16,13,5,6,2,35,383,348,.909,2.36,1,2.1,890,6,.462,1,106,-1.88,0,0,0,0
5,Martin Biron,34,NYR,21,20,12,6,2,50,519,469,.904,2.46,2,2.5,1220,7,.350,4,111,-5.13,0,3,3,0
6,Ben Bishop,25,OTT,10,9,3,3,2,22,243,221,.909,2.48,0,1.4,532,5,.556,1,,,0,0,0,2
7,Sergei Bobrovsky,23,PHI,29,25,14,10,2,78,769,691,.899,3.02,0,3.3,1550,11,.440,5,117,-11.51,0,0,0,0
8,Brian Boucher,35,CAR,10,8,1,6,1,31,260,229,.881,3.40,0,0.6,546,2,.250,2,,,0,0,0,0
9,Martin Brodeur,39,NJD,59,59,31,21,4,136,1472,1336,.908,2.41,3,7.9,3392,29,.492,11,107,-8.73,0,4,4,2
10,Ilya Bryzgalov,31,PHI,59,57,33,16,7,141,1554,1413,.909,2.48,6,8.6,3415,32,.561,14,105,-6.64,0,2,2,4
11,Peter Budaj,29,MTL,17,17,5,7,5,44,508,464,.913,2.55,0,3.1,1037,8,.471,0,100,-0.08,0,3,3,2
12,Sebastien Caron,31,TBL,3,2,1,1,0,7,57,50,.877,3.12,0,0.1,135,1,.500,1,,,0,0,0,0
13,Scott Clemmensen,34,FLA,30,25,14,6,6,67,773,706,.913,2.57,1,4.7,1566,16,.640,5,100,-0.16,0,1,1,0
14,Ty Conklin,35,DET,15,13,5,6,1,44,378,334,.884,3.28,1,0.9,805,5,.385,4,135,-11.32,0,1,1,0
15,Corey Crawford,27,CHI,57,55,30,17,7,146,1507,1361,.903,2.72,0,7.3,3218,27,.491,13,112,-15.70,0,0,0,0
16,Yann Danis,30,EDM,1,0,0,0,0,2,12,10,.833,3.70,0,0.0,32,0,,0,,,0,0,0,0
17,Jeff Deslauriers,27,ANA,4,4,3,1,0,11,113,102,.903,2.74,0,0.5,241,2,.500,0,,,0,0,0,0
18,Rick DiPietro,30,NYI,8,6,3,2,3,22,177,155,.876,3.73,0,0.3,354,1,.167,2,,,0,2,2,0
19,Devan Dubnyk,25,EDM,47,42,20,20,3,118,1380,1262,.914,2.67,2,8.5,2653,23,.548,6,99,1.32,0,1,1,0
20,Brian Elliott,26,STL,38,36,23,10,4,58,972,914,.940,1.56,9,9.0,2235,28,.778,1,69,26.04,0,0,0,0
21,Dan Ellis,31,ANA,10,5,1,5,0,19,214,195,.911,2.72,0,1.2,419,1,.200,1,,,0,1,1,0
22,Ray Emery,29,CHI,34,27,15,9,4,83,834,751,.900,2.81,0,3.8,1774,12,.444,5,115,-10.89,0,1,1,2
23,Jhonas Enroth,23,BUF,26,22,8,11,4,63,756,693,.917,2.70,1,4.9,1399,15,.682,4,96,2.37,0,0,0,2
24,Marc-Andre Fleury,27,PIT,67,64,42,17,4,153,1768,1615,.913,2.36,3,10.7,3896,36,.563,7,100,-0.13,0,2,2,4
25,Brian Foster,24,FLA,1,0,0,0,0,0,1,1,1.000,0.00,0,0.0,5,0,,0,,,0,0,0,0
26,Mathieu Garon,34,TBL,48,44,23,16,4,118,1191,1073,.901,2.85,1,5.4,2484,20,.455,7,115,-15.02,0,2,2,0
27,Jean-Sebastien Giguere,34,COL,32,30,15,11,3,69,850,781,.919,2.28,2,5.7,1820,19,.633,4,94,4.49,0,0,0,2
28,Thomas Greiss,26,SJS,19,14,9,7,1,40,472,432,.915,2.30,0,3.0,1043,7,.500,2,98,0.81,0,0,0,2
29,Jonas Gustavsson,27,TOR,42,36,17,17,4,112,1147,1035,.902,2.92,4,5.4,2301,14,.389,2,113,-12.83,0,1,1,4
30,Matt Hackett,21,MIN,12,7,3,6,0,22,282,260,.922,2.38,0,2.0,556,3,.429,2,,,0,0,0,0
