,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,Craig Anderson,29,TOT,51,49,24,20,4,135,1546,1411,.913,2.83,2,9.2,2865,29,.592,10,100,-0.32,0,1,1,4
1,Craig Anderson,29,COL,33,31,13,15,3,99,957,858,.897,3.28,0,3.9,1810,15,.484,9,119,-15.63,0,1,1,4
2,Craig Anderson,29,OTT,18,18,11,5,1,36,589,553,.939,2.05,2,5.3,1055,14,.778,1,70,15.31,0,0,0,0
3,Alex Auld,30,MTL,16,12,6,2,2,33,383,350,.914,2.64,0,2.3,749,6,.500,2,99,0.37,0,1,1,2
4,Richard Bachman,23,DAL,1,0,0,0,0,0,4,4,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0
5,Niklas Backstrom,32,MIN,51,50,22,23,5,132,1566,1434,.916,2.66,3,9.8,2978,29,.580,9,97,4.42,0,1,1,2
6,Jonathan Bernier,22,LAK,25,22,11,8,3,57,652,595,.913,2.48,3,3.9,1378,14,.636,5,100,-0.20,0,0,0,0
7,Martin Biron,33,NYR,17,15,8,6,0,33,426,393,.923,2.13,0,3.0,928,10,.667,1,89,4.11,0,0,0,0
8,Ben Bishop,24,STL,7,5,3,4,0,17,168,151,.899,2.77,1,0.7,369,2,.400,3,,,0,0,0,0
9,Sergei Bobrovsky,22,PHI,54,52,28,13,8,130,1527,1397,.915,2.59,0,9.4,3017,34,.654,6,98,3.03,0,2,2,2
10,Brian Boucher,34,PHI,34,29,18,10,4,76,902,826,.916,2.42,0,5.7,1885,17,.586,3,97,2.58,0,0,0,0
11,Martin Brodeur,38,NJD,56,54,23,26,3,127,1313,1186,.903,2.45,6,6.3,3116,28,.519,9,111,-12.62,0,2,2,2
12,Mike Brodeur,27,OTT,4,1,0,1,0,7,42,35,.833,4.34,0,-0.1,97,0,.000,1,,,0,0,0,0
13,Ilya Bryzgalov,30,PHX,68,67,36,20,10,168,2125,1957,.921,2.48,7,14.7,4060,40,.597,6,91,17.12,0,0,0,2
14,Peter Budaj,28,COL,45,39,15,21,4,130,1234,1104,.895,3.20,1,4.7,2439,13,.333,7,121,-22.50,0,1,1,6
15,Scott Clemmensen,33,FLA,31,25,8,11,7,74,833,759,.911,2.62,1,4.8,1696,10,.400,4,102,-1.43,0,1,1,2
16,Matt Climie,27,PHX,1,0,0,0,0,1,16,15,.938,1.85,0,0.1,32,0,,0,,,0,0,0,0
17,Ty Conklin,34,STL,25,20,8,8,4,69,582,513,.881,3.22,2,1.3,1285,6,.300,7,136,-18.30,0,0,0,4
18,Corey Crawford,26,CHI,57,55,33,18,6,128,1545,1417,.917,2.30,4,10.0,3337,34,.618,6,95,6.59,0,1,1,2
19,Mark Dekanich,24,NSH,1,0,0,0,0,3,25,22,.880,3.60,0,0.1,50,0,,0,,,0,0,0,0
20,Cedrick Desjardins,25,TBL,2,2,2,0,0,2,63,61,.968,1.00,0,0.8,120,2,1.000,0,,,0,0,0,0
21,Rick DiPietro,29,NYI,26,25,8,14,4,88,773,685,.886,3.44,1,2.2,1533,9,.360,7,131,-20.66,0,1,1,25
22,Devan Dubnyk,24,EDM,35,33,12,13,8,93,1103,1010,.916,2.71,2,6.9,2061,18,.545,6,97,3.09,0,0,0,2
23,Brian Elliott,25,TOT,55,51,15,27,9,166,1551,1385,.893,3.34,3,5.6,2983,17,.333,15,123,-30.88,0,0,0,0
24,Brian Elliott,25,OTT,43,39,13,19,8,122,1147,1025,.894,3.19,3,4.2,2293,14,.359,12,122,-22.08,0,0,0,0
25,Brian Elliott,25,COL,12,12,2,8,1,44,404,360,.891,3.83,0,1.4,690,3,.250,3,125,-8.81,0,0,0,0
26,Dan Ellis,30,TOT,44,37,21,10,7,111,1089,978,.898,2.77,2,4.6,2408,16,.432,10,117,-16.13,0,1,1,0
27,Dan Ellis,30,TBL,31,26,13,7,6,82,741,659,.889,2.93,2,2.4,1679,10,.385,8,127,-17.45,0,1,1,0
