,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,David Aebischer,23,COL,21,,13,6,0,37,538,501,.931,1.88,2,4.8,1184,,,,75,12.63,0,0,0,4
1,Jean-Sebastien Aubin,24,PIT,21,,3,12,1,65,537,472,.879,3.56,0,1.5,1094,,,,131,-15.46,0,0,0,0
2,Alex Auld,21,VAN,1,,1,0,0,2,22,20,.909,2.00,0,0.1,60,,,,,,0,1,1,0
3,Tom Barrasso,36,TOT,38,,15,14,5,93,996,903,.907,2.62,2,6.0,2127,,,,101,-1.12,0,0,0,4
4,Tom Barrasso,36,CAR,34,,13,12,5,83,886,803,.906,2.61,2,5.3,1908,,,,102,-1.27,0,0,0,4
5,Tom Barrasso,36,TOR,4,,2,2,0,10,110,100,.909,2.74,0,0.7,219,,,,,,0,0,0,0
6,Ed Belfour,36,DAL,60,,21,27,11,153,1458,1305,.895,2.65,1,6.9,3467,,,,114,-18.50,0,5,5,12
7,Craig Billington,35,WSH,17,,4,5,3,36,295,259,.878,3.04,0,0.8,710,,,,,,0,0,0,0
8,Martin Biron,24,BUF,72,,31,28,10,151,1781,1630,.915,2.22,4,12.5,4085,,,,92,13.30,0,1,1,8
9,Dan Blackburn,18,NYR,31,,12,16,0,95,935,840,.898,3.32,0,4.8,1737,,,,110,-8.75,0,0,0,10
10,Brian Boucher,25,PHI,41,,18,16,4,92,972,880,.905,2.41,2,5.7,2295,,,,103,-2.33,0,0,0,4
11,Fred Brathwaite,29,STL,25,,9,11,4,54,543,489,.901,2.24,2,2.9,1446,,,,108,-3.91,0,0,0,0
12,Martin Brochu,28,VAN,6,,0,3,0,15,104,89,.856,4.16,0,0.0,216,,,,,,0,0,0,0
13,Martin Brodeur,29,NJD,73,,38,26,9,156,1655,1499,.906,2.15,4,9.8,4347,,,,102,-3.33,0,4,4,8
14,Ilya Bryzgalov,21,MDA,1,,0,0,0,1,12,11,.917,1.87,0,0.1,32,,,,,,0,0,0,0
15,Sean Burke,35,PHX,60,,33,21,6,137,1711,1574,.920,2.29,5,12.9,3587,,,,87,20.84,0,1,1,14
16,Frederic Cassivi,26,ATL,6,,2,3,0,17,207,190,.918,3.32,0,1.5,307,,,,,,0,0,0,0
17,Roman Cechmanek,30,PHI,46,,24,13,6,89,1131,1042,.921,2.05,4,8.7,2603,,,,85,15.33,0,0,0,10
18,Sebastien Centomo,20,TOR,1,,0,0,0,3,12,9,.750,4.50,0,-0.1,40,,,,,,0,0,0,0
19,Sebastien Charpentier,24,WSH,2,,1,1,0,5,78,73,.936,2.46,0,0.7,122,,,,,,0,0,0,0
20,Scott Clemmensen,24,NJD,2,,0,0,0,1,5,4,.800,2.95,0,0.0,20,,,,,,0,0,0,0
21,Dan Cloutier,25,VAN,62,,31,22,5,142,1440,1298,.901,2.43,7,7.8,3502,,,,107,-9.16,0,0,0,20
22,Ty Conklin,25,EDM,4,,2,0,0,4,66,62,.939,1.63,0,0.6,148,,,,,,0,0,0,0
23,Byron Dafoe,30,BOS,64,,35,26,3,141,1520,1379,.907,2.21,4,9.3,3827,,,,101,-0.78,0,1,1,27
24,Jean-Francois Damphousse,22,NJD,6,,1,3,0,12,115,103,.896,2.45,0,0.5,294,,,,,,0,0,0,0
25,Marc Denis,24,CBJ,42,,9,24,5,121,1197,1076,.899,3.11,1,6.2,2335,,,,110,-10.58,0,1,1,2
26,Patrick DesRochers,22,PHX,5,,1,2,1,15,99,84,.848,3.71,0,-0.1,243,,,,,,0,0,0,2
27,Reinhard Divis,26,STL,1,,0,0,0,0,4,4,1.000,0.00,0,0.1,25,,,,,,0,0,0,0
28,Mike Dunham,29,NSH,58,,23,24,9,144,1525,1381,.906,2.62,3,9.0,3316,,,,102,-3.32,0,2,2,2
29,Robert Esche,24,PHX,22,,6,10,2,52,533,481,.902,2.73,1,3.0,1145,,,,106,-2.83,0,0,0,16
30,Bob Essensa,37,BUF,9,,0,5,0,17,113,96,.850,2.91,0,-0.1,350,,,,,,0,0,0,0
31,Manny Fernandez,27,MIN,44,,12,24,5,125,1157,1032,.892,3.05,1,5.0,2463,,,,117,-18.27,0,0,0,4
32,Stephane Fiset,31,MTL,2,,0,1,0,7,60,53,.883,3.85,0,0.2,109,,,,,,0,0,0,0
33,Wade Flaherty,34,FLA,4,,2,1,1,12,148,136,.919,2.94,0,1.1,245,,,,,,0,0,0,0
34,Mathieu Garon,24,MTL,5,,1,4,0,19,147,128,.871,4.37,0,0.3,261,,,,,,0,0,0,0
35,Jean-Sebastien Giguere,24,MDA,53,,20,25,6,111,1384,1273,.920,2.13,4,10.4,3127,,,,87,16.67,0,0,0,28
36,John Grahame,26,BOS,19,,8,7,2,52,503,451,.897,2.95,1,2.5,1079,,,,112,-5.60,0,1,1,6
37,Derek Gustafson,22,MIN,1,,0,0,0,0,7,7,1.000,0.00,0,0.1,26,,,,,,0,0,0,0
38,Jeff Hackett,33,MTL,15,,5,5,2,38,395,357,.904,3.18,0,2.3,717,,,,104,-1.56,0,0,0,2
39,Dominik Hasek,37,DET,65,,41,15,8,140,1654,1514,.915,2.17,5,11.6,3872,,,,92,12.58,0,1,1,8
40,Johan Hedberg,28,PIT,66,,25,34,7,178,1851,1673,.904,2.76,6,10.6,3877,,,,104,-7.25,0,1,1,22
41,Milan Hnilicka,28,ATL,60,,13,33,10,179,1956,1777,.908,3.17,3,12.2,3367,,,,99,1.44,0,2,2,8
42,Johan Holmqvist,23,NYR,1,,0,0,0,0,2,2,1.000,0.00,0,0.0,9,,,,,,0,0,0,0
43,Jani Hurme,27,OTT,25,,12,9,1,54,578,524,.907,2.48,3,3.5,1309,,,,101,-0.68,0,0,0,17
44,Arturs Irbe,34,CAR,51,,20,19,11,126,1282,1156,.902,2.54,3,7.0,2974,,,,107,-7.74,0,1,1,10
45,Brent Johnson,24,STL,58,,34,20,4,127,1293,1166,.902,2.18,5,7.1,3491,,,,106,-7.72,0,4,4,2
46,Curtis Joseph,34,TOR,51,,29,17,5,114,1210,1096,.906,2.23,4,7.2,3065,,,,102,-2.38,0,1,1,10
