,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
52,Vitali Kolesnik,26,COL,8,,3,3,0,20,178,158,.888,3.24,0,0.8,370,,,,,,0,1,1,2
53,Olaf Kolzig,35,WSH,59,,20,28,11,206,1987,1781,.896,3.53,0,11.0,3506,,,,105,-9.82,0,3,3,14
54,Jason LaBarbera,26,LAK,29,,11,9,2,69,688,619,.900,2.89,1,4.1,1433,,,,102,-1.07,0,1,1,0
55,Patrick Lalime,31,STL,31,,4,18,8,103,868,765,.881,3.64,0,3.4,1699,,,,120,-17.30,0,0,0,0
56,Pascal Leclaire,23,CBJ,33,,11,15,3,97,1084,987,.911,3.23,0,7.6,1804,,,,91,10.03,0,1,1,2
57,Manny Legace,32,DET,51,,37,8,3,106,1244,1138,.915,2.19,7,9.3,2905,,,,86,16.82,0,1,1,0
58,Kari Lehtonen,22,ATL,38,,20,15,0,106,1123,1017,.906,2.94,2,7.3,2166,,,,96,4.88,0,1,1,4
59,David LeNeveu,22,PHX,15,,3,8,2,44,386,342,.886,3.24,0,1.7,814,,,,115,-5.89,0,0,0,0
60,Henrik Lundqvist,23,NYR,53,,30,12,9,116,1485,1369,.922,2.24,2,12.2,3112,,,,79,30.62,0,2,2,0
61,Roberto Luongo,26,FLA,75,,35,30,9,213,2488,2275,.914,2.97,4,18.5,4305,,,,87,32.64,0,3,3,2
62,Jussi Markkanen,30,EDM,37,,15,12,6,105,873,768,.880,3.13,0,3.3,2016,,,,122,-18.81,0,1,1,0
63,Chris Mason,29,NSH,23,,12,5,1,52,597,545,.913,2.54,2,4.3,1227,,,,88,6.94,1,0,1,0
64,Jamie McLennan,34,FLA,17,,2,4,2,34,360,326,.906,2.85,0,2.3,678,,,,96,1.54,0,0,0,0
65,Rob McVicar,24,VAN,1,,0,0,0,0,0,0,,0.00,0,0.0,3,,,,,,0,0,0,0
66,Ryan Miller,25,BUF,48,,30,14,3,124,1440,1316,.914,2.60,1,10.6,2862,,,,87,18.17,0,2,2,0
67,Mike Morrison,26,TOT,25,,11,4,3,54,457,403,.882,2.95,0,1.8,1099,,,,120,-8.88,0,1,1,2
68,Mike Morrison,26,EDM,21,,10,4,2,42,361,319,.884,2.83,0,1.5,892,,,,118,-6.36,0,0,0,2
69,Mike Morrison,26,OTT,4,,1,0,1,12,96,84,.875,3.47,0,0.3,207,,,,,,0,1,1,0
70,Adam Munro,23,CHI,10,,3,5,2,25,234,209,.893,3.00,1,1.2,501,,,,,,0,1,1,0
71,Evgeni Nabokov,30,SJS,45,,16,19,7,133,1160,1027,.885,3.10,1,5.1,2575,,,,116,-18.47,0,1,1,18
72,Antero Niittymaki,25,PHI,46,,23,15,6,133,1266,1133,.895,2.97,2,6.8,2690,,,,106,-8.01,0,1,1,0
73,Mika Noronen,26,TOT,8,,2,3,0,22,154,132,.857,3.90,0,0.2,339,,,,,,0,0,0,2
74,Mika Noronen,26,VAN,4,,1,1,0,10,77,67,.870,3.52,0,0.2,170,,,,,,0,0,0,0
75,Mika Noronen,26,BUF,4,,1,2,0,12,77,65,.844,4.27,0,0.0,169,,,,,,0,0,0,2
76,Chris Osgood,33,DET,32,,20,6,5,85,828,743,.897,2.76,2,4.7,1846,,,,104,-3.25,0,0,0,8
77,Maxime Ouellet,24,VAN,4,,0,2,1,12,113,101,.894,3.25,0,0.6,222,,,,,,0,0,0,2
78,Martin Prusek,30,CBJ,9,,3,3,0,20,165,145,.879,3.21,0,0.6,373,,,,,,0,0,0,0
79,Andrew Raycroft,25,BOS,30,,8,19,2,100,824,724,.879,3.72,0,3.0,1619,,,,123,-18.64,0,0,0,0
80,Pekka Rinne,23,NSH,2,,1,1,0,4,40,36,.900,3.80,0,0.2,63,,,,,,0,0,0,0
81,Dwayne Roloson,36,TOT,43,,14,24,5,115,1256,1141,.908,2.73,2,8.6,2524,,,,93,9.01,0,1,1,8
82,Dwayne Roloson,36,MIN,24,,6,17,1,68,759,691,.910,3.00,1,5.3,1361,,,,91,6.94,0,0,0,6
83,Dwayne Roloson,36,EDM,19,,8,7,4,47,497,450,.905,2.43,1,3.2,1163,,,,96,2.07,0,1,1,2
84,Dany Sabourin,25,PIT,1,,0,1,0,4,14,10,.714,11.68,0,-0.2,21,,,,,,0,0,0,0
85,Curtis Sanford,26,STL,34,,13,13,5,81,885,804,.908,2.66,3,6.0,1830,,,,93,6.38,0,0,0,0
86,Philippe Sauve,25,TOT,13,,3,7,0,39,330,291,.882,3.97,0,1.3,589,,,,120,-6.42,0,0,0,21
87,Philippe Sauve,25,CGY,8,,3,3,0,22,202,180,.891,3.28,0,1.0,402,,,,,,0,0,0,21
88,Philippe Sauve,25,PHX,5,,0,4,0,17,128,111,.867,5.46,0,0.3,187,,,,,,0,0,0,0
89,Nolan Schaefer,26,SJS,7,,5,1,0,11,138,127,.920,1.88,1,1.1,352,,,,,,0,0,0,2
90,Steve Shields,33,ATL,5,,1,2,1,19,129,110,.853,4.28,0,0.1,266,,,,,,0,0,0,0
91,Jordan Sigalet,24,BOS,1,,0,0,0,0,0,0,,0.00,0,0.0,1,,,,,,0,0,0,0
92,Garth Snow,36,NYI,20,,4,13,1,68,595,527,.886,3.72,0,2.6,1096,,,,116,-9.25,0,0,0,2
93,Mikael Tellqvist,26,TOR,25,,10,11,2,73,697,624,.895,3.13,2,3.8,1399,,,,106,-4.18,0,0,0,0
94,Jose Theodore,29,TOT,43,,18,18,6,137,1158,1021,.882,3.41,0,4.6,2410,,,,120,-22.67,0,1,1,2
95,Jose Theodore,29,MTL,38,,17,15,5,122,1025,903,.881,3.46,0,4.0,2114,,,,121,-20.80,0,1,1,2
96,Jose Theodore,29,COL,5,,1,3,1,15,133,118,.887,3.04,0,0.6,296,,,,,,0,0,0,0
97,Jocelyn Thibault,31,PIT,16,,1,9,3,60,484,424,.876,4.47,0,1.6,807,,,,126,-12.21,0,0,0,2
98,Tim Thomas,31,BOS,38,,12,13,10,101,1213,1112,.917,2.77,1,9.3,2187,,,,84,18.76,0,1,1,4
99,Hannu Toivonen,21,BOS,20,,9,5,4,51,590,539,.914,2.63,1,4.3,1163,,,,88,7.25,0,0,0,6
100,Vesa Toskala,28,SJS,37,,23,7,4,87,878,791,.901,2.59,2,5.3,2039,,,,100,-0.31,0,1,1,4
101,Marty Turco,30,DAL,68,,41,19,5,166,1624,1458,.898,2.55,3,9.2,3910,,,,104,-5.66,0,2,2,28
102,Tomas Vokoun,29,NSH,61,,36,18,7,160,1984,1824,.919,2.67,4,15.8,3601,,,,82,35.88,0,2,2,26
103,Cam Ward,21,CAR,28,,14,8,2,91,773,682,.882,3.68,0,3.1,1484,,,,119,-14.68,0,2,2,0
104,Kevin Weekes,30,NYR,32,,14,14,3,91,867,776,.895,2.86,0,4.7,1850,,,,106,-5.40,0,1,1,4
